response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1021,0.0009,0.0006,0.0001,2.1004,0.0007,200,0.0002
0.0018,0.0009,0.0006,0.0000,0.0007,0.0001,502,0.0001
0.0016,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0001
2.1194,0.0007,0.0005,0.0001,2.1179,0.0006,200,0.0002
0.0021,0.0012,0.0009,0.0001,0.0007,0.0001,502,0.0002
2.1199,0.0010,0.0007,0.0000,2.1182,0.0005,200,0.0005
0.0015,0.0007,0.0004,0.0001,0.0006,0.0001,502,0.0001
2.1318,0.0009,0.0006,0.0001,2.1301,0.0006,200,0.0002
0.0017,0.0008,0.0005,0.0000,0.0007,0.0001,502,0.0002
2.1138,0.0008,0.0005,0.0001,2.1114,0.0015,200,0.0002
0.0017,0.0007,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0016,0.0009,0.0005,0.0000,0.0006,0.0001,502,0.0002
2.0985,0.0009,0.0005,0.0001,2.0969,0.0006,200,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
2.0734,0.0008,0.0005,0.0001,2.0718,0.0006,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
2.0994,0.0011,0.0007,0.0000,2.0977,0.0006,200,0.0004
0.0015,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0001
2.1086,0.0008,0.0005,0.0001,2.1070,0.0007,200,0.0002
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
2.1474,0.0008,0.0005,0.0001,2.1459,0.0006,200,0.0001
0.0015,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
2.1181,0.0012,0.0005,0.0001,2.1161,0.0006,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0002
2.0975,0.0008,0.0005,0.0000,2.0961,0.0005,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0015,0.0007,0.0005,0.0000,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
2.1158,0.0011,0.0007,0.0001,2.1141,0.0006,200,0.0002
0.0018,0.0011,0.0008,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0009,0.0006,0.0000,0.0006,0.0001,502,0.0002
2.1161,0.0008,0.0005,0.0001,2.1146,0.0007,200,0.0002
0.0017,0.0009,0.0006,0.0000,0.0006,0.0001,502,0.0002
2.1081,0.0007,0.0004,0.0001,2.1065,0.0007,200,0.0001
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
2.1159,0.0008,0.0005,0.0001,2.1143,0.0006,200,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
2.0994,0.0007,0.0005,0.0001,2.0979,0.0007,200,0.0001
0.0019,0.0010,0.0006,0.0001,0.0007,0.0001,502,0.0001
2.0973,0.0008,0.0004,0.0001,2.0959,0.0006,200,0.0001
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
2.1171,0.0008,0.0005,0.0001,2.1155,0.0007,200,0.0002
0.0018,0.0008,0.0004,0.0001,0.0008,0.0001,502,0.0001
0.0022,0.0013,0.0010,0.0001,0.0006,0.0001,502,0.0001
2.0663,0.0008,0.0005,0.0001,2.0649,0.0005,200,0.0001
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
2.1331,0.0008,0.0005,0.0001,2.1315,0.0008,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
2.0937,0.0008,0.0005,0.0001,2.0920,0.0007,200,0.0001
0.0017,0.0009,0.0005,0.0000,0.0006,0.0001,502,0.0002
2.0840,0.0009,0.0005,0.0000,2.0824,0.0006,200,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
2.1030,0.0009,0.0005,0.0001,2.1013,0.0006,200,0.0001
0.0016,0.0007,0.0004,0.0001,0.0007,0.0001,502,0.0002
0.0018,0.0009,0.0006,0.0000,0.0007,0.0001,502,0.0002
2.1139,0.0008,0.0005,0.0001,2.1123,0.0006,200,0.0002
0.0017,0.0009,0.0005,0.0001,0.0007,0.0001,502,0.0001
2.1149,0.0008,0.0005,0.0001,2.1133,0.0006,200,0.0002
0.0016,0.0009,0.0006,0.0001,0.0005,0.0001,502,0.0002
0.0018,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0007,0.0005,0.0001,0.0006,0.0001,502,0.0002
2.0780,0.0010,0.0006,0.0001,2.0764,0.0006,200,0.0002
0.0018,0.0009,0.0005,0.0001,0.0007,0.0001,502,0.0001
0.0018,0.0009,0.0006,0.0000,0.0007,0.0001,502,0.0002
2.1637,0.0012,0.0009,0.0001,2.1616,0.0009,200,0.0002
0.0017,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
2.1008,0.0008,0.0006,0.0001,2.0993,0.0005,200,0.0001
0.0017,0.0009,0.0005,0.0000,0.0007,0.0001,502,0.0002
0.0017,0.0008,0.0006,0.0001,0.0006,0.0001,502,0.0002
2.0969,0.0009,0.0006,0.0000,2.0953,0.0006,200,0.0001
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
2.0930,0.0008,0.0005,0.0000,2.0916,0.0005,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
2.1091,0.0013,0.0009,0.0001,2.1071,0.0006,200,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0001
2.1088,0.0008,0.0005,0.0001,2.1074,0.0005,200,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
2.0695,0.0008,0.0005,0.0001,2.0678,0.0007,200,0.0002
0.0018,0.0010,0.0007,0.0001,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0017,0.0009,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
2.1324,0.0009,0.0005,0.0001,2.1308,0.0007,200,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0001
0.0017,0.0009,0.0005,0.0000,0.0007,0.0001,502,0.0002
2.0959,0.0008,0.0005,0.0001,2.0944,0.0006,200,0.0001
0.0016,0.0007,0.0005,0.0000,0.0006,0.0001,502,0.0001
2.1276,0.0008,0.0005,0.0001,2.1260,0.0006,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0016,0.0009,0.0005,0.0000,0.0006,0.0001,502,0.0001
