response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0023,0.0009,0.0006,0.0000,0.0010,0.0001,502,0.0002
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0018,0.0010,0.0006,0.0001,0.0007,0.0001,502,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0017,0.0010,0.0006,0.0000,0.0006,0.0001,502,0.0001
0.0022,0.0013,0.0010,0.0001,0.0007,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0016,0.0009,0.0006,0.0001,0.0005,0.0001,502,0.0001
0.0017,0.0009,0.0007,0.0000,0.0006,0.0001,502,0.0001
2.1474,0.0008,0.0005,0.0001,2.1464,0.0001,200,0.0002
0.0021,0.0014,0.0010,0.0001,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0017,0.0008,0.0006,0.0001,0.0006,0.0001,502,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0018,0.0010,0.0006,0.0001,0.0007,0.0001,502,0.0001
2.1488,0.0008,0.0005,0.0000,2.1478,0.0001,200,0.0001
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0018,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
2.1384,0.0008,0.0005,0.0001,2.1373,0.0001,200,0.0002
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
0.0018,0.0010,0.0007,0.0000,0.0007,0.0001,502,0.0002
2.1383,0.0009,0.0005,0.0001,2.1371,0.0001,200,0.0002
0.0022,0.0013,0.0010,0.0001,0.0007,0.0001,502,0.0002
2.1375,0.0008,0.0005,0.0001,2.1365,0.0001,200,0.0001
0.0016,0.0008,0.0006,0.0000,0.0006,0.0001,502,0.0001
0.0016,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0018,0.0009,0.0006,0.0000,0.0007,0.0001,502,0.0002
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
2.1627,0.0008,0.0005,0.0001,2.1616,0.0001,200,0.0002
0.0017,0.0008,0.0005,0.0000,0.0007,0.0001,502,0.0001
0.0017,0.0010,0.0006,0.0000,0.0006,0.0001,502,0.0002
0.0016,0.0009,0.0006,0.0000,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
2.1528,0.0009,0.0005,0.0000,2.1517,0.0002,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
2.1614,0.0008,0.0005,0.0000,2.1604,0.0001,200,0.0002
0.0020,0.0007,0.0004,0.0001,0.0006,0.0006,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
0.0018,0.0010,0.0007,0.0001,0.0006,0.0001,502,0.0001
2.1705,0.0013,0.0010,0.0000,2.1689,0.0001,200,0.0001
0.0015,0.0007,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0019,0.0011,0.0008,0.0001,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0001
0.0017,0.0010,0.0006,0.0000,0.0006,0.0001,502,0.0002
