response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0002
0.0046,0.0008,0.0005,0.0001,0.0036,0.0001,200,0.0001
0.0020,0.0012,0.0008,0.0001,0.0007,0.0001,502,0.0004
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0045,0.0008,0.0005,0.0000,0.0036,0.0001,200,0.0001
0.0016,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
0.0022,0.0009,0.0005,0.0001,0.0011,0.0001,502,0.0002
0.0018,0.0010,0.0006,0.0001,0.0007,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0046,0.0008,0.0005,0.0001,0.0035,0.0001,200,0.0002
0.0016,0.0007,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0047,0.0008,0.0005,0.0001,0.0036,0.0002,200,0.0001
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0048,0.0008,0.0005,0.0001,0.0038,0.0001,200,0.0002
0.0021,0.0011,0.0007,0.0001,0.0008,0.0001,502,0.0002
0.0049,0.0011,0.0008,0.0001,0.0036,0.0001,200,0.0001
0.0016,0.0008,0.0006,0.0001,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0046,0.0008,0.0005,0.0001,0.0036,0.0001,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0009,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0047,0.0008,0.0006,0.0001,0.0036,0.0001,200,0.0001
0.0016,0.0009,0.0006,0.0000,0.0005,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0050,0.0012,0.0009,0.0001,0.0036,0.0001,200,0.0001
0.0016,0.0008,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0018,0.0009,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0046,0.0008,0.0005,0.0000,0.0036,0.0001,200,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
0.0049,0.0009,0.0006,0.0001,0.0037,0.0001,200,0.0002
0.0020,0.0012,0.0008,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0046,0.0008,0.0005,0.0001,0.0036,0.0001,200,0.0002
0.0017,0.0009,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0047,0.0009,0.0006,0.0000,0.0037,0.0001,200,0.0002
0.0019,0.0011,0.0008,0.0001,0.0006,0.0001,502,0.0001
0.0020,0.0012,0.0009,0.0001,0.0006,0.0001,502,0.0002
0.0047,0.0008,0.0005,0.0000,0.0036,0.0001,200,0.0001
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0006,0.0001,0.0005,0.0001,502,0.0001
0.0013,0.0008,0.0005,0.0001,0.0003,0.0001,404,0.0002
0.0016,0.0011,0.0007,0.0001,0.0003,0.0001,404,0.0001
0.0046,0.0009,0.0005,0.0000,0.0036,0.0001,200,0.0001
0.0016,0.0008,0.0006,0.0001,0.0006,0.0001,502,0.0002
0.0017,0.0009,0.0006,0.0001,0.0007,0.0001,502,0.0001
0.0047,0.0008,0.0005,0.0001,0.0037,0.0001,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0019,0.0011,0.0008,0.0001,0.0006,0.0001,502,0.0002
0.0047,0.0039,0.0037,0.0001,0.0006,0.0000,502,0.0001
0.0016,0.0008,0.0005,0.0000,0.0007,0.0001,502,0.0002
0.0048,0.0009,0.0006,0.0001,0.0037,0.0001,200,0.0002
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0017,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0048,0.0008,0.0005,0.0001,0.0037,0.0001,200,0.0001
0.0018,0.0009,0.0006,0.0001,0.0007,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0015,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0047,0.0008,0.0005,0.0000,0.0037,0.0001,200,0.0002
0.0016,0.0009,0.0006,0.0001,0.0005,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0050,0.0009,0.0005,0.0001,0.0039,0.0001,200,0.0003
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0049,0.0011,0.0008,0.0001,0.0036,0.0001,200,0.0002
0.0033,0.0024,0.0007,0.0001,0.0007,0.0001,502,0.0001
0.0017,0.0010,0.0006,0.0000,0.0006,0.0001,502,0.0002
0.0051,0.0008,0.0005,0.0000,0.0040,0.0001,200,0.0001
0.0021,0.0012,0.0009,0.0001,0.0006,0.0001,502,0.0002
0.0016,0.0007,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0048,0.0008,0.0005,0.0001,0.0037,0.0001,200,0.0002
0.0018,0.0011,0.0007,0.0001,0.0006,0.0001,502,0.0002
0.0046,0.0008,0.0005,0.0001,0.0036,0.0001,200,0.0001
0.0015,0.0007,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0046,0.0008,0.0005,0.0001,0.0036,0.0001,200,0.0002
0.0016,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
0.0015,0.0007,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0046,0.0008,0.0005,0.0001,0.0037,0.0001,200,0.0002
0.0017,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0056,0.0008,0.0005,0.0001,0.0046,0.0001,200,0.0002
0.0015,0.0007,0.0004,0.0000,0.0006,0.0001,502,0.0002
0.0016,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
0.0046,0.0008,0.0005,0.0001,0.0036,0.0001,200,0.0001
0.0015,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0015,0.0009,0.0005,0.0001,0.0005,0.0001,502,0.0002
0.0046,0.0008,0.0005,0.0001,0.0036,0.0001,200,0.0001
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0017,0.0007,0.0005,0.0001,0.0007,0.0001,502,0.0001
0.0019,0.0010,0.0007,0.0001,0.0007,0.0001,502,0.0001
0.0017,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0048,0.0009,0.0006,0.0001,0.0036,0.0001,200,0.0002
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0009,0.0006,0.0000,0.0006,0.0001,502,0.0001
