response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0006,0.0001,0.0007,0.0001,502,0.0001
0.0314,0.0008,0.0005,0.0001,0.0303,0.0001,200,0.0002
0.0016,0.0007,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0001
0.0310,0.0007,0.0005,0.0001,0.0300,0.0001,200,0.0001
0.0015,0.0008,0.0005,0.0000,0.0005,0.0001,502,0.0001
0.0016,0.0009,0.0005,0.0001,0.0005,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0000,0.0007,0.0001,502,0.0002
0.0015,0.0007,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0302,0.0007,0.0004,0.0001,0.0293,0.0001,200,0.0001
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0318,0.0012,0.0009,0.0001,0.0304,0.0001,200,0.0002
0.0018,0.0009,0.0007,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0307,0.0008,0.0005,0.0000,0.0296,0.0001,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0009,0.0005,0.0001,0.0006,0.0000,502,0.0002
0.0309,0.0009,0.0006,0.0001,0.0298,0.0001,200,0.0001
0.0019,0.0011,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0308,0.0008,0.0005,0.0001,0.0298,0.0001,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0015,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0306,0.0009,0.0006,0.0000,0.0295,0.0001,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0019,0.0011,0.0008,0.0001,0.0006,0.0001,502,0.0002
0.0307,0.0008,0.0004,0.0001,0.0297,0.0001,200,0.0001
0.0016,0.0007,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0010,0.0007,0.0000,0.0005,0.0001,502,0.0001
0.0016,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0018,0.0011,0.0007,0.0001,0.0005,0.0001,502,0.0002
0.0316,0.0009,0.0005,0.0001,0.0306,0.0001,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0311,0.0008,0.0005,0.0001,0.0301,0.0001,200,0.0002
0.0016,0.0007,0.0005,0.0001,0.0007,0.0000,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0017,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0020,0.0008,0.0005,0.0001,0.0009,0.0001,502,0.0001
0.0305,0.0008,0.0005,0.0001,0.0295,0.0001,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0001
0.0307,0.0008,0.0005,0.0001,0.0297,0.0001,200,0.0001
0.0015,0.0007,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0015,0.0007,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0304,0.0008,0.0005,0.0000,0.0294,0.0001,200,0.0001
0.0015,0.0007,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0017,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0315,0.0008,0.0005,0.0000,0.0304,0.0002,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0002
