response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0296,0.0015,0.0006,0.0000,0.0225,0.0056,200,0.2041
0.0296,0.0008,0.0004,0.0005,0.0277,0.0006,200,0.2043
0.0305,0.0009,0.0006,0.0001,0.0273,0.0022,200,0.2042
0.0306,0.0008,0.0006,0.0001,0.0184,0.0113,200,0.2042
0.0326,0.0008,0.0006,0.0005,0.0306,0.0006,200,0.2041
0.0218,0.0007,0.0003,0.0001,0.0133,0.0077,200,0.4041
0.0219,0.0008,0.0003,0.0001,0.0201,0.0009,200,0.4041
0.0221,0.0007,0.0003,0.0001,0.0203,0.0009,200,0.4041
0.0298,0.0007,0.0003,0.0001,0.0285,0.0004,200,0.4042
0.0312,0.0007,0.0004,0.0001,0.0298,0.0005,200,0.4041
0.0270,0.0009,0.0003,0.0001,0.0227,0.0033,200,0.6041
0.0271,0.0010,0.0006,0.0001,0.0226,0.0034,200,0.6042
0.0285,0.0011,0.0004,0.0002,0.0254,0.0018,200,0.6042
0.0291,0.0009,0.0004,0.0002,0.0275,0.0005,200,0.6043
0.0349,0.0008,0.0004,0.0002,0.0335,0.0005,200,0.6044
0.0277,0.0008,0.0004,0.0001,0.0212,0.0056,200,0.8041
0.0288,0.0008,0.0005,0.0001,0.0142,0.0138,200,0.8041
0.0288,0.0007,0.0004,0.0001,0.0275,0.0005,200,0.8042
0.0291,0.0007,0.0004,0.0001,0.0273,0.0010,200,0.8041
0.0309,0.0007,0.0003,0.0000,0.0297,0.0005,200,0.8041
0.0280,0.0006,0.0003,0.0000,0.0155,0.0119,200,1.0043
0.0285,0.0006,0.0004,0.0001,0.0256,0.0021,200,1.0043
0.0291,0.0008,0.0004,0.0001,0.0275,0.0007,200,1.0042
0.0291,0.0008,0.0003,0.0001,0.0278,0.0004,200,1.0042
0.0304,0.0009,0.0002,0.0000,0.0290,0.0005,200,1.0041
0.0282,0.0007,0.0004,0.0001,0.0212,0.0061,200,1.2041
0.0282,0.0006,0.0004,0.0001,0.0170,0.0105,200,1.2042
0.0285,0.0007,0.0003,0.0001,0.0268,0.0009,200,1.2041
0.0286,0.0008,0.0004,0.0000,0.0272,0.0007,200,1.2041
0.0302,0.0006,0.0003,0.0000,0.0291,0.0005,200,1.2042
0.0193,0.0006,0.0004,0.0000,0.0150,0.0036,200,1.4041
0.0212,0.0008,0.0004,0.0001,0.0196,0.0007,200,1.4040
0.0212,0.0005,0.0003,0.0000,0.0152,0.0054,200,1.4042
0.0214,0.0007,0.0003,0.0000,0.0200,0.0007,200,1.4041
0.0297,0.0007,0.0004,0.0001,0.0284,0.0005,200,1.4041
0.0221,0.0006,0.0004,0.0000,0.0113,0.0100,200,1.6041
0.0223,0.0007,0.0004,0.0001,0.0209,0.0006,200,1.6041
0.0225,0.0007,0.0004,0.0001,0.0213,0.0004,200,1.6041
0.0225,0.0006,0.0003,0.0000,0.0114,0.0105,200,1.6042
0.0302,0.0008,0.0004,0.0000,0.0289,0.0004,200,1.6040
0.0225,0.0006,0.0002,0.0000,0.0213,0.0005,200,1.8041
0.0225,0.0006,0.0003,0.0000,0.0155,0.0063,200,1.8043
0.0228,0.0006,0.0003,0.0000,0.0217,0.0004,200,1.8042
0.0287,0.0007,0.0004,0.0001,0.0275,0.0004,200,1.8042
0.0304,0.0005,0.0003,0.0001,0.0293,0.0005,200,1.8043
0.0281,0.0008,0.0004,0.0001,0.0225,0.0047,200,2.0041
0.0287,0.0009,0.0005,0.0001,0.0270,0.0007,200,2.0040
0.0286,0.0006,0.0003,0.0001,0.0273,0.0005,200,2.0043
0.0306,0.0008,0.0002,0.0001,0.0292,0.0004,200,2.0041
0.0305,0.0004,0.0001,0.0001,0.0156,0.0143,200,2.0043
0.0248,0.0009,0.0006,0.0001,0.0211,0.0027,200,2.2041
0.0283,0.0008,0.0002,0.0000,0.0138,0.0136,200,2.2041
0.0285,0.0009,0.0004,0.0001,0.0270,0.0005,200,2.2041
0.0286,0.0006,0.0003,0.0001,0.0275,0.0003,200,2.2044
0.0299,0.0009,0.0004,0.0001,0.0285,0.0004,200,2.2042
0.0287,0.0005,0.0002,0.0000,0.0149,0.0132,200,2.4042
0.0288,0.0007,0.0003,0.0001,0.0275,0.0005,200,2.4041
0.0288,0.0007,0.0004,0.0001,0.0246,0.0035,200,2.4041
0.0292,0.0007,0.0004,0.0001,0.0280,0.0004,200,2.4040
0.0307,0.0007,0.0003,0.0001,0.0294,0.0005,200,2.4041
0.0292,0.0006,0.0003,0.0001,0.0213,0.0071,200,2.6041
0.0296,0.0008,0.0004,0.0001,0.0280,0.0007,200,2.6040
0.0296,0.0007,0.0003,0.0001,0.0283,0.0006,200,2.6041
0.0297,0.0006,0.0002,0.0000,0.0161,0.0130,200,2.6041
