response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0070,0.0011,0.0007,0.0001,0.0056,0.0002,200,0.2034
0.0165,0.0012,0.0009,0.0001,0.0149,0.0002,200,0.2033
0.0168,0.0012,0.0009,0.0001,0.0152,0.0003,200,0.2032
0.0171,0.0014,0.0010,0.0001,0.0150,0.0005,200,0.2031
0.0168,0.0011,0.0009,0.0001,0.0154,0.0001,200,0.2034
0.0153,0.0007,0.0004,0.0001,0.0098,0.0047,200,0.4033
0.0161,0.0008,0.0005,0.0001,0.0149,0.0002,200,0.4031
0.0160,0.0006,0.0002,0.0001,0.0151,0.0002,200,0.4034
0.0162,0.0007,0.0004,0.0001,0.0146,0.0008,200,0.4032
0.0163,0.0006,0.0004,0.0001,0.0148,0.0008,200,0.4033
0.0143,0.0007,0.0003,0.0001,0.0112,0.0023,200,0.6032
0.0143,0.0005,0.0002,0.0001,0.0136,0.0001,200,0.6033
0.0147,0.0007,0.0003,0.0000,0.0137,0.0002,200,0.6032
0.0148,0.0006,0.0003,0.0001,0.0140,0.0002,200,0.6033
0.0153,0.0008,0.0004,0.0001,0.0142,0.0002,200,0.6031
0.0117,0.0007,0.0004,0.0001,0.0105,0.0004,200,0.8033
0.0119,0.0008,0.0004,0.0001,0.0107,0.0002,200,0.8032
0.0118,0.0006,0.0004,0.0001,0.0108,0.0003,200,0.8034
0.0163,0.0006,0.0004,0.0001,0.0154,0.0002,200,0.8034
0.0166,0.0008,0.0003,0.0001,0.0155,0.0002,200,0.8032
0.0105,0.0005,0.0002,0.0000,0.0093,0.0007,200,1.0034
0.0107,0.0007,0.0004,0.0001,0.0097,0.0002,200,1.0034
0.0111,0.0009,0.0005,0.0001,0.0098,0.0002,200,1.0031
0.0112,0.0008,0.0004,0.0001,0.0101,0.0002,200,1.0032
0.0152,0.0008,0.0005,0.0001,0.0141,0.0002,200,1.0032
0.0149,0.0006,0.0004,0.0001,0.0139,0.0002,200,1.2036
0.0155,0.0010,0.0003,0.0001,0.0117,0.0026,200,1.2032
0.0155,0.0009,0.0005,0.0001,0.0142,0.0002,200,1.2032
0.0176,0.0009,0.0006,0.0001,0.0163,0.0003,200,1.2033
0.0176,0.0006,0.0004,0.0001,0.0166,0.0002,200,1.2034
0.0065,0.0008,0.0003,0.0000,0.0054,0.0002,200,1.4032
0.0173,0.0006,0.0003,0.0001,0.0164,0.0002,200,1.4033
0.0177,0.0007,0.0003,0.0001,0.0167,0.0002,200,1.4033
0.0181,0.0008,0.0004,0.0000,0.0169,0.0003,200,1.4032
0.0180,0.0007,0.0002,0.0001,0.0170,0.0002,200,1.4034
0.0146,0.0006,0.0003,0.0000,0.0137,0.0003,200,1.6032
0.0148,0.0006,0.0003,0.0001,0.0138,0.0003,200,1.6033
0.0150,0.0008,0.0004,0.0001,0.0139,0.0002,200,1.6031
0.0150,0.0006,0.0002,0.0001,0.0141,0.0002,200,1.6033
0.0151,0.0007,0.0003,0.0001,0.0141,0.0002,200,1.6033
0.0146,0.0006,0.0004,0.0001,0.0135,0.0004,200,1.8035
0.0148,0.0007,0.0005,0.0000,0.0138,0.0002,200,1.8033
0.0151,0.0009,0.0006,0.0001,0.0115,0.0024,200,1.8032
0.0150,0.0008,0.0002,0.0001,0.0138,0.0002,200,1.8033
0.0154,0.0007,0.0004,0.0001,0.0143,0.0002,200,1.8034
0.0149,0.0005,0.0002,0.0001,0.0142,0.0002,200,2.0034
0.0150,0.0007,0.0003,0.0001,0.0117,0.0024,200,2.0033
0.0154,0.0007,0.0003,0.0001,0.0143,0.0002,200,2.0032
0.0155,0.0007,0.0004,0.0001,0.0145,0.0002,200,2.0033
0.0162,0.0008,0.0005,0.0001,0.0151,0.0002,200,2.0031
0.0141,0.0009,0.0003,0.0001,0.0113,0.0017,200,2.2032
0.0146,0.0006,0.0004,0.0001,0.0136,0.0003,200,2.2034
0.0148,0.0007,0.0005,0.0001,0.0137,0.0002,200,2.2033
0.0151,0.0008,0.0004,0.0001,0.0140,0.0001,200,2.2032
0.0157,0.0009,0.0005,0.0001,0.0144,0.0002,200,2.2033
0.0146,0.0007,0.0003,0.0001,0.0117,0.0021,200,2.4034
0.0152,0.0009,0.0004,0.0001,0.0140,0.0003,200,2.4032
0.0153,0.0007,0.0004,0.0001,0.0142,0.0003,200,2.4034
0.0155,0.0007,0.0004,0.0001,0.0144,0.0002,200,2.4032
0.0161,0.0008,0.0003,0.0000,0.0150,0.0002,200,2.4031
0.0143,0.0005,0.0002,0.0000,0.0111,0.0027,200,2.6033
0.0147,0.0007,0.0003,0.0001,0.0137,0.0002,200,2.6032
0.0149,0.0007,0.0004,0.0001,0.0139,0.0002,200,2.6032
0.0148,0.0008,0.0004,0.0000,0.0131,0.0009,200,2.6033
0.0156,0.0008,0.0003,0.0001,0.0145,0.0002,200,2.6033
0.0059,0.0005,0.0001,0.0001,0.0051,0.0002,200,2.8034
0.0172,0.0010,0.0005,0.0001,0.0159,0.0003,200,2.8030
0.0172,0.0007,0.0002,0.0001,0.0160,0.0003,200,2.8033
0.0174,0.0010,0.0001,0.0000,0.0161,0.0003,200,2.8033
0.0174,0.0007,0.0002,0.0001,0.0164,0.0002,200,2.8033
0.0150,0.0007,0.0004,0.0001,0.0138,0.0003,200,3.0033
0.0153,0.0008,0.0004,0.0000,0.0141,0.0003,200,3.0032
0.0153,0.0006,0.0004,0.0001,0.0142,0.0004,200,3.0033
0.0154,0.0005,0.0004,0.0001,0.0145,0.0003,200,3.0034
0.0155,0.0006,0.0002,0.0001,0.0146,0.0002,200,3.0032
0.0115,0.0008,0.0004,0.0001,0.0103,0.0002,200,3.2030
0.0114,0.0005,0.0003,0.0002,0.0105,0.0002,200,3.2033
0.0128,0.0004,0.0002,0.0001,0.0121,0.0002,200,3.2034
0.0150,0.0006,0.0001,0.0001,0.0142,0.0002,200,3.2034
0.0151,0.0006,0.0002,0.0001,0.0141,0.0003,200,3.2033
0.0161,0.0009,0.0005,0.0001,0.0122,0.0029,200,3.4032
0.0163,0.0014,0.0004,0.0000,0.0145,0.0003,200,3.4036
0.0168,0.0018,0.0005,0.0000,0.0146,0.0003,200,3.4032
0.0170,0.0018,0.0007,0.0000,0.0148,0.0003,200,3.4032
0.0167,0.0006,0.0003,0.0000,0.0155,0.0005,200,3.4036
0.0142,0.0005,0.0002,0.0002,0.0132,0.0003,200,3.6034
0.0142,0.0004,0.0002,0.0002,0.0135,0.0002,200,3.6034
0.0146,0.0004,0.0002,0.0001,0.0138,0.0002,200,3.6034
0.0150,0.0008,0.0004,0.0001,0.0111,0.0030,200,3.6031
0.0148,0.0005,0.0001,0.0001,0.0140,0.0002,200,3.6034
0.0146,0.0007,0.0005,0.0002,0.0134,0.0003,200,3.8032
