response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0036,0.0012,0.0008,0.0001,0.0021,0.0001,200,0.2036
0.0038,0.0012,0.0008,0.0001,0.0024,0.0001,200,0.2037
0.0042,0.0011,0.0008,0.0001,0.0029,0.0000,200,0.2038
0.0047,0.0012,0.0008,0.0001,0.0033,0.0000,200,0.2037
0.0052,0.0011,0.0007,0.0001,0.0040,0.0000,200,0.2039
0.0019,0.0006,0.0004,0.0001,0.0011,0.0001,200,0.4037
0.0033,0.0007,0.0003,0.0001,0.0024,0.0001,200,0.4037
0.0033,0.0007,0.0003,0.0001,0.0025,0.0001,200,0.4038
0.0034,0.0007,0.0004,0.0001,0.0026,0.0000,200,0.4037
0.0035,0.0007,0.0004,0.0001,0.0027,0.0000,200,0.4037
0.0021,0.0006,0.0004,0.0001,0.0013,0.0001,200,0.6037
0.0021,0.0005,0.0002,0.0000,0.0015,0.0001,200,0.6037
0.0025,0.0006,0.0004,0.0001,0.0017,0.0000,200,0.6037
0.0031,0.0008,0.0004,0.0001,0.0022,0.0000,200,0.6036
0.0033,0.0007,0.0004,0.0001,0.0024,0.0000,200,0.6037
0.0020,0.0008,0.0005,0.0001,0.0011,0.0001,200,0.8037
0.0028,0.0007,0.0003,0.0001,0.0020,0.0001,200,0.8039
0.0029,0.0006,0.0004,0.0001,0.0021,0.0000,200,0.8039
0.0031,0.0008,0.0005,0.0001,0.0022,0.0000,200,0.8037
0.0034,0.0007,0.0004,0.0001,0.0025,0.0001,200,0.8037
0.0032,0.0006,0.0004,0.0001,0.0023,0.0001,200,1.0037
0.0032,0.0006,0.0004,0.0001,0.0025,0.0000,200,1.0037
0.0033,0.0006,0.0002,0.0001,0.0024,0.0001,200,1.0037
0.0034,0.0006,0.0004,0.0001,0.0027,0.0000,200,1.0038
0.0035,0.0007,0.0004,0.0001,0.0027,0.0000,200,1.0037
0.0036,0.0006,0.0004,0.0001,0.0027,0.0001,200,1.2037
0.0036,0.0006,0.0003,0.0000,0.0030,0.0000,200,1.2037
0.0036,0.0006,0.0004,0.0000,0.0030,0.0000,200,1.2037
0.0036,0.0006,0.0003,0.0000,0.0028,0.0001,200,1.2038
0.0038,0.0007,0.0004,0.0001,0.0029,0.0000,200,1.2036
0.0025,0.0007,0.0003,0.0000,0.0016,0.0001,200,1.4036
0.0027,0.0007,0.0004,0.0001,0.0019,0.0000,200,1.4037
0.0032,0.0007,0.0004,0.0001,0.0023,0.0001,200,1.4037
0.0036,0.0008,0.0004,0.0001,0.0027,0.0000,200,1.4037
0.0035,0.0006,0.0004,0.0001,0.0028,0.0000,200,1.4038
0.0021,0.0008,0.0006,0.0001,0.0011,0.0001,200,1.6037
0.0031,0.0008,0.0003,0.0001,0.0020,0.0001,200,1.6036
0.0029,0.0006,0.0003,0.0001,0.0020,0.0001,200,1.6039
0.0031,0.0009,0.0004,0.0001,0.0021,0.0000,200,1.6037
0.0031,0.0006,0.0002,0.0001,0.0024,0.0000,200,1.6040
0.0024,0.0007,0.0004,0.0001,0.0016,0.0001,200,1.8037
0.0028,0.0007,0.0003,0.0001,0.0020,0.0000,200,1.8037
0.0033,0.0007,0.0004,0.0001,0.0024,0.0001,200,1.8036
0.0036,0.0006,0.0004,0.0001,0.0028,0.0000,200,1.8037
0.0038,0.0008,0.0003,0.0001,0.0029,0.0000,200,1.8036
0.0022,0.0008,0.0005,0.0000,0.0013,0.0001,200,2.0036
0.0032,0.0008,0.0003,0.0001,0.0022,0.0001,200,2.0038
0.0032,0.0007,0.0004,0.0001,0.0024,0.0000,200,2.0038
0.0034,0.0008,0.0004,0.0001,0.0024,0.0000,200,2.0037
0.0037,0.0008,0.0004,0.0001,0.0027,0.0001,200,2.0037
0.0029,0.0007,0.0003,0.0001,0.0020,0.0001,200,2.2037
0.0031,0.0007,0.0003,0.0001,0.0022,0.0000,200,2.2037
0.0035,0.0007,0.0004,0.0001,0.0026,0.0001,200,2.2037
0.0036,0.0006,0.0002,0.0001,0.0029,0.0000,200,2.2039
0.0038,0.0006,0.0003,0.0000,0.0031,0.0000,200,2.2038
0.0016,0.0004,0.0002,0.0000,0.0011,0.0001,200,2.4039
0.0025,0.0003,0.0000,0.0000,0.0021,0.0000,200,2.4040
0.0032,0.0007,0.0004,0.0001,0.0024,0.0000,200,2.4037
0.0034,0.0008,0.0001,0.0001,0.0025,0.0001,200,2.4036
0.0035,0.0005,0.0001,0.0000,0.0029,0.0000,200,2.4039
0.0025,0.0012,0.0009,0.0001,0.0011,0.0001,200,2.6036
0.0029,0.0011,0.0008,0.0001,0.0016,0.0001,200,2.6037
0.0033,0.0012,0.0009,0.0001,0.0020,0.0000,200,2.6037
0.0037,0.0011,0.0009,0.0001,0.0024,0.0000,200,2.6037
0.0043,0.0012,0.0008,0.0001,0.0029,0.0000,200,2.6036
0.0020,0.0007,0.0004,0.0001,0.0011,0.0001,200,2.8036
0.0025,0.0007,0.0004,0.0001,0.0017,0.0000,200,2.8037
0.0030,0.0007,0.0004,0.0001,0.0022,0.0000,200,2.8037
0.0034,0.0006,0.0004,0.0001,0.0026,0.0000,200,2.8037
0.0039,0.0006,0.0003,0.0001,0.0032,0.0001,200,2.8037
0.0022,0.0006,0.0003,0.0000,0.0014,0.0001,200,3.0037
0.0034,0.0007,0.0004,0.0001,0.0026,0.0000,200,3.0037
0.0036,0.0007,0.0005,0.0001,0.0027,0.0000,200,3.0036
0.0036,0.0007,0.0003,0.0001,0.0028,0.0000,200,3.0037
0.0037,0.0006,0.0003,0.0001,0.0029,0.0001,200,3.0037
0.0032,0.0005,0.0003,0.0000,0.0026,0.0001,200,3.2037
0.0032,0.0006,0.0003,0.0001,0.0025,0.0000,200,3.2037
0.0034,0.0007,0.0003,0.0001,0.0025,0.0000,200,3.2037
0.0036,0.0008,0.0004,0.0001,0.0027,0.0001,200,3.2036
0.0035,0.0006,0.0002,0.0000,0.0029,0.0000,200,3.2037
0.0041,0.0005,0.0002,0.0001,0.0034,0.0001,200,3.4037
0.0042,0.0007,0.0004,0.0001,0.0035,0.0000,200,3.4036
0.0042,0.0006,0.0003,0.0001,0.0034,0.0001,200,3.4037
0.0042,0.0005,0.0003,0.0001,0.0035,0.0000,200,3.4037
0.0073,0.0007,0.0003,0.0001,0.0065,0.0001,200,3.4037
0.0030,0.0007,0.0004,0.0001,0.0021,0.0001,200,3.6039
0.0030,0.0006,0.0003,0.0000,0.0023,0.0001,200,3.6039
0.0033,0.0008,0.0004,0.0000,0.0023,0.0001,200,3.6037
0.0033,0.0008,0.0005,0.0000,0.0024,0.0000,200,3.6037
0.0034,0.0008,0.0004,0.0001,0.0024,0.0000,200,3.6037
0.0032,0.0007,0.0003,0.0001,0.0022,0.0001,200,3.8036
0.0032,0.0009,0.0004,0.0000,0.0022,0.0000,200,3.8037
0.0032,0.0008,0.0005,0.0001,0.0022,0.0001,200,3.8037
0.0032,0.0006,0.0004,0.0001,0.0024,0.0000,200,3.8038
0.0033,0.0007,0.0004,0.0001,0.0024,0.0000,200,3.8038
0.0020,0.0006,0.0002,0.0000,0.0012,0.0001,200,4.0039
0.0025,0.0007,0.0003,0.0001,0.0017,0.0001,200,4.0039
0.0029,0.0007,0.0004,0.0000,0.0021,0.0000,200,4.0037
0.0035,0.0008,0.0004,0.0001,0.0025,0.0000,200,4.0036
0.0037,0.0008,0.0004,0.0001,0.0028,0.0000,200,4.0037
0.0025,0.0007,0.0004,0.0001,0.0016,0.0001,200,4.2036
0.0028,0.0007,0.0004,0.0001,0.0019,0.0001,200,4.2037
0.0031,0.0007,0.0003,0.0000,0.0024,0.0000,200,4.2037
0.0035,0.0005,0.0003,0.0000,0.0029,0.0000,200,4.2038
0.0035,0.0006,0.0004,0.0000,0.0029,0.0000,200,4.2038
0.0018,0.0006,0.0003,0.0001,0.0011,0.0001,200,4.4038
0.0025,0.0008,0.0003,0.0001,0.0015,0.0001,200,4.4037
0.0028,0.0007,0.0003,0.0001,0.0019,0.0000,200,4.4037
0.0031,0.0006,0.0004,0.0001,0.0024,0.0000,200,4.4038
0.0036,0.0007,0.0004,0.0001,0.0028,0.0000,200,4.4037
0.0017,0.0004,0.0003,0.0001,0.0011,0.0001,200,4.6039
0.0025,0.0008,0.0004,0.0001,0.0016,0.0001,200,4.6037
0.0029,0.0007,0.0003,0.0001,0.0021,0.0000,200,4.6037
0.0036,0.0005,0.0003,0.0001,0.0029,0.0000,200,4.6039
0.0039,0.0008,0.0001,0.0001,0.0029,0.0000,200,4.6036
0.0024,0.0008,0.0004,0.0001,0.0014,0.0001,200,4.8037
0.0028,0.0008,0.0003,0.0001,0.0018,0.0001,200,4.8037
