response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1771,0.0012,0.0009,0.0001,2.1752,0.0006,200,0.2066
4.3481,0.0012,0.0008,0.0001,4.3462,0.0006,200,0.2066
6.5159,0.0013,0.0010,0.0001,6.5138,0.0006,200,0.2064
8.6824,0.0013,0.0009,0.0001,8.6804,0.0007,200,0.2065
10.8273,0.0013,0.0010,0.0001,10.8253,0.0006,200,0.2064
10.8012,0.0006,0.0004,0.0001,10.7997,0.0009,200,2.3837
10.7736,0.0005,0.0003,0.0000,10.7725,0.0005,200,4.5547
10.7692,0.0005,0.0003,0.0001,10.7679,0.0007,200,6.7223
10.7442,0.0006,0.0004,0.0001,10.7429,0.0006,200,8.8890
10.7505,0.0006,0.0003,0.0000,10.7493,0.0005,200,11.0337
10.7549,0.0006,0.0004,0.0000,10.7537,0.0006,200,13.1849
10.7756,0.0005,0.0003,0.0000,10.7744,0.0006,200,15.3283
10.7578,0.0005,0.0003,0.0000,10.7567,0.0006,200,17.4915
10.7580,0.0005,0.0003,0.0000,10.7568,0.0006,200,19.6331
10.7583,0.0005,0.0003,0.0000,10.7572,0.0006,200,21.7842
10.7452,0.0005,0.0003,0.0000,10.7441,0.0006,200,23.9399
10.7403,0.0006,0.0003,0.0000,10.7392,0.0005,200,26.1039
10.7337,0.0006,0.0003,0.0001,10.7325,0.0005,200,28.2493
10.7360,0.0006,0.0004,0.0000,10.7347,0.0006,200,30.3911
10.7212,0.0006,0.0003,0.0000,10.7200,0.0005,200,32.5425
10.7074,0.0006,0.0003,0.0000,10.7062,0.0006,200,34.6851
10.6937,0.0005,0.0003,0.0000,10.6927,0.0005,200,36.8442
10.7035,0.0005,0.0003,0.0000,10.7022,0.0007,200,38.9830
10.7121,0.0005,0.0003,0.0000,10.7109,0.0007,200,41.1271
10.7073,0.0005,0.0003,0.0000,10.7060,0.0008,200,43.2637
10.7133,0.0006,0.0003,0.0000,10.7120,0.0006,200,45.3925
10.7081,0.0005,0.0003,0.0000,10.7070,0.0005,200,47.5379
10.6927,0.0005,0.0003,0.0000,10.6915,0.0006,200,49.6866
10.6985,0.0005,0.0003,0.0000,10.6972,0.0007,200,51.8392
10.7312,0.0005,0.0003,0.0000,10.7301,0.0005,200,53.9711
10.7386,0.0006,0.0003,0.0000,10.7374,0.0005,200,56.1058
10.7452,0.0006,0.0004,0.0000,10.7440,0.0005,200,58.2460
