response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1606,0.0007,0.0004,0.0001,2.1585,0.0012,200,0.0030
2.1535,0.0006,0.0004,0.0000,2.1523,0.0005,200,2.1636
2.1452,0.0005,0.0003,0.0000,2.1440,0.0006,200,4.3171
2.1451,0.0005,0.0003,0.0000,2.1438,0.0007,200,6.4623
2.1355,0.0005,0.0003,0.0000,2.1343,0.0006,200,8.6074
2.1558,0.0005,0.0003,0.0000,2.1546,0.0006,200,10.7429
2.1322,0.0005,0.0003,0.0000,2.1310,0.0006,200,12.8986
2.1309,0.0006,0.0003,0.0000,2.1295,0.0007,200,15.0308
2.1296,0.0005,0.0003,0.0000,2.1285,0.0005,200,17.1617
2.1318,0.0005,0.0003,0.0000,2.1307,0.0005,200,19.2913
2.1365,0.0006,0.0003,0.0000,2.1354,0.0005,200,21.4231
2.1293,0.0005,0.0003,0.0000,2.1281,0.0005,200,23.5597
2.1493,0.0006,0.0003,0.0000,2.1480,0.0007,200,25.6889
2.1337,0.0005,0.0003,0.0000,2.1325,0.0005,200,27.8382
2.1554,0.0006,0.0003,0.0000,2.1541,0.0006,200,29.9718
2.1369,0.0006,0.0004,0.0000,2.1356,0.0005,200,32.1272
2.1505,0.0006,0.0004,0.0000,2.1493,0.0005,200,34.2641
2.1667,0.0006,0.0003,0.0000,2.1653,0.0007,200,36.4146
2.1484,0.0006,0.0004,0.0001,2.1470,0.0007,200,38.5812
2.1566,0.0006,0.0004,0.0000,2.1554,0.0005,200,40.7296
2.1377,0.0006,0.0004,0.0001,2.1362,0.0007,200,42.8862
2.1477,0.0014,0.0011,0.0000,2.1455,0.0008,200,45.0239
2.1563,0.0006,0.0004,0.0000,2.1550,0.0007,200,47.1716
2.1345,0.0005,0.0003,0.0000,2.1332,0.0006,200,49.3280
2.1375,0.0005,0.0003,0.0000,2.1362,0.0007,200,51.4624
2.1336,0.0005,0.0003,0.0000,2.1324,0.0007,200,53.5999
2.1403,0.0005,0.0003,0.0000,2.1391,0.0006,200,55.7335
2.1322,0.0005,0.0003,0.0000,2.1312,0.0005,200,57.8738
2.1346,0.0006,0.0004,0.0000,2.1333,0.0006,200,60.0060
2.1348,0.0006,0.0004,0.0000,2.1335,0.0007,200,62.1407
2.1276,0.0006,0.0004,0.0000,2.1262,0.0006,200,64.2755
2.1447,0.0005,0.0003,0.0000,2.1433,0.0008,200,66.4031
2.1286,0.0006,0.0003,0.0001,2.1273,0.0007,200,68.5478
2.1477,0.0005,0.0003,0.0000,2.1466,0.0005,200,70.6763
2.1591,0.0006,0.0003,0.0000,2.1578,0.0007,200,72.8241
2.1453,0.0007,0.0003,0.0000,2.1440,0.0006,200,74.9832
2.1405,0.0006,0.0004,0.0000,2.1393,0.0005,200,77.1285
2.1400,0.0007,0.0004,0.0000,2.1381,0.0006,200,79.2690
2.1399,0.0006,0.0004,0.0000,2.1387,0.0005,200,81.4090
2.1332,0.0006,0.0004,0.0000,2.1320,0.0005,200,83.5489
2.1281,0.0005,0.0003,0.0000,2.1268,0.0007,200,85.6821
2.1453,0.0006,0.0003,0.0001,2.1438,0.0009,200,87.8102
2.1147,0.0005,0.0003,0.0000,2.1134,0.0007,200,89.9555
2.1113,0.0006,0.0003,0.0000,2.1102,0.0005,200,92.0703
2.0997,0.0005,0.0003,0.0000,2.0986,0.0006,200,94.1816
2.0953,0.0005,0.0003,0.0000,2.0939,0.0008,200,96.2813
2.0969,0.0005,0.0003,0.0001,2.0959,0.0004,200,98.3766
2.0978,0.0005,0.0003,0.0000,2.0965,0.0007,200,100.4736
2.1012,0.0006,0.0004,0.0001,2.0999,0.0006,200,102.5714
2.0958,0.0005,0.0003,0.0000,2.0947,0.0005,200,104.6726
2.1016,0.0005,0.0003,0.0000,2.1005,0.0005,200,106.7684
2.1034,0.0006,0.0003,0.0000,2.1022,0.0005,200,108.8700
2.1047,0.0006,0.0003,0.0000,2.1034,0.0007,200,110.9734
2.0958,0.0006,0.0003,0.0000,2.0947,0.0005,200,113.0781
2.0938,0.0006,0.0004,0.0000,2.0926,0.0005,200,115.1739
2.1002,0.0005,0.0003,0.0000,2.0992,0.0004,200,117.2677
2.0970,0.0005,0.0003,0.0000,2.0955,0.0009,200,119.3679
2.0996,0.0006,0.0004,0.0001,2.0985,0.0005,200,121.4649
2.1063,0.0006,0.0004,0.0000,2.1050,0.0006,200,123.5646
2.1097,0.0005,0.0003,0.0000,2.1084,0.0007,200,125.6709
2.1132,0.0005,0.0004,0.0000,2.1120,0.0006,200,127.7806
2.1071,0.0005,0.0003,0.0000,2.1060,0.0006,200,129.8938
2.1025,0.0005,0.0003,0.0000,2.1013,0.0006,200,132.0009
