response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2864,0.0010,0.0008,0.0001,2.2852,0.0002,200,0.2035
4.5573,0.0013,0.0010,0.0001,4.5558,0.0001,200,0.2033
6.8462,0.0013,0.0009,0.0001,6.8447,0.0001,200,0.2034
9.1259,0.0012,0.0009,0.0001,9.1245,0.0001,200,0.2034
11.3951,0.0013,0.0009,0.0001,11.3935,0.0002,200,0.2033
11.3985,0.0007,0.0005,0.0001,11.3977,0.0001,200,2.4899
11.3892,0.0005,0.0003,0.0000,11.3885,0.0001,200,4.7606
11.3629,0.0005,0.0003,0.0000,11.3622,0.0001,200,7.0496
11.3474,0.0005,0.0003,0.0000,11.3467,0.0001,200,9.3294
11.3391,0.0005,0.0003,0.0000,11.3384,0.0001,200,11.5984
11.2907,0.0005,0.0003,0.0000,11.2901,0.0001,200,13.8884
11.2788,0.0006,0.0003,0.0000,11.2780,0.0001,200,16.1498
11.2455,0.0005,0.0003,0.0000,11.2448,0.0001,200,18.4125
11.1892,0.0006,0.0003,0.0000,11.1885,0.0001,200,20.6767
11.1302,0.0005,0.0003,0.0001,11.1295,0.0001,200,22.9375
11.0910,0.0006,0.0003,0.0000,11.0902,0.0001,200,25.1791
11.0414,0.0005,0.0003,0.0000,11.0407,0.0001,200,27.4286
11.0127,0.0005,0.0003,0.0000,11.0120,0.0001,200,29.6581
11.0056,0.0005,0.0003,0.0000,11.0050,0.0001,200,31.8660
11.0072,0.0006,0.0004,0.0000,11.0064,0.0001,200,34.0677
11.0202,0.0005,0.0003,0.0000,11.0195,0.0001,200,36.2701
11.0374,0.0005,0.0003,0.0000,11.0366,0.0001,200,38.4700
11.0522,0.0006,0.0003,0.0000,11.0514,0.0001,200,40.6708
11.0689,0.0005,0.0003,0.0000,11.0682,0.0001,200,42.8716
11.0831,0.0005,0.0003,0.0000,11.0824,0.0001,200,45.0749
11.0803,0.0005,0.0003,0.0000,11.0796,0.0001,200,47.2903
11.0660,0.0005,0.0003,0.0000,11.0653,0.0001,200,49.5074
11.0509,0.0005,0.0003,0.0000,11.0502,0.0001,200,51.7230
11.0326,0.0006,0.0003,0.0000,11.0319,0.0001,200,53.9406
11.0161,0.0006,0.0003,0.0000,11.0154,0.0001,200,56.1579
11.0043,0.0006,0.0004,0.0000,11.0035,0.0001,200,58.3706
