response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2307,0.0008,0.0005,0.0004,2.2293,0.0001,200,0.0028
2.2242,0.0008,0.0005,0.0001,2.2231,0.0001,200,2.2335
2.2386,0.0005,0.0003,0.0000,2.2380,0.0001,200,4.4576
2.2127,0.0007,0.0004,0.0000,2.2118,0.0001,200,6.6962
2.2091,0.0005,0.0003,0.0000,2.2084,0.0001,200,8.9089
2.2082,0.0005,0.0003,0.0000,2.2075,0.0001,200,11.1180
2.2209,0.0006,0.0003,0.0000,2.2201,0.0002,200,13.3262
2.2242,0.0005,0.0003,0.0000,2.2236,0.0001,200,15.5471
2.2235,0.0006,0.0003,0.0000,2.2227,0.0001,200,17.7714
2.2245,0.0006,0.0004,0.0000,2.2237,0.0001,200,19.9949
2.2217,0.0006,0.0004,0.0000,2.2209,0.0001,200,22.2194
2.2160,0.0006,0.0003,0.0000,2.2152,0.0001,200,24.4411
2.2057,0.0006,0.0004,0.0000,2.2050,0.0001,200,26.6571
2.2065,0.0006,0.0003,0.0000,2.2058,0.0001,200,28.8629
2.2044,0.0006,0.0003,0.0000,2.2036,0.0001,200,31.0694
2.2056,0.0006,0.0003,0.0000,2.2049,0.0001,200,33.2738
2.2046,0.0005,0.0003,0.0001,2.2039,0.0001,200,35.4794
2.2004,0.0006,0.0003,0.0000,2.1996,0.0001,200,37.6840
2.2093,0.0006,0.0003,0.0000,2.2086,0.0001,200,39.8843
2.2026,0.0006,0.0003,0.0000,2.2019,0.0001,200,42.0937
2.2020,0.0006,0.0003,0.0000,2.2013,0.0001,200,44.2962
2.2005,0.0006,0.0003,0.0001,2.1997,0.0001,200,46.4983
2.2046,0.0005,0.0003,0.0000,2.2039,0.0001,200,48.6988
2.2019,0.0006,0.0003,0.0000,2.2012,0.0001,200,50.9034
2.2016,0.0006,0.0004,0.0000,2.2008,0.0001,200,53.1054
2.2033,0.0005,0.0003,0.0000,2.2026,0.0001,200,55.3070
2.2015,0.0005,0.0003,0.0000,2.2008,0.0001,200,57.5103
2.2046,0.0006,0.0003,0.0000,2.2038,0.0002,200,59.7118
