response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0305,0.0008,0.0004,0.0001,0.0294,0.0001,200,0.0029
0.0719,0.0005,0.0003,0.0000,0.0712,0.0001,200,0.0334
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,0.1053
0.0720,0.0005,0.0003,0.0001,0.0713,0.0001,200,0.1773
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,0.2493
0.0720,0.0005,0.0003,0.0001,0.0713,0.0001,200,0.3213
0.0720,0.0005,0.0003,0.0000,0.0713,0.0001,200,0.3933
0.0719,0.0005,0.0003,0.0000,0.0713,0.0001,200,0.4653
0.0682,0.0004,0.0003,0.0000,0.0677,0.0001,200,0.5372
0.0718,0.0005,0.0003,0.0000,0.0712,0.0001,200,0.6054
0.0720,0.0005,0.0003,0.0001,0.0714,0.0001,200,0.6773
0.0720,0.0004,0.0002,0.0001,0.0714,0.0001,200,0.7493
0.0721,0.0005,0.0003,0.0000,0.0715,0.0001,200,0.8213
0.0719,0.0006,0.0004,0.0001,0.0712,0.0001,200,0.8934
0.0719,0.0006,0.0004,0.0000,0.0712,0.0001,200,0.9654
0.0720,0.0005,0.0003,0.0001,0.0713,0.0001,200,1.0373
0.0720,0.0005,0.0003,0.0000,0.0713,0.0001,200,1.1094
0.0720,0.0005,0.0003,0.0000,0.0713,0.0001,200,1.1814
0.0720,0.0006,0.0004,0.0000,0.0713,0.0001,200,1.2533
0.0719,0.0005,0.0003,0.0000,0.0713,0.0001,200,1.3253
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,1.3973
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,1.4693
0.0680,0.0004,0.0002,0.0000,0.0674,0.0001,200,1.5413
0.0680,0.0005,0.0003,0.0000,0.0674,0.0001,200,1.6093
0.0681,0.0004,0.0002,0.0000,0.0675,0.0001,200,1.6772
0.0680,0.0004,0.0002,0.0000,0.0675,0.0001,200,1.7453
0.0681,0.0005,0.0003,0.0000,0.0674,0.0001,200,1.8133
0.0720,0.0005,0.0003,0.0000,0.0713,0.0001,200,1.8813
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,1.9533
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,2.0253
0.0719,0.0005,0.0003,0.0001,0.0713,0.0001,200,2.0974
0.0719,0.0005,0.0004,0.0000,0.0712,0.0001,200,2.1694
0.0721,0.0005,0.0002,0.0000,0.0715,0.0001,200,2.2413
0.0719,0.0006,0.0004,0.0000,0.0712,0.0001,200,2.3134
0.0720,0.0005,0.0003,0.0001,0.0713,0.0001,200,2.3853
0.0720,0.0005,0.0003,0.0000,0.0713,0.0001,200,2.4573
0.0680,0.0005,0.0002,0.0000,0.0674,0.0001,200,2.5293
0.0680,0.0005,0.0003,0.0000,0.0674,0.0001,200,2.5973
0.0680,0.0004,0.0002,0.0000,0.0675,0.0001,200,2.6652
0.0681,0.0004,0.0002,0.0000,0.0675,0.0001,200,2.7333
0.0720,0.0005,0.0003,0.0006,0.0708,0.0001,200,2.8013
0.0722,0.0005,0.0003,0.0000,0.0715,0.0001,200,2.8733
0.0718,0.0006,0.0003,0.0000,0.0710,0.0001,200,2.9455
0.0760,0.0005,0.0003,0.0000,0.0754,0.0001,200,3.0173
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,3.0934
0.0719,0.0005,0.0003,0.0000,0.0713,0.0001,200,3.1653
0.0680,0.0005,0.0003,0.0000,0.0674,0.0001,200,3.2373
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,3.3053
0.0720,0.0005,0.0002,0.0000,0.0714,0.0001,200,3.3773
0.0719,0.0005,0.0003,0.0000,0.0713,0.0001,200,3.4493
0.0680,0.0004,0.0002,0.0000,0.0675,0.0001,200,3.5212
0.0680,0.0005,0.0003,0.0000,0.0674,0.0001,200,3.5892
0.0681,0.0004,0.0002,0.0000,0.0676,0.0001,200,3.6572
0.0719,0.0005,0.0003,0.0000,0.0713,0.0001,200,3.7254
0.0681,0.0004,0.0002,0.0000,0.0675,0.0001,200,3.7973
0.0721,0.0005,0.0003,0.0000,0.0715,0.0001,200,3.8653
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,3.9374
0.0721,0.0005,0.0003,0.0000,0.0714,0.0001,200,4.0093
0.0719,0.0005,0.0003,0.0000,0.0713,0.0001,200,4.0814
0.0720,0.0005,0.0002,0.0000,0.0714,0.0001,200,4.1533
0.0720,0.0005,0.0002,0.0000,0.0715,0.0001,200,4.2253
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,4.2973
0.0721,0.0004,0.0002,0.0000,0.0716,0.0001,200,4.3693
0.0719,0.0005,0.0003,0.0000,0.0712,0.0001,200,4.4414
0.0719,0.0005,0.0003,0.0000,0.0713,0.0001,200,4.5133
0.0720,0.0005,0.0003,0.0000,0.0713,0.0001,200,4.5852
0.0682,0.0004,0.0002,0.0000,0.0676,0.0001,200,4.6572
0.0719,0.0005,0.0003,0.0001,0.0712,0.0001,200,4.7254
0.0760,0.0005,0.0003,0.0000,0.0754,0.0001,200,4.7973
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,4.8733
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,4.9453
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,5.0173
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,5.0893
0.0719,0.0005,0.0003,0.0001,0.0713,0.0001,200,5.1613
0.0721,0.0005,0.0003,0.0000,0.0715,0.0001,200,5.2332
0.0720,0.0005,0.0002,0.0000,0.0714,0.0001,200,5.3053
0.0680,0.0004,0.0002,0.0000,0.0675,0.0001,200,5.3772
0.0680,0.0004,0.0002,0.0000,0.0675,0.0001,200,5.4453
0.0680,0.0005,0.0003,0.0000,0.0674,0.0001,200,5.5133
0.0680,0.0004,0.0002,0.0000,0.0675,0.0001,200,5.5813
0.0681,0.0004,0.0002,0.0000,0.0676,0.0001,200,5.6492
0.0721,0.0005,0.0003,0.0000,0.0715,0.0001,200,5.7173
0.0721,0.0006,0.0003,0.0001,0.0713,0.0001,200,5.7894
0.0719,0.0010,0.0006,0.0001,0.0708,0.0001,200,5.8615
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,5.9334
0.0721,0.0005,0.0003,0.0000,0.0714,0.0001,200,6.0053
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,6.0774
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,6.1493
0.0720,0.0005,0.0003,0.0000,0.0713,0.0001,200,6.2213
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,6.2934
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,6.3653
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,6.4373
0.0680,0.0005,0.0003,0.0000,0.0674,0.0001,200,6.5093
0.0680,0.0005,0.0003,0.0000,0.0675,0.0001,200,6.5772
0.0680,0.0004,0.0002,0.0000,0.0674,0.0001,200,6.6453
0.0680,0.0004,0.0002,0.0000,0.0675,0.0001,200,6.7132
0.0680,0.0004,0.0002,0.0000,0.0675,0.0001,200,6.7813
0.0720,0.0005,0.0002,0.0000,0.0714,0.0001,200,6.8493
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,6.9213
0.0680,0.0005,0.0002,0.0000,0.0674,0.0001,200,6.9933
0.0721,0.0005,0.0002,0.0000,0.0715,0.0001,200,7.0613
0.0719,0.0005,0.0002,0.0000,0.0713,0.0001,200,7.1334
0.0719,0.0005,0.0003,0.0000,0.0713,0.0001,200,7.2053
