response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0051,0.0005,0.0002,0.0001,0.0044,0.0001,200,0.2046
0.0084,0.0004,0.0001,0.0001,0.0072,0.0001,200,0.2041
0.0103,0.0007,0.0005,0.0000,0.0096,0.0000,200,0.2047
0.0136,0.0010,0.0007,0.0001,0.0125,0.0001,200,0.2041
0.0163,0.0011,0.0003,0.0002,0.0150,0.0000,200,0.2040
0.0042,0.0007,0.0005,0.0001,0.0033,0.0000,200,0.4040
0.0070,0.0012,0.0005,0.0000,0.0057,0.0001,200,0.4040
0.0096,0.0011,0.0009,0.0001,0.0084,0.0000,200,0.4040
0.0122,0.0010,0.0008,0.0000,0.0111,0.0001,200,0.4041
0.0145,0.0004,0.0001,0.0001,0.0139,0.0001,200,0.4043
0.0041,0.0007,0.0005,0.0001,0.0033,0.0001,200,0.6040
0.0067,0.0006,0.0003,0.0001,0.0059,0.0000,200,0.6040
0.0093,0.0006,0.0003,0.0001,0.0085,0.0001,200,0.6041
0.0120,0.0008,0.0002,0.0001,0.0111,0.0000,200,0.6040
0.0146,0.0008,0.0004,0.0001,0.0137,0.0000,200,0.6040
0.0041,0.0007,0.0004,0.0001,0.0032,0.0001,200,0.8040
0.0066,0.0007,0.0004,0.0001,0.0058,0.0000,200,0.8040
0.0092,0.0007,0.0003,0.0001,0.0084,0.0001,200,0.8041
0.0118,0.0007,0.0003,0.0001,0.0109,0.0000,200,0.8040
0.0143,0.0006,0.0004,0.0001,0.0136,0.0000,200,0.8041
0.0040,0.0006,0.0003,0.0000,0.0033,0.0001,200,1.0040
0.0066,0.0007,0.0004,0.0001,0.0059,0.0001,200,1.0041
0.0092,0.0008,0.0004,0.0001,0.0083,0.0000,200,1.0040
0.0117,0.0008,0.0002,0.0000,0.0108,0.0000,200,1.0041
0.0143,0.0007,0.0004,0.0001,0.0135,0.0000,200,1.0040
0.0041,0.0007,0.0004,0.0001,0.0032,0.0001,200,1.2040
0.0066,0.0006,0.0003,0.0001,0.0058,0.0000,200,1.2041
0.0093,0.0007,0.0003,0.0001,0.0084,0.0001,200,1.2040
0.0118,0.0006,0.0004,0.0001,0.0110,0.0000,200,1.2040
0.0144,0.0007,0.0003,0.0001,0.0136,0.0000,200,1.2040
0.0039,0.0006,0.0004,0.0001,0.0032,0.0001,200,1.4040
0.0066,0.0006,0.0003,0.0000,0.0059,0.0001,200,1.4041
0.0092,0.0007,0.0003,0.0000,0.0084,0.0001,200,1.4040
0.0118,0.0006,0.0002,0.0001,0.0110,0.0000,200,1.4040
0.0143,0.0008,0.0003,0.0000,0.0134,0.0000,200,1.4040
0.0042,0.0008,0.0004,0.0001,0.0032,0.0001,200,1.6041
0.0069,0.0008,0.0004,0.0001,0.0059,0.0000,200,1.6040
0.0093,0.0006,0.0003,0.0000,0.0086,0.0000,200,1.6041
0.0121,0.0008,0.0004,0.0001,0.0111,0.0000,200,1.6040
0.0146,0.0008,0.0004,0.0001,0.0136,0.0001,200,1.6041
0.0040,0.0006,0.0003,0.0000,0.0033,0.0001,200,1.8040
0.0068,0.0009,0.0004,0.0000,0.0058,0.0000,200,1.8039
0.0093,0.0007,0.0004,0.0001,0.0084,0.0001,200,1.8040
0.0118,0.0007,0.0004,0.0001,0.0110,0.0000,200,1.8041
0.0145,0.0007,0.0004,0.0001,0.0136,0.0000,200,1.8040
0.0041,0.0006,0.0003,0.0002,0.0032,0.0001,200,2.0041
0.0067,0.0007,0.0005,0.0002,0.0058,0.0000,200,2.0040
0.0092,0.0009,0.0002,0.0000,0.0083,0.0001,200,2.0042
0.0119,0.0007,0.0003,0.0002,0.0109,0.0000,200,2.0040
0.0145,0.0007,0.0004,0.0002,0.0135,0.0000,200,2.0040
0.0040,0.0006,0.0003,0.0001,0.0033,0.0001,200,2.2041
0.0067,0.0007,0.0003,0.0000,0.0059,0.0001,200,2.2040
0.0090,0.0004,0.0001,0.0001,0.0085,0.0000,200,2.2042
