response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0319,0.0011,0.0007,0.0001,0.0306,0.0001,200,0.2042
0.0519,0.0013,0.0010,0.0001,0.0503,0.0001,200,0.2040
0.0706,0.0012,0.0009,0.0001,0.0693,0.0001,200,0.2042
0.0901,0.0012,0.0009,0.0001,0.0886,0.0001,200,0.2040
0.1092,0.0013,0.0009,0.0000,0.1078,0.0001,200,0.2042
0.0203,0.0005,0.0003,0.0001,0.0196,0.0001,200,0.4041
0.0406,0.0006,0.0003,0.0001,0.0399,0.0001,200,0.4041
0.0603,0.0006,0.0004,0.0001,0.0595,0.0001,200,0.4040
0.0790,0.0005,0.0002,0.0001,0.0783,0.0001,200,0.4041
0.0985,0.0007,0.0003,0.0001,0.0977,0.0001,200,0.4040
0.0201,0.0006,0.0003,0.0000,0.0194,0.0001,200,0.6040
0.0406,0.0006,0.0002,0.0001,0.0398,0.0001,200,0.6041
0.0623,0.0006,0.0003,0.0001,0.0615,0.0001,200,0.6040
0.0815,0.0007,0.0003,0.0001,0.0806,0.0001,200,0.6040
0.1003,0.0006,0.0003,0.0001,0.0996,0.0001,200,0.6040
0.0206,0.0006,0.0003,0.0001,0.0198,0.0001,200,0.8040
0.0400,0.0006,0.0003,0.0001,0.0392,0.0001,200,0.8041
0.0588,0.0007,0.0004,0.0001,0.0579,0.0001,200,0.8040
0.0780,0.0007,0.0003,0.0001,0.0771,0.0000,200,0.8040
0.0969,0.0006,0.0003,0.0001,0.0962,0.0001,200,0.8041
0.0207,0.0007,0.0003,0.0000,0.0198,0.0001,200,1.0040
0.0398,0.0008,0.0004,0.0001,0.0388,0.0001,200,1.0040
0.0584,0.0008,0.0004,0.0001,0.0574,0.0001,200,1.0040
0.0773,0.0007,0.0004,0.0001,0.0764,0.0001,200,1.0040
0.0962,0.0007,0.0004,0.0001,0.0954,0.0001,200,1.0041
0.0206,0.0006,0.0003,0.0000,0.0199,0.0001,200,1.2040
0.0401,0.0006,0.0004,0.0000,0.0394,0.0001,200,1.2040
0.0593,0.0007,0.0004,0.0001,0.0584,0.0001,200,1.2040
0.0780,0.0007,0.0004,0.0001,0.0772,0.0001,200,1.2040
0.0970,0.0006,0.0003,0.0000,0.0962,0.0000,200,1.2041
0.0207,0.0007,0.0004,0.0001,0.0199,0.0000,200,1.4040
0.0399,0.0007,0.0003,0.0000,0.0390,0.0001,200,1.4040
0.0607,0.0006,0.0003,0.0000,0.0599,0.0001,200,1.4040
0.0797,0.0006,0.0004,0.0001,0.0790,0.0001,200,1.4041
0.0986,0.0007,0.0004,0.0001,0.0978,0.0001,200,1.4041
0.0205,0.0006,0.0003,0.0000,0.0198,0.0001,200,1.6040
0.0395,0.0007,0.0003,0.0001,0.0387,0.0001,200,1.6041
0.0588,0.0008,0.0004,0.0001,0.0578,0.0001,200,1.6040
0.0774,0.0007,0.0003,0.0001,0.0765,0.0001,200,1.6041
0.0965,0.0008,0.0003,0.0001,0.0955,0.0001,200,1.6040
0.0212,0.0006,0.0003,0.0000,0.0205,0.0001,200,1.8041
0.0402,0.0005,0.0003,0.0000,0.0395,0.0001,200,1.8040
0.0594,0.0006,0.0003,0.0000,0.0587,0.0001,200,1.8040
0.0791,0.0006,0.0003,0.0001,0.0783,0.0001,200,1.8040
0.0982,0.0007,0.0004,0.0001,0.0973,0.0001,200,1.8040
0.0215,0.0006,0.0002,0.0000,0.0208,0.0001,200,2.0041
0.0414,0.0008,0.0003,0.0001,0.0404,0.0000,200,2.0040
0.0605,0.0008,0.0004,0.0001,0.0595,0.0001,200,2.0040
0.0798,0.0007,0.0004,0.0001,0.0790,0.0001,200,2.0041
0.0995,0.0008,0.0004,0.0001,0.0985,0.0001,200,2.0040
0.0206,0.0007,0.0004,0.0001,0.0197,0.0001,200,2.2040
0.0397,0.0006,0.0004,0.0001,0.0390,0.0001,200,2.2040
0.0587,0.0006,0.0004,0.0001,0.0579,0.0001,200,2.2040
0.0777,0.0006,0.0004,0.0001,0.0769,0.0001,200,2.2040
0.0964,0.0012,0.0002,0.0000,0.0951,0.0001,200,2.2041
0.0211,0.0006,0.0003,0.0000,0.0204,0.0001,200,2.4041
0.0406,0.0007,0.0004,0.0001,0.0397,0.0001,200,2.4040
0.0594,0.0006,0.0004,0.0001,0.0586,0.0000,200,2.4041
0.0788,0.0007,0.0004,0.0001,0.0779,0.0001,200,2.4040
0.0974,0.0008,0.0004,0.0001,0.0965,0.0000,200,2.4040
0.0213,0.0006,0.0004,0.0001,0.0205,0.0001,200,2.6040
0.0405,0.0007,0.0003,0.0001,0.0397,0.0001,200,2.6041
0.0597,0.0006,0.0004,0.0001,0.0590,0.0001,200,2.6041
0.0791,0.0007,0.0004,0.0001,0.0781,0.0001,200,2.6040
0.0979,0.0006,0.0004,0.0001,0.0970,0.0001,200,2.6040
0.0222,0.0006,0.0002,0.0000,0.0215,0.0001,200,2.8040
0.0417,0.0007,0.0003,0.0001,0.0409,0.0001,200,2.8040
0.0610,0.0007,0.0004,0.0001,0.0601,0.0001,200,2.8040
0.0799,0.0006,0.0004,0.0001,0.0791,0.0001,200,2.8041
0.0989,0.0007,0.0004,0.0001,0.0980,0.0001,200,2.8040
0.0214,0.0006,0.0004,0.0001,0.0206,0.0001,200,3.0040
0.0406,0.0006,0.0004,0.0001,0.0399,0.0001,200,3.0040
0.0595,0.0007,0.0004,0.0000,0.0587,0.0001,200,3.0040
0.0788,0.0005,0.0003,0.0000,0.0781,0.0000,200,3.0040
0.0982,0.0006,0.0004,0.0001,0.0974,0.0000,200,3.0041
0.0206,0.0006,0.0004,0.0001,0.0198,0.0001,200,3.2040
0.0397,0.0006,0.0003,0.0001,0.0390,0.0001,200,3.2041
0.0587,0.0007,0.0003,0.0000,0.0579,0.0001,200,3.2040
0.0783,0.0005,0.0003,0.0001,0.0776,0.0001,200,3.2041
0.0974,0.0006,0.0002,0.0000,0.0966,0.0001,200,3.2040
0.0205,0.0006,0.0004,0.0001,0.0197,0.0001,200,3.4040
0.0406,0.0005,0.0003,0.0000,0.0400,0.0001,200,3.4041
0.0598,0.0006,0.0004,0.0000,0.0591,0.0001,200,3.4041
0.0792,0.0006,0.0003,0.0001,0.0784,0.0001,200,3.4040
0.0984,0.0007,0.0003,0.0001,0.0976,0.0001,200,3.4040
0.0210,0.0007,0.0003,0.0000,0.0202,0.0001,200,3.6040
0.0408,0.0005,0.0003,0.0001,0.0402,0.0001,200,3.6040
0.0598,0.0006,0.0004,0.0001,0.0591,0.0001,200,3.6040
0.0786,0.0006,0.0004,0.0000,0.0778,0.0001,200,3.6040
0.0979,0.0006,0.0003,0.0001,0.0971,0.0001,200,3.6040
0.0205,0.0006,0.0004,0.0001,0.0198,0.0001,200,3.8040
0.0400,0.0007,0.0004,0.0001,0.0391,0.0001,200,3.8040
0.0593,0.0006,0.0004,0.0001,0.0585,0.0001,200,3.8040
0.0784,0.0006,0.0003,0.0001,0.0777,0.0000,200,3.8041
0.0975,0.0006,0.0004,0.0001,0.0967,0.0001,200,3.8040
0.0203,0.0007,0.0003,0.0001,0.0195,0.0001,200,4.0040
0.0397,0.0006,0.0003,0.0001,0.0390,0.0000,200,4.0040
0.0586,0.0005,0.0003,0.0001,0.0580,0.0001,200,4.0040
0.0775,0.0005,0.0004,0.0001,0.0768,0.0001,200,4.0040
0.0961,0.0006,0.0004,0.0001,0.0953,0.0001,200,4.0040
0.0202,0.0007,0.0004,0.0000,0.0194,0.0001,200,4.2040
0.0395,0.0006,0.0003,0.0000,0.0388,0.0001,200,4.2041
0.0587,0.0008,0.0004,0.0000,0.0579,0.0001,200,4.2040
0.0775,0.0006,0.0004,0.0001,0.0767,0.0001,200,4.2041
0.0964,0.0007,0.0004,0.0001,0.0956,0.0001,200,4.2040
0.0215,0.0005,0.0002,0.0000,0.0209,0.0001,200,4.4041
0.0409,0.0006,0.0003,0.0001,0.0401,0.0001,200,4.4040
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.4041
0.0788,0.0007,0.0003,0.0000,0.0780,0.0001,200,4.4040
0.0981,0.0007,0.0003,0.0001,0.0973,0.0001,200,4.4040
0.0207,0.0006,0.0004,0.0001,0.0200,0.0001,200,4.6041
0.0406,0.0005,0.0003,0.0001,0.0400,0.0001,200,4.6041
0.0595,0.0006,0.0004,0.0001,0.0588,0.0001,200,4.6040
0.0786,0.0006,0.0004,0.0001,0.0778,0.0001,200,4.6040
0.0975,0.0007,0.0004,0.0001,0.0967,0.0000,200,4.6040
0.0215,0.0006,0.0003,0.0001,0.0208,0.0001,200,4.8040
0.0403,0.0005,0.0003,0.0001,0.0397,0.0001,200,4.8041
0.0596,0.0005,0.0003,0.0001,0.0589,0.0001,200,4.8040
0.0785,0.0004,0.0002,0.0001,0.0779,0.0001,200,4.8041
0.0972,0.0005,0.0003,0.0001,0.0966,0.0001,200,4.8040
0.0217,0.0005,0.0003,0.0001,0.0211,0.0001,200,5.0040
0.0410,0.0006,0.0004,0.0001,0.0403,0.0001,200,5.0040
0.0597,0.0005,0.0003,0.0000,0.0591,0.0001,200,5.0040
0.0811,0.0005,0.0004,0.0001,0.0803,0.0001,200,5.0040
0.0999,0.0006,0.0004,0.0001,0.0992,0.0001,200,5.0040
0.0213,0.0007,0.0003,0.0001,0.0205,0.0001,200,5.2040
0.0407,0.0007,0.0004,0.0001,0.0398,0.0001,200,5.2040
0.0599,0.0007,0.0003,0.0001,0.0591,0.0000,200,5.2041
0.0796,0.0006,0.0004,0.0001,0.0788,0.0001,200,5.2041
0.1010,0.0007,0.0005,0.0001,0.1001,0.0001,200,5.2040
0.0216,0.0005,0.0004,0.0001,0.0209,0.0001,200,5.4041
0.0404,0.0005,0.0002,0.0001,0.0398,0.0001,200,5.4041
0.0596,0.0006,0.0004,0.0001,0.0589,0.0001,200,5.4041
0.0797,0.0007,0.0004,0.0001,0.0789,0.0001,200,5.4040
0.0986,0.0006,0.0004,0.0001,0.0977,0.0001,200,5.4040
0.0204,0.0005,0.0002,0.0000,0.0198,0.0001,200,5.6041
0.0399,0.0007,0.0003,0.0001,0.0391,0.0001,200,5.6040
0.0610,0.0006,0.0003,0.0001,0.0603,0.0001,200,5.6040
0.0809,0.0007,0.0004,0.0001,0.0801,0.0000,200,5.6040
0.1003,0.0006,0.0003,0.0001,0.0995,0.0001,200,5.6040
0.0208,0.0006,0.0004,0.0001,0.0200,0.0001,200,5.8040
0.0404,0.0006,0.0004,0.0001,0.0397,0.0001,200,5.8040
0.0596,0.0006,0.0003,0.0001,0.0588,0.0001,200,5.8041
0.0788,0.0006,0.0004,0.0001,0.0779,0.0001,200,5.8040
0.0978,0.0007,0.0004,0.0001,0.0969,0.0001,200,5.8040
0.0206,0.0007,0.0004,0.0001,0.0197,0.0001,200,6.0039
0.0398,0.0005,0.0003,0.0000,0.0392,0.0001,200,6.0040
0.0601,0.0007,0.0004,0.0001,0.0593,0.0001,200,6.0040
0.0793,0.0007,0.0004,0.0001,0.0784,0.0001,200,6.0039
0.0987,0.0006,0.0004,0.0001,0.0979,0.0001,200,6.0040
0.0202,0.0006,0.0003,0.0001,0.0194,0.0001,200,6.2040
0.0393,0.0006,0.0003,0.0001,0.0385,0.0001,200,6.2039
0.0582,0.0006,0.0003,0.0001,0.0574,0.0001,200,6.2040
0.0769,0.0004,0.0002,0.0001,0.0762,0.0001,200,6.2039
0.0957,0.0005,0.0003,0.0001,0.0950,0.0000,200,6.2040
0.0217,0.0006,0.0003,0.0001,0.0210,0.0001,200,6.4041
0.0417,0.0007,0.0004,0.0001,0.0409,0.0000,200,6.4040
0.0608,0.0007,0.0004,0.0001,0.0598,0.0001,200,6.4040
0.0796,0.0008,0.0004,0.0001,0.0787,0.0000,200,6.4040
0.0992,0.0012,0.0010,0.0000,0.0979,0.0001,200,6.4041
0.0206,0.0007,0.0003,0.0001,0.0197,0.0001,200,6.6041
0.0396,0.0006,0.0004,0.0001,0.0389,0.0001,200,6.6041
0.0589,0.0007,0.0004,0.0001,0.0580,0.0001,200,6.6040
0.0786,0.0006,0.0004,0.0001,0.0778,0.0001,200,6.6040
0.0974,0.0007,0.0003,0.0001,0.0965,0.0001,200,6.6040
0.0203,0.0006,0.0004,0.0001,0.0195,0.0001,200,6.8040
0.0394,0.0005,0.0002,0.0001,0.0388,0.0001,200,6.8041
0.0586,0.0006,0.0003,0.0001,0.0579,0.0001,200,6.8040
0.0777,0.0006,0.0003,0.0001,0.0770,0.0001,200,6.8040
0.0967,0.0007,0.0004,0.0001,0.0958,0.0000,200,6.8040
0.0207,0.0007,0.0004,0.0001,0.0198,0.0001,200,7.0040
0.0402,0.0006,0.0003,0.0001,0.0393,0.0001,200,7.0040
0.0596,0.0006,0.0003,0.0001,0.0588,0.0001,200,7.0041
0.0786,0.0006,0.0003,0.0001,0.0779,0.0001,200,7.0041
0.0973,0.0007,0.0003,0.0001,0.0964,0.0001,200,7.0040
0.0205,0.0007,0.0004,0.0001,0.0197,0.0000,200,7.2040
0.0397,0.0006,0.0003,0.0000,0.0390,0.0001,200,7.2041
0.0589,0.0007,0.0004,0.0000,0.0581,0.0000,200,7.2040
0.0786,0.0007,0.0004,0.0001,0.0777,0.0001,200,7.2040
0.0976,0.0007,0.0004,0.0000,0.0967,0.0001,200,7.2040
0.0205,0.0007,0.0004,0.0001,0.0197,0.0001,200,7.4041
0.0398,0.0007,0.0004,0.0001,0.0389,0.0001,200,7.4041
0.0599,0.0007,0.0004,0.0001,0.0590,0.0000,200,7.4040
0.0787,0.0008,0.0003,0.0001,0.0776,0.0000,200,7.4040
0.0991,0.0008,0.0004,0.0001,0.0981,0.0000,200,7.4040
0.0208,0.0006,0.0003,0.0000,0.0201,0.0001,200,7.6040
0.0405,0.0008,0.0004,0.0001,0.0395,0.0001,200,7.6040
0.0596,0.0007,0.0003,0.0001,0.0587,0.0001,200,7.6041
0.0784,0.0006,0.0004,0.0001,0.0776,0.0001,200,7.6041
0.0976,0.0007,0.0004,0.0001,0.0967,0.0001,200,7.6041
0.0208,0.0006,0.0003,0.0001,0.0200,0.0001,200,7.8040
0.0403,0.0008,0.0004,0.0001,0.0394,0.0001,200,7.8040
0.0595,0.0008,0.0004,0.0001,0.0586,0.0001,200,7.8040
0.0788,0.0007,0.0004,0.0001,0.0780,0.0001,200,7.8041
0.0983,0.0007,0.0004,0.0001,0.0975,0.0001,200,7.8041
0.0212,0.0005,0.0004,0.0001,0.0205,0.0001,200,8.0041
0.0404,0.0005,0.0002,0.0001,0.0398,0.0000,200,8.0041
0.0603,0.0006,0.0003,0.0001,0.0596,0.0001,200,8.0040
0.0793,0.0007,0.0004,0.0001,0.0784,0.0001,200,8.0040
0.0983,0.0005,0.0004,0.0001,0.0975,0.0000,200,8.0040
0.0202,0.0005,0.0002,0.0000,0.0197,0.0001,200,8.2041
0.0413,0.0006,0.0003,0.0001,0.0404,0.0001,200,8.2040
0.0587,0.0006,0.0003,0.0001,0.0580,0.0001,200,8.2041
0.0779,0.0006,0.0002,0.0001,0.0771,0.0001,200,8.2040
0.0970,0.0006,0.0003,0.0001,0.0962,0.0001,200,8.2040
0.0213,0.0006,0.0004,0.0001,0.0205,0.0001,200,8.4040
0.0404,0.0007,0.0003,0.0001,0.0396,0.0001,200,8.4041
0.0596,0.0006,0.0004,0.0001,0.0588,0.0001,200,8.4041
0.0785,0.0007,0.0003,0.0001,0.0776,0.0001,200,8.4040
0.0981,0.0007,0.0004,0.0001,0.0972,0.0001,200,8.4040
0.0207,0.0006,0.0004,0.0000,0.0200,0.0001,200,8.6040
0.0402,0.0005,0.0003,0.0000,0.0395,0.0001,200,8.6041
0.0593,0.0007,0.0003,0.0000,0.0585,0.0001,200,8.6040
0.0784,0.0006,0.0004,0.0001,0.0776,0.0001,200,8.6040
0.0976,0.0007,0.0004,0.0001,0.0968,0.0001,200,8.6040
0.0221,0.0007,0.0004,0.0001,0.0213,0.0001,200,8.8040
0.0414,0.0007,0.0004,0.0001,0.0405,0.0001,200,8.8040
0.0606,0.0007,0.0003,0.0001,0.0598,0.0001,200,8.8041
0.0794,0.0006,0.0004,0.0001,0.0786,0.0001,200,8.8040
0.0981,0.0006,0.0004,0.0001,0.0973,0.0001,200,8.8041
0.0200,0.0006,0.0004,0.0000,0.0193,0.0001,200,9.0040
0.0391,0.0006,0.0004,0.0001,0.0383,0.0001,200,9.0040
0.0594,0.0006,0.0004,0.0001,0.0586,0.0001,200,9.0040
0.0781,0.0005,0.0002,0.0000,0.0775,0.0001,200,9.0041
0.0969,0.0007,0.0004,0.0000,0.0961,0.0001,200,9.0040
0.0203,0.0007,0.0004,0.0001,0.0194,0.0001,200,9.2040
0.0397,0.0006,0.0005,0.0001,0.0389,0.0001,200,9.2040
0.0587,0.0007,0.0003,0.0000,0.0579,0.0001,200,9.2041
0.0776,0.0008,0.0005,0.0000,0.0767,0.0000,200,9.2040
0.0970,0.0008,0.0005,0.0000,0.0961,0.0000,200,9.2041
0.0202,0.0005,0.0003,0.0000,0.0195,0.0001,200,9.4041
0.0400,0.0008,0.0003,0.0000,0.0391,0.0001,200,9.4040
0.0589,0.0006,0.0003,0.0000,0.0582,0.0001,200,9.4040
0.0781,0.0007,0.0004,0.0000,0.0773,0.0001,200,9.4040
0.0969,0.0006,0.0003,0.0000,0.0962,0.0001,200,9.4040
0.0204,0.0005,0.0003,0.0000,0.0198,0.0001,200,9.6041
0.0397,0.0007,0.0004,0.0001,0.0388,0.0001,200,9.6040
0.0587,0.0007,0.0004,0.0001,0.0579,0.0001,200,9.6040
0.0774,0.0007,0.0003,0.0001,0.0766,0.0001,200,9.6041
0.0971,0.0006,0.0004,0.0001,0.0963,0.0000,200,9.6041
0.0205,0.0005,0.0002,0.0001,0.0199,0.0001,200,9.8041
0.0404,0.0007,0.0003,0.0001,0.0396,0.0000,200,9.8040
0.0599,0.0006,0.0004,0.0001,0.0591,0.0001,200,9.8040
0.0787,0.0007,0.0004,0.0000,0.0780,0.0001,200,9.8040
0.0976,0.0007,0.0004,0.0000,0.0969,0.0000,200,9.8041
0.0202,0.0005,0.0003,0.0000,0.0196,0.0001,200,10.0041
0.0397,0.0007,0.0004,0.0001,0.0388,0.0000,200,10.0040
0.0584,0.0006,0.0004,0.0001,0.0576,0.0001,200,10.0040
0.0775,0.0008,0.0004,0.0001,0.0766,0.0001,200,10.0040
0.0964,0.0006,0.0004,0.0001,0.0957,0.0001,200,10.0041
0.0206,0.0007,0.0004,0.0000,0.0197,0.0001,200,10.2040
0.0402,0.0008,0.0003,0.0001,0.0392,0.0001,200,10.2041
0.0607,0.0008,0.0004,0.0001,0.0597,0.0000,200,10.2040
0.0803,0.0008,0.0004,0.0001,0.0794,0.0001,200,10.2041
0.0994,0.0008,0.0004,0.0001,0.0984,0.0001,200,10.2041
0.0205,0.0006,0.0003,0.0000,0.0198,0.0001,200,10.4040
0.0393,0.0006,0.0004,0.0000,0.0386,0.0001,200,10.4040
0.0589,0.0006,0.0003,0.0001,0.0582,0.0001,200,10.4041
0.0780,0.0006,0.0003,0.0001,0.0773,0.0001,200,10.4040
0.0971,0.0006,0.0003,0.0000,0.0964,0.0001,200,10.4041
0.0206,0.0006,0.0003,0.0001,0.0199,0.0001,200,10.6041
0.0400,0.0008,0.0004,0.0000,0.0390,0.0000,200,10.6040
0.0599,0.0007,0.0005,0.0001,0.0590,0.0001,200,10.6040
0.0787,0.0007,0.0004,0.0001,0.0778,0.0001,200,10.6041
0.0975,0.0007,0.0004,0.0001,0.0966,0.0001,200,10.6041
0.0207,0.0005,0.0003,0.0000,0.0200,0.0001,200,10.8041
0.0414,0.0007,0.0004,0.0001,0.0405,0.0001,200,10.8040
