response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0120,0.0012,0.0008,0.0001,0.0101,0.0006,200,0.0030
0.0107,0.0005,0.0003,0.0000,0.0097,0.0005,200,0.0150
0.0103,0.0005,0.0003,0.0000,0.0093,0.0005,200,0.0257
0.0106,0.0004,0.0002,0.0000,0.0093,0.0008,200,0.0360
0.0117,0.0004,0.0003,0.0000,0.0106,0.0007,200,0.0466
0.0106,0.0005,0.0003,0.0000,0.0094,0.0007,200,0.0583
0.0103,0.0004,0.0002,0.0000,0.0093,0.0005,200,0.0689
0.0103,0.0004,0.0003,0.0000,0.0093,0.0004,200,0.0792
0.0103,0.0005,0.0003,0.0000,0.0095,0.0003,200,0.0895
0.0101,0.0004,0.0002,0.0000,0.0092,0.0003,200,0.0998
0.0102,0.0004,0.0003,0.0000,0.0093,0.0004,200,0.1099
0.0099,0.0004,0.0002,0.0000,0.0091,0.0004,200,0.1200
0.0100,0.0004,0.0002,0.0000,0.0092,0.0004,200,0.1299
0.0102,0.0005,0.0003,0.0000,0.0091,0.0006,200,0.1399
0.0102,0.0005,0.0002,0.0000,0.0093,0.0004,200,0.1501
0.0104,0.0004,0.0002,0.0000,0.0094,0.0005,200,0.1604
0.0101,0.0004,0.0002,0.0000,0.0093,0.0003,200,0.1708
0.0103,0.0004,0.0002,0.0000,0.0094,0.0004,200,0.1808
0.0100,0.0004,0.0002,0.0000,0.0091,0.0004,200,0.1911
0.0100,0.0004,0.0003,0.0000,0.0092,0.0004,200,0.2011
0.0100,0.0004,0.0002,0.0000,0.0092,0.0004,200,0.2111
0.0100,0.0003,0.0002,0.0000,0.0092,0.0004,200,0.2211
0.0098,0.0004,0.0002,0.0000,0.0090,0.0004,200,0.2311
0.0101,0.0004,0.0002,0.0000,0.0093,0.0004,200,0.2409
0.0100,0.0004,0.0002,0.0000,0.0092,0.0004,200,0.2510
0.0100,0.0004,0.0002,0.0000,0.0093,0.0003,200,0.2610
0.0099,0.0004,0.0002,0.0000,0.0090,0.0004,200,0.2710
0.0100,0.0004,0.0003,0.0000,0.0091,0.0004,200,0.2809
