response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0069,0.0012,0.0008,0.0001,0.0053,0.0003,200,0.0039
0.0056,0.0005,0.0003,0.0001,0.0049,0.0002,200,0.0108
0.0057,0.0004,0.0002,0.0000,0.0049,0.0003,200,0.0164
0.0052,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.0221
0.0051,0.0004,0.0002,0.0000,0.0045,0.0002,200,0.0273
0.0054,0.0004,0.0002,0.0000,0.0046,0.0003,200,0.0325
0.0053,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.0378
0.0056,0.0004,0.0002,0.0000,0.0049,0.0003,200,0.0431
0.0056,0.0005,0.0003,0.0001,0.0047,0.0002,200,0.0487
0.0054,0.0004,0.0002,0.0000,0.0047,0.0002,200,0.0543
0.0052,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.0597
0.0052,0.0003,0.0002,0.0000,0.0046,0.0002,200,0.0649
0.0053,0.0005,0.0002,0.0000,0.0046,0.0002,200,0.0701
0.0054,0.0005,0.0003,0.0000,0.0046,0.0002,200,0.0754
0.0054,0.0004,0.0002,0.0000,0.0047,0.0003,200,0.0808
0.0053,0.0004,0.0002,0.0000,0.0045,0.0003,200,0.0862
0.0053,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.0915
0.0052,0.0004,0.0002,0.0000,0.0045,0.0003,200,0.0968
0.0053,0.0004,0.0002,0.0000,0.0047,0.0002,200,0.1020
0.0052,0.0004,0.0002,0.0000,0.0045,0.0002,200,0.1073
0.0052,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.1124
0.0053,0.0004,0.0002,0.0000,0.0047,0.0002,200,0.1177
0.0052,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.1230
0.0052,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.1282
0.0053,0.0004,0.0002,0.0000,0.0047,0.0002,200,0.1334
0.0052,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.1387
0.0051,0.0003,0.0002,0.0000,0.0046,0.0002,200,0.1439
0.0051,0.0003,0.0002,0.0000,0.0045,0.0002,200,0.1490
0.0060,0.0004,0.0002,0.0000,0.0053,0.0003,200,0.1541
0.0052,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.1601
0.0052,0.0003,0.0002,0.0000,0.0046,0.0003,200,0.1653
0.0053,0.0005,0.0003,0.0000,0.0046,0.0003,200,0.1705
0.0052,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.1759
0.0052,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.1810
0.0053,0.0004,0.0002,0.0000,0.0046,0.0002,200,0.1863
0.0052,0.0003,0.0002,0.0000,0.0046,0.0002,200,0.1916
0.0052,0.0003,0.0002,0.0000,0.0047,0.0002,200,0.1968
