response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0375,0.0008,0.0005,0.0000,0.0364,0.0001,200,0.0030
0.0371,0.0005,0.0004,0.0001,0.0364,0.0001,200,0.0405
0.0365,0.0006,0.0003,0.0000,0.0358,0.0001,200,0.0776
0.0357,0.0005,0.0003,0.0000,0.0350,0.0001,200,0.1141
0.0361,0.0004,0.0002,0.0000,0.0355,0.0001,200,0.1498
0.0357,0.0005,0.0003,0.0001,0.0350,0.0001,200,0.1858
0.0369,0.0005,0.0003,0.0006,0.0358,0.0001,200,0.2215
0.0361,0.0004,0.0003,0.0000,0.0356,0.0001,200,0.2584
0.0358,0.0004,0.0002,0.0000,0.0352,0.0001,200,0.2945
0.0358,0.0005,0.0003,0.0000,0.0352,0.0001,200,0.3303
0.0354,0.0005,0.0003,0.0000,0.0348,0.0001,200,0.3661
0.0353,0.0005,0.0003,0.0000,0.0347,0.0001,200,0.4016
0.0365,0.0005,0.0003,0.0000,0.0358,0.0001,200,0.4369
0.0360,0.0005,0.0003,0.0000,0.0353,0.0001,200,0.4734
0.0365,0.0004,0.0003,0.0000,0.0360,0.0001,200,0.5094
0.0362,0.0005,0.0003,0.0000,0.0355,0.0001,200,0.5460
0.0360,0.0005,0.0003,0.0000,0.0353,0.0001,200,0.5822
0.0368,0.0006,0.0004,0.0001,0.0360,0.0001,200,0.6182
0.0359,0.0004,0.0002,0.0000,0.0353,0.0001,200,0.6549
0.0371,0.0005,0.0003,0.0000,0.0365,0.0001,200,0.6908
0.0361,0.0005,0.0003,0.0000,0.0354,0.0001,200,0.7279
0.0359,0.0004,0.0003,0.0000,0.0353,0.0001,200,0.7640
0.0361,0.0005,0.0003,0.0000,0.0354,0.0001,200,0.7999
0.0359,0.0005,0.0003,0.0000,0.0353,0.0001,200,0.8360
0.0360,0.0005,0.0003,0.0000,0.0354,0.0001,200,0.8719
0.0359,0.0005,0.0003,0.0000,0.0352,0.0001,200,0.9080
0.0371,0.0005,0.0003,0.0000,0.0364,0.0001,200,0.9438
0.0356,0.0005,0.0003,0.0000,0.0349,0.0001,200,0.9809
0.0359,0.0005,0.0003,0.0000,0.0353,0.0001,200,1.0165
0.0359,0.0005,0.0003,0.0000,0.0353,0.0001,200,1.0524
0.0370,0.0006,0.0003,0.0000,0.0363,0.0001,200,1.0884
0.0359,0.0005,0.0003,0.0000,0.0352,0.0001,200,1.1253
0.0359,0.0005,0.0003,0.0000,0.0353,0.0001,200,1.1612
0.0356,0.0005,0.0003,0.0000,0.0350,0.0001,200,1.1971
0.0367,0.0004,0.0002,0.0000,0.0361,0.0001,200,1.2327
0.0359,0.0005,0.0003,0.0000,0.0353,0.0001,200,1.2694
0.0357,0.0005,0.0002,0.0000,0.0351,0.0001,200,1.3053
0.0356,0.0004,0.0002,0.0000,0.0351,0.0001,200,1.3410
0.0358,0.0005,0.0003,0.0000,0.0352,0.0001,200,1.3767
0.0365,0.0005,0.0003,0.0000,0.0359,0.0001,200,1.4125
0.0428,0.0005,0.0003,0.0000,0.0422,0.0001,200,1.4490
0.0374,0.0005,0.0003,0.0001,0.0368,0.0001,200,1.4918
0.0361,0.0005,0.0003,0.0000,0.0355,0.0001,200,1.5292
0.0362,0.0005,0.0003,0.0000,0.0356,0.0001,200,1.5653
0.0356,0.0005,0.0003,0.0000,0.0350,0.0001,200,1.6015
0.0359,0.0004,0.0003,0.0000,0.0354,0.0001,200,1.6370
0.0361,0.0004,0.0002,0.0000,0.0356,0.0001,200,1.6730
0.0361,0.0005,0.0003,0.0001,0.0355,0.0001,200,1.7091
0.0362,0.0005,0.0003,0.0000,0.0356,0.0001,200,1.7453
0.0365,0.0005,0.0003,0.0000,0.0358,0.0001,200,1.7815
0.0379,0.0011,0.0009,0.0000,0.0367,0.0001,200,1.8180
0.0390,0.0006,0.0003,0.0000,0.0383,0.0001,200,1.8559
0.0377,0.0006,0.0003,0.0000,0.0369,0.0001,200,1.8949
0.0368,0.0005,0.0003,0.0000,0.0362,0.0001,200,1.9325
0.0358,0.0005,0.0003,0.0000,0.0351,0.0001,200,1.9693
0.0361,0.0005,0.0003,0.0000,0.0355,0.0001,200,2.0051
0.0382,0.0005,0.0003,0.0000,0.0376,0.0001,200,2.0412
0.0365,0.0005,0.0003,0.0001,0.0358,0.0001,200,2.0794
0.0356,0.0005,0.0003,0.0000,0.0350,0.0001,200,2.1160
0.0356,0.0005,0.0002,0.0000,0.0350,0.0001,200,2.1516
0.0356,0.0005,0.0003,0.0000,0.0350,0.0001,200,2.1872
0.0359,0.0005,0.0003,0.0000,0.0352,0.0001,200,2.2229
0.0355,0.0005,0.0002,0.0000,0.0349,0.0001,200,2.2587
0.0363,0.0005,0.0003,0.0000,0.0357,0.0001,200,2.2942
0.0356,0.0005,0.0003,0.0000,0.0350,0.0001,200,2.3305
0.0366,0.0005,0.0003,0.0000,0.0359,0.0001,200,2.3662
0.0366,0.0005,0.0003,0.0000,0.0360,0.0001,200,2.4027
0.0363,0.0006,0.0003,0.0000,0.0355,0.0001,200,2.4393
0.0366,0.0005,0.0003,0.0000,0.0360,0.0001,200,2.4756
0.0358,0.0005,0.0003,0.0000,0.0351,0.0001,200,2.5122
0.0354,0.0005,0.0003,0.0000,0.0347,0.0001,200,2.5480
0.0351,0.0005,0.0003,0.0000,0.0345,0.0001,200,2.5833
0.0359,0.0005,0.0003,0.0000,0.0352,0.0001,200,2.6185
0.0366,0.0005,0.0003,0.0000,0.0359,0.0001,200,2.6544
0.0362,0.0004,0.0002,0.0000,0.0356,0.0001,200,2.6910
0.0356,0.0005,0.0003,0.0000,0.0350,0.0001,200,2.7272
0.0355,0.0005,0.0003,0.0000,0.0349,0.0001,200,2.7628
0.0396,0.0005,0.0003,0.0000,0.0390,0.0001,200,2.7983
0.0360,0.0005,0.0003,0.0000,0.0353,0.0001,200,2.8379
0.0358,0.0005,0.0003,0.0000,0.0352,0.0001,200,2.8739
0.0356,0.0005,0.0003,0.0000,0.0350,0.0001,200,2.9098
0.0355,0.0005,0.0002,0.0000,0.0350,0.0001,200,2.9454
0.0363,0.0004,0.0003,0.0000,0.0357,0.0001,200,2.9810
0.0358,0.0005,0.0003,0.0000,0.0351,0.0001,200,3.0172
0.0364,0.0005,0.0003,0.0000,0.0358,0.0001,200,3.0530
0.0364,0.0005,0.0003,0.0000,0.0358,0.0001,200,3.0895
0.0356,0.0005,0.0003,0.0000,0.0349,0.0001,200,3.1259
0.0362,0.0005,0.0003,0.0000,0.0355,0.0001,200,3.1615
0.0413,0.0005,0.0003,0.0000,0.0406,0.0001,200,3.1977
0.0509,0.0005,0.0003,0.0000,0.0502,0.0001,200,3.2390
0.0364,0.0005,0.0003,0.0000,0.0357,0.0001,200,3.2898
0.0364,0.0005,0.0003,0.0000,0.0358,0.0001,200,3.3262
0.0358,0.0005,0.0003,0.0000,0.0352,0.0001,200,3.3626
0.0365,0.0005,0.0003,0.0000,0.0359,0.0001,200,3.3984
0.0366,0.0005,0.0003,0.0000,0.0359,0.0001,200,3.4349
0.0362,0.0005,0.0003,0.0000,0.0356,0.0001,200,3.4715
0.0367,0.0004,0.0002,0.0000,0.0361,0.0001,200,3.5077
0.0361,0.0004,0.0002,0.0000,0.0355,0.0001,200,3.5444
0.0393,0.0004,0.0002,0.0000,0.0387,0.0001,200,3.5805
0.0362,0.0005,0.0003,0.0000,0.0355,0.0001,200,3.6197
0.0366,0.0005,0.0003,0.0000,0.0359,0.0001,200,3.6559
0.0383,0.0005,0.0003,0.0000,0.0376,0.0001,200,3.6925
0.0482,0.0005,0.0003,0.0000,0.0476,0.0001,200,3.7307
0.0373,0.0005,0.0003,0.0000,0.0366,0.0001,200,3.7789
0.0406,0.0005,0.0003,0.0000,0.0400,0.0001,200,3.8162
0.0368,0.0004,0.0002,0.0000,0.0362,0.0001,200,3.8568
0.0363,0.0005,0.0003,0.0000,0.0357,0.0001,200,3.8936
0.0371,0.0005,0.0003,0.0000,0.0365,0.0001,200,3.9299
0.0375,0.0005,0.0003,0.0000,0.0368,0.0001,200,3.9671
0.0376,0.0005,0.0003,0.0000,0.0370,0.0001,200,4.0045
0.0386,0.0005,0.0003,0.0000,0.0379,0.0001,200,4.0421
0.0361,0.0004,0.0002,0.0000,0.0355,0.0001,200,4.0807
0.0368,0.0004,0.0002,0.0000,0.0363,0.0001,200,4.1168
0.0362,0.0005,0.0003,0.0000,0.0356,0.0001,200,4.1536
0.0370,0.0005,0.0002,0.0000,0.0364,0.0001,200,4.1898
0.0364,0.0005,0.0003,0.0000,0.0358,0.0001,200,4.2268
0.0384,0.0006,0.0003,0.0000,0.0377,0.0001,200,4.2633
0.0369,0.0005,0.0003,0.0000,0.0363,0.0001,200,4.3017
0.0362,0.0005,0.0002,0.0000,0.0356,0.0001,200,4.3386
0.0356,0.0005,0.0003,0.0000,0.0350,0.0001,200,4.3748
0.0371,0.0005,0.0003,0.0000,0.0365,0.0001,200,4.4104
0.0370,0.0005,0.0002,0.0000,0.0364,0.0001,200,4.4475
0.0376,0.0005,0.0003,0.0000,0.0369,0.0001,200,4.4845
0.0366,0.0005,0.0003,0.0000,0.0359,0.0001,200,4.5221
0.0364,0.0006,0.0003,0.0000,0.0357,0.0001,200,4.5587
0.0361,0.0006,0.0003,0.0000,0.0353,0.0001,200,4.5951
0.0360,0.0006,0.0003,0.0001,0.0352,0.0001,200,4.6311
0.0377,0.0005,0.0003,0.0000,0.0371,0.0001,200,4.6671
0.0367,0.0006,0.0003,0.0001,0.0360,0.0001,200,4.7048
0.0359,0.0006,0.0003,0.0000,0.0352,0.0001,200,4.7416
0.0363,0.0006,0.0003,0.0000,0.0356,0.0001,200,4.7775
0.0361,0.0006,0.0003,0.0000,0.0354,0.0001,200,4.8138
0.0369,0.0005,0.0003,0.0000,0.0363,0.0001,200,4.8505
0.0364,0.0005,0.0003,0.0000,0.0357,0.0001,200,4.8874
0.0371,0.0006,0.0003,0.0000,0.0364,0.0001,200,4.9238
0.0363,0.0004,0.0002,0.0000,0.0357,0.0001,200,4.9609
0.0371,0.0004,0.0002,0.0000,0.0365,0.0001,200,4.9972
0.0366,0.0006,0.0003,0.0000,0.0359,0.0001,200,5.0343
0.0358,0.0006,0.0003,0.0000,0.0351,0.0001,200,5.0709
0.0359,0.0005,0.0003,0.0000,0.0352,0.0001,200,5.1067
0.0362,0.0004,0.0003,0.0000,0.0356,0.0001,200,5.1425
0.0359,0.0005,0.0003,0.0000,0.0353,0.0001,200,5.1787
0.0356,0.0005,0.0003,0.0000,0.0350,0.0001,200,5.2147
0.0361,0.0005,0.0003,0.0000,0.0355,0.0001,200,5.2502
0.0358,0.0004,0.0003,0.0000,0.0352,0.0001,200,5.2864
0.0354,0.0005,0.0003,0.0000,0.0348,0.0001,200,5.3221
0.0371,0.0005,0.0003,0.0000,0.0365,0.0001,200,5.3575
0.0370,0.0005,0.0003,0.0000,0.0364,0.0001,200,5.3947
0.0359,0.0004,0.0002,0.0000,0.0353,0.0001,200,5.4317
0.0369,0.0004,0.0002,0.0000,0.0363,0.0001,200,5.4676
0.0366,0.0005,0.0003,0.0000,0.0360,0.0001,200,5.5045
0.0360,0.0005,0.0003,0.0000,0.0354,0.0001,200,5.5410
0.0363,0.0005,0.0003,0.0000,0.0357,0.0001,200,5.5771
0.0374,0.0005,0.0003,0.0000,0.0368,0.0001,200,5.6134
0.0365,0.0004,0.0002,0.0000,0.0359,0.0001,200,5.6508
0.0367,0.0005,0.0003,0.0000,0.0361,0.0001,200,5.6872
0.0365,0.0004,0.0002,0.0000,0.0359,0.0001,200,5.7239
0.0367,0.0005,0.0003,0.0000,0.0361,0.0001,200,5.7604
0.0366,0.0005,0.0003,0.0000,0.0360,0.0001,200,5.7971
0.0360,0.0005,0.0003,0.0000,0.0354,0.0001,200,5.8337
0.0368,0.0005,0.0003,0.0000,0.0362,0.0001,200,5.8698
0.0369,0.0005,0.0003,0.0000,0.0363,0.0001,200,5.9066
0.0380,0.0005,0.0003,0.0000,0.0374,0.0001,200,5.9435
0.0374,0.0005,0.0003,0.0000,0.0368,0.0001,200,5.9815
0.0364,0.0005,0.0003,0.0000,0.0358,0.0001,200,6.0189
0.0361,0.0005,0.0003,0.0000,0.0355,0.0001,200,6.0554
0.0367,0.0005,0.0003,0.0000,0.0361,0.0001,200,6.0914
0.0366,0.0004,0.0003,0.0000,0.0360,0.0001,200,6.1282
0.0374,0.0004,0.0002,0.0000,0.0368,0.0001,200,6.1648
0.0376,0.0005,0.0003,0.0000,0.0370,0.0001,200,6.2022
0.0357,0.0004,0.0002,0.0000,0.0352,0.0001,200,6.2398
0.0367,0.0005,0.0003,0.0000,0.0361,0.0001,200,6.2755
0.0384,0.0005,0.0003,0.0000,0.0378,0.0001,200,6.3122
0.0373,0.0005,0.0003,0.0000,0.0366,0.0001,200,6.3506
0.0390,0.0006,0.0004,0.0001,0.0381,0.0001,200,6.3880
0.0373,0.0005,0.0003,0.0000,0.0366,0.0001,200,6.4270
0.0369,0.0005,0.0002,0.0000,0.0363,0.0001,200,6.4643
0.0370,0.0005,0.0003,0.0000,0.0363,0.0001,200,6.5012
0.0369,0.0005,0.0003,0.0000,0.0362,0.0001,200,6.5381
0.0358,0.0005,0.0003,0.0000,0.0352,0.0001,200,6.5750
0.0360,0.0005,0.0003,0.0000,0.0353,0.0001,200,6.6109
0.0373,0.0005,0.0002,0.0000,0.0367,0.0001,200,6.6468
0.0358,0.0005,0.0003,0.0000,0.0351,0.0001,200,6.6841
0.0356,0.0005,0.0003,0.0000,0.0350,0.0001,200,6.7199
0.0366,0.0005,0.0002,0.0000,0.0360,0.0001,200,6.7555
0.0365,0.0006,0.0004,0.0000,0.0357,0.0001,200,6.7921
0.0357,0.0004,0.0003,0.0000,0.0351,0.0001,200,6.8285
0.0361,0.0005,0.0003,0.0000,0.0354,0.0001,200,6.8643
0.0372,0.0005,0.0003,0.0000,0.0366,0.0001,200,6.9003
0.0371,0.0005,0.0003,0.0000,0.0365,0.0001,200,6.9376
0.0355,0.0005,0.0003,0.0000,0.0350,0.0001,200,6.9746
0.0356,0.0005,0.0003,0.0000,0.0350,0.0001,200,7.0102
0.0366,0.0005,0.0003,0.0000,0.0359,0.0001,200,7.0458
0.0353,0.0005,0.0003,0.0000,0.0347,0.0001,200,7.0824
0.0360,0.0005,0.0003,0.0000,0.0355,0.0001,200,7.1178
0.0388,0.0004,0.0003,0.0000,0.0382,0.0001,200,7.1538
0.0362,0.0005,0.0003,0.0000,0.0356,0.0001,200,7.1926
0.0362,0.0005,0.0003,0.0000,0.0356,0.0001,200,7.2289
0.0353,0.0005,0.0003,0.0000,0.0347,0.0001,200,7.2650
0.0358,0.0004,0.0003,0.0000,0.0352,0.0001,200,7.3004
0.0355,0.0005,0.0003,0.0000,0.0350,0.0001,200,7.3362
0.0358,0.0006,0.0004,0.0000,0.0351,0.0001,200,7.3717
0.0370,0.0005,0.0003,0.0000,0.0363,0.0001,200,7.4075
0.0399,0.0005,0.0003,0.0000,0.0393,0.0001,200,7.4445
0.0375,0.0006,0.0004,0.0000,0.0368,0.0001,200,7.4844
0.0361,0.0006,0.0003,0.0000,0.0354,0.0001,200,7.5219
0.0365,0.0005,0.0003,0.0000,0.0359,0.0001,200,7.5581
0.0361,0.0004,0.0002,0.0000,0.0355,0.0001,200,7.5946
0.0364,0.0004,0.0002,0.0000,0.0358,0.0001,200,7.6307
0.0357,0.0005,0.0003,0.0000,0.0350,0.0001,200,7.6670
0.0369,0.0004,0.0002,0.0000,0.0364,0.0001,200,7.7027
0.0370,0.0005,0.0003,0.0000,0.0364,0.0001,200,7.7396
0.0366,0.0005,0.0003,0.0000,0.0360,0.0001,200,7.7767
0.0374,0.0005,0.0003,0.0000,0.0368,0.0001,200,7.8133
0.0379,0.0005,0.0003,0.0000,0.0373,0.0001,200,7.8507
0.0384,0.0005,0.0003,0.0000,0.0377,0.0001,200,7.8886
0.0371,0.0004,0.0002,0.0000,0.0365,0.0001,200,7.9270
0.0376,0.0004,0.0002,0.0000,0.0370,0.0001,200,7.9641
0.0381,0.0005,0.0003,0.0000,0.0375,0.0001,200,8.0016
0.0369,0.0005,0.0003,0.0000,0.0362,0.0001,200,8.0397
0.0374,0.0005,0.0003,0.0000,0.0368,0.0001,200,8.0766
0.0380,0.0005,0.0003,0.0000,0.0374,0.0001,200,8.1141
0.0378,0.0005,0.0003,0.0000,0.0372,0.0001,200,8.1520
0.0375,0.0005,0.0003,0.0000,0.0368,0.0001,200,8.1899
0.0385,0.0005,0.0003,0.0001,0.0378,0.0001,200,8.2274
0.0373,0.0005,0.0003,0.0000,0.0367,0.0001,200,8.2659
0.0385,0.0005,0.0003,0.0001,0.0378,0.0001,200,8.3032
0.0379,0.0005,0.0003,0.0000,0.0372,0.0001,200,8.3417
0.0387,0.0005,0.0003,0.0001,0.0381,0.0001,200,8.3796
0.0385,0.0005,0.0003,0.0000,0.0378,0.0001,200,8.4183
0.0369,0.0005,0.0003,0.0000,0.0362,0.0001,200,8.4567
0.0378,0.0005,0.0003,0.0000,0.0371,0.0001,200,8.4937
0.0375,0.0005,0.0003,0.0000,0.0368,0.0001,200,8.5315
0.0382,0.0006,0.0003,0.0000,0.0375,0.0001,200,8.5690
0.0374,0.0005,0.0003,0.0001,0.0368,0.0001,200,8.6072
0.0386,0.0005,0.0003,0.0000,0.0379,0.0001,200,8.6446
0.0388,0.0006,0.0004,0.0000,0.0381,0.0001,200,8.6832
0.0372,0.0006,0.0004,0.0000,0.0366,0.0001,200,8.7220
0.0369,0.0005,0.0003,0.0000,0.0363,0.0001,200,8.7592
0.0377,0.0005,0.0003,0.0001,0.0370,0.0001,200,8.7962
0.0380,0.0005,0.0003,0.0000,0.0374,0.0001,200,8.8339
0.0381,0.0005,0.0003,0.0001,0.0375,0.0001,200,8.8719
0.0376,0.0006,0.0003,0.0001,0.0369,0.0001,200,8.9100
0.0369,0.0005,0.0003,0.0000,0.0362,0.0001,200,8.9476
0.0382,0.0005,0.0003,0.0000,0.0375,0.0001,200,8.9845
0.0369,0.0005,0.0003,0.0000,0.0363,0.0001,200,9.0227
0.0370,0.0005,0.0003,0.0001,0.0363,0.0001,200,9.0597
0.0370,0.0005,0.0002,0.0000,0.0364,0.0001,200,9.0967
0.0384,0.0005,0.0003,0.0000,0.0377,0.0001,200,9.1337
0.0380,0.0006,0.0004,0.0000,0.0373,0.0001,200,9.1721
0.0386,0.0006,0.0004,0.0000,0.0379,0.0001,200,9.2101
0.0369,0.0005,0.0003,0.0000,0.0362,0.0001,200,9.2488
0.0365,0.0005,0.0003,0.0001,0.0358,0.0001,200,9.2857
0.0370,0.0006,0.0003,0.0000,0.0363,0.0001,200,9.3222
0.0365,0.0005,0.0003,0.0000,0.0359,0.0001,200,9.3592
0.0384,0.0005,0.0003,0.0000,0.0377,0.0001,200,9.3957
0.0369,0.0005,0.0003,0.0000,0.0362,0.0001,200,9.4341
0.0368,0.0005,0.0003,0.0000,0.0361,0.0001,200,9.4710
0.0371,0.0005,0.0003,0.0000,0.0364,0.0001,200,9.5078
0.0375,0.0005,0.0003,0.0000,0.0369,0.0001,200,9.5448
0.0368,0.0005,0.0003,0.0000,0.0362,0.0001,200,9.5824
0.0374,0.0005,0.0003,0.0001,0.0368,0.0001,200,9.6192
0.0366,0.0005,0.0003,0.0000,0.0360,0.0001,200,9.6566
0.0382,0.0005,0.0003,0.0000,0.0376,0.0001,200,9.6932
0.0376,0.0005,0.0003,0.0000,0.0369,0.0001,200,9.7315
0.0367,0.0005,0.0003,0.0001,0.0360,0.0001,200,9.7690
0.0367,0.0005,0.0003,0.0001,0.0360,0.0001,200,9.8058
0.0371,0.0005,0.0003,0.0000,0.0364,0.0001,200,9.8425
0.0380,0.0005,0.0003,0.0000,0.0374,0.0001,200,9.8795
0.0403,0.0005,0.0003,0.0000,0.0397,0.0001,200,9.9176
0.0367,0.0005,0.0003,0.0000,0.0360,0.0001,200,9.9579
0.0384,0.0005,0.0003,0.0000,0.0377,0.0001,200,9.9945
0.0370,0.0005,0.0003,0.0001,0.0364,0.0001,200,10.0329
0.0371,0.0005,0.0003,0.0001,0.0365,0.0001,200,10.0699
0.0377,0.0005,0.0003,0.0000,0.0371,0.0001,200,10.1070
0.0379,0.0005,0.0003,0.0000,0.0372,0.0001,200,10.1447
0.0366,0.0005,0.0003,0.0000,0.0360,0.0001,200,10.1826
0.0374,0.0005,0.0003,0.0001,0.0368,0.0001,200,10.2192
0.0370,0.0005,0.0003,0.0000,0.0364,0.0001,200,10.2566
0.0370,0.0005,0.0003,0.0000,0.0364,0.0001,200,10.2936
0.0379,0.0005,0.0003,0.0000,0.0372,0.0001,200,10.3307
0.0369,0.0005,0.0003,0.0000,0.0363,0.0001,200,10.3686
0.0375,0.0005,0.0003,0.0000,0.0368,0.0001,200,10.4055
0.0379,0.0005,0.0003,0.0000,0.0372,0.0001,200,10.4430
0.0380,0.0005,0.0003,0.0001,0.0374,0.0001,200,10.4809
0.0370,0.0006,0.0003,0.0000,0.0362,0.0001,200,10.5189
0.0377,0.0005,0.0003,0.0000,0.0371,0.0001,200,10.5559
0.0377,0.0005,0.0003,0.0000,0.0370,0.0001,200,10.5936
0.0378,0.0005,0.0003,0.0000,0.0372,0.0001,200,10.6313
0.0381,0.0005,0.0003,0.0000,0.0374,0.0001,200,10.6691
0.0379,0.0005,0.0003,0.0000,0.0373,0.0001,200,10.7072
0.0379,0.0005,0.0003,0.0000,0.0373,0.0001,200,10.7451
0.0376,0.0005,0.0003,0.0000,0.0369,0.0001,200,10.7830
0.0372,0.0005,0.0003,0.0000,0.0366,0.0001,200,10.8207
0.0368,0.0005,0.0002,0.0000,0.0362,0.0001,200,10.8579
0.0387,0.0005,0.0003,0.0000,0.0381,0.0001,200,10.8947
0.0380,0.0005,0.0003,0.0000,0.0373,0.0001,200,10.9334
0.0373,0.0005,0.0003,0.0001,0.0366,0.0001,200,10.9714
0.0375,0.0007,0.0004,0.0000,0.0367,0.0001,200,11.0088
0.0363,0.0005,0.0003,0.0000,0.0357,0.0001,200,11.0463
0.0366,0.0005,0.0003,0.0000,0.0360,0.0001,200,11.0826
0.0371,0.0005,0.0003,0.0000,0.0364,0.0001,200,11.1193
0.0385,0.0005,0.0003,0.0000,0.0378,0.0001,200,11.1564
0.0375,0.0006,0.0004,0.0000,0.0367,0.0001,200,11.1949
0.0381,0.0005,0.0003,0.0000,0.0375,0.0001,200,11.2324
0.0376,0.0005,0.0003,0.0000,0.0370,0.0001,200,11.2705
0.0374,0.0005,0.0003,0.0000,0.0368,0.0001,200,11.3082
0.0369,0.0005,0.0003,0.0000,0.0363,0.0001,200,11.3456
0.0371,0.0005,0.0003,0.0006,0.0360,0.0001,200,11.3825
