response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0287,0.0007,0.0005,0.0000,0.0277,0.0001,200,0.0042
0.0205,0.0026,0.0023,0.0000,0.0174,0.0005,200,0.0329
0.0180,0.0006,0.0004,0.0000,0.0173,0.0001,200,0.0534
0.0180,0.0005,0.0003,0.0000,0.0173,0.0001,200,0.0714
0.0180,0.0006,0.0004,0.0001,0.0173,0.0001,200,0.0894
0.0181,0.0006,0.0004,0.0001,0.0174,0.0001,200,0.1073
0.0263,0.0006,0.0004,0.0001,0.0256,0.0001,200,0.1255
0.0194,0.0005,0.0003,0.0001,0.0188,0.0001,200,0.1518
0.0182,0.0006,0.0004,0.0000,0.0176,0.0001,200,0.1712
0.0180,0.0005,0.0003,0.0001,0.0173,0.0001,200,0.1895
0.0180,0.0006,0.0004,0.0001,0.0172,0.0001,200,0.2075
0.0182,0.0006,0.0004,0.0000,0.0175,0.0001,200,0.2254
0.0180,0.0005,0.0003,0.0001,0.0173,0.0001,200,0.2436
0.0181,0.0005,0.0003,0.0001,0.0175,0.0001,200,0.2615
0.0178,0.0005,0.0003,0.0000,0.0172,0.0001,200,0.2797
0.0177,0.0005,0.0003,0.0001,0.0170,0.0001,200,0.2975
0.0263,0.0005,0.0004,0.0001,0.0256,0.0001,200,0.3152
0.0178,0.0005,0.0003,0.0000,0.0171,0.0001,200,0.3415
0.0179,0.0005,0.0003,0.0001,0.0172,0.0001,200,0.3592
0.0178,0.0004,0.0002,0.0001,0.0172,0.0001,200,0.3771
0.0179,0.0006,0.0004,0.0001,0.0172,0.0001,200,0.3949
0.0181,0.0005,0.0004,0.0000,0.0175,0.0001,200,0.4128
0.0182,0.0006,0.0004,0.0000,0.0174,0.0001,200,0.4310
0.0194,0.0005,0.0003,0.0000,0.0187,0.0001,200,0.4491
0.0178,0.0006,0.0004,0.0001,0.0171,0.0001,200,0.4685
0.0180,0.0006,0.0004,0.0001,0.0173,0.0001,200,0.4863
0.0176,0.0005,0.0003,0.0000,0.0170,0.0001,200,0.5043
0.0181,0.0005,0.0003,0.0001,0.0175,0.0001,200,0.5220
0.0176,0.0004,0.0003,0.0001,0.0170,0.0001,200,0.5400
0.0177,0.0005,0.0003,0.0001,0.0171,0.0001,200,0.5576
0.0179,0.0006,0.0004,0.0000,0.0172,0.0001,200,0.5753
0.0181,0.0004,0.0003,0.0000,0.0175,0.0001,200,0.5933
0.0182,0.0005,0.0003,0.0000,0.0176,0.0001,200,0.6114
0.0189,0.0005,0.0004,0.0001,0.0182,0.0001,200,0.6296
0.0176,0.0004,0.0003,0.0000,0.0171,0.0001,200,0.6485
0.0177,0.0004,0.0002,0.0001,0.0171,0.0001,200,0.6661
0.0258,0.0005,0.0003,0.0000,0.0252,0.0001,200,0.6838
0.0259,0.0004,0.0002,0.0000,0.0253,0.0001,200,0.7096
0.0262,0.0005,0.0003,0.0000,0.0256,0.0001,200,0.7355
0.0178,0.0005,0.0003,0.0000,0.0171,0.0001,200,0.7616
0.0184,0.0006,0.0004,0.0001,0.0176,0.0001,200,0.7794
0.0177,0.0004,0.0003,0.0000,0.0171,0.0001,200,0.7978
0.0180,0.0005,0.0003,0.0001,0.0173,0.0001,200,0.8156
0.0268,0.0005,0.0004,0.0000,0.0261,0.0001,200,0.8336
0.0182,0.0005,0.0003,0.0000,0.0175,0.0001,200,0.8604
0.0275,0.0005,0.0003,0.0000,0.0268,0.0001,200,0.8785
0.0185,0.0006,0.0004,0.0000,0.0178,0.0001,200,0.9060
0.0265,0.0006,0.0004,0.0000,0.0257,0.0001,200,0.9246
0.0182,0.0006,0.0004,0.0000,0.0174,0.0001,200,0.9510
0.0179,0.0006,0.0004,0.0000,0.0172,0.0001,200,0.9693
0.0179,0.0006,0.0004,0.0001,0.0172,0.0001,200,0.9872
0.0177,0.0005,0.0003,0.0001,0.0170,0.0001,200,1.0051
0.0179,0.0006,0.0004,0.0000,0.0172,0.0001,200,1.0228
0.0177,0.0004,0.0003,0.0000,0.0171,0.0001,200,1.0407
0.0186,0.0006,0.0004,0.0001,0.0178,0.0001,200,1.0584
0.0190,0.0007,0.0005,0.0000,0.0182,0.0001,200,1.0770
0.0180,0.0007,0.0005,0.0001,0.0171,0.0001,200,1.0960
0.0188,0.0006,0.0004,0.0000,0.0181,0.0001,200,1.1140
0.0195,0.0007,0.0004,0.0001,0.0186,0.0001,200,1.1328
0.0191,0.0007,0.0005,0.0001,0.0182,0.0001,200,1.1523
0.0185,0.0005,0.0003,0.0001,0.0178,0.0001,200,1.1714
0.0185,0.0008,0.0005,0.0001,0.0176,0.0001,200,1.1899
0.0265,0.0005,0.0003,0.0001,0.0259,0.0001,200,1.2084
0.0181,0.0005,0.0003,0.0001,0.0174,0.0001,200,1.2349
0.0181,0.0005,0.0003,0.0001,0.0175,0.0001,200,1.2530
0.0272,0.0006,0.0003,0.0000,0.0264,0.0001,200,1.2711
