response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1383,0.0010,0.0006,0.0001,2.1364,0.0006,200,0.0026
2.1305,0.0008,0.0005,0.0001,2.1288,0.0008,200,2.1409
2.1252,0.0005,0.0003,0.0000,2.1240,0.0006,200,4.2713
2.1145,0.0011,0.0009,0.0000,2.1127,0.0007,200,6.3965
2.1259,0.0005,0.0003,0.0000,2.1248,0.0005,200,8.5110
2.1327,0.0005,0.0003,0.0000,2.1315,0.0006,200,10.6369
2.1223,0.0006,0.0003,0.0000,2.1211,0.0005,200,12.7696
2.1188,0.0005,0.0003,0.0000,2.1176,0.0006,200,14.8918
2.1139,0.0005,0.0003,0.0000,2.1128,0.0006,200,17.0106
2.1262,0.0006,0.0004,0.0000,2.1250,0.0005,200,19.1245
2.1262,0.0006,0.0003,0.0001,2.1250,0.0005,200,21.2507
2.1338,0.0005,0.0003,0.0001,2.1327,0.0005,200,23.3769
2.1175,0.0006,0.0003,0.0000,2.1164,0.0005,200,25.5107
2.1337,0.0005,0.0003,0.0000,2.1326,0.0005,200,27.6282
2.1145,0.0006,0.0004,0.0000,2.1133,0.0006,200,29.7620
2.1158,0.0006,0.0004,0.0000,2.1146,0.0005,200,31.8764
2.1228,0.0007,0.0004,0.0000,2.1215,0.0005,200,33.9923
2.1172,0.0005,0.0003,0.0000,2.1159,0.0007,200,36.1151
2.1199,0.0005,0.0003,0.0000,2.1188,0.0005,200,38.2323
2.1104,0.0005,0.0003,0.0000,2.1093,0.0005,200,40.3521
2.1191,0.0006,0.0004,0.0000,2.1178,0.0007,200,42.4626
2.1042,0.0006,0.0003,0.0001,2.1029,0.0005,200,44.5817
2.1097,0.0005,0.0003,0.0000,2.1086,0.0006,200,46.6858
2.1222,0.0005,0.0003,0.0000,2.1211,0.0006,200,48.7955
2.1103,0.0005,0.0003,0.0000,2.1092,0.0005,200,50.9177
2.1126,0.0005,0.0003,0.0000,2.1114,0.0007,200,53.0281
2.1184,0.0006,0.0003,0.0001,2.1172,0.0005,200,55.1407
2.1150,0.0005,0.0003,0.0000,2.1138,0.0006,200,57.2591
2.1077,0.0007,0.0004,0.0000,2.1064,0.0005,200,59.3741
2.1091,0.0006,0.0003,0.0001,2.1079,0.0006,200,61.4818
2.1144,0.0006,0.0003,0.0001,2.1132,0.0006,200,63.5909
2.1116,0.0005,0.0003,0.0001,2.1104,0.0006,200,65.7054
2.1161,0.0005,0.0003,0.0000,2.1147,0.0008,200,67.8170
2.1068,0.0005,0.0003,0.0000,2.1056,0.0006,200,69.9331
2.1102,0.0006,0.0004,0.0000,2.1090,0.0005,200,72.0399
2.1097,0.0006,0.0004,0.0000,2.1085,0.0006,200,74.1501
2.1110,0.0006,0.0004,0.0000,2.1096,0.0007,200,76.2598
2.1388,0.0006,0.0003,0.0001,2.1377,0.0004,200,78.3708
2.1049,0.0005,0.0003,0.0000,2.1038,0.0005,200,80.5096
2.1070,0.0005,0.0003,0.0000,2.1059,0.0006,200,82.6145
2.1148,0.0006,0.0003,0.0000,2.1135,0.0006,200,84.7215
2.1195,0.0006,0.0004,0.0000,2.1184,0.0005,200,86.8363
2.1093,0.0006,0.0003,0.0000,2.1081,0.0005,200,88.9559
2.0806,0.0005,0.0003,0.0000,2.0795,0.0006,200,91.0651
2.0999,0.0005,0.0004,0.0000,2.0986,0.0007,200,93.1458
2.0928,0.0006,0.0004,0.0000,2.0915,0.0006,200,95.2457
2.0848,0.0005,0.0003,0.0000,2.0835,0.0007,200,97.3385
2.0882,0.0005,0.0003,0.0001,2.0870,0.0006,200,99.4233
2.0867,0.0007,0.0004,0.0000,2.0853,0.0007,200,101.5115
2.0838,0.0006,0.0004,0.0000,2.0826,0.0006,200,103.5982
2.0891,0.0006,0.0003,0.0000,2.0879,0.0006,200,105.6820
2.0894,0.0006,0.0004,0.0000,2.0882,0.0005,200,107.7711
2.0905,0.0005,0.0003,0.0000,2.0893,0.0006,200,109.8605
2.0887,0.0006,0.0003,0.0000,2.0873,0.0007,200,111.9511
2.0878,0.0006,0.0003,0.0000,2.0865,0.0006,200,114.0398
2.0895,0.0007,0.0004,0.0001,2.0877,0.0005,200,116.1276
