response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3035,0.0012,0.0005,0.0000,0.0153,0.2870,200,0.0031
0.3051,0.0005,0.0003,0.0000,0.0156,0.2888,200,0.3065
0.3044,0.0006,0.0003,0.0000,0.0151,0.2886,200,0.6116
0.3020,0.0006,0.0003,0.0000,0.0156,0.2858,200,0.9160
0.3011,0.0005,0.0003,0.0000,0.0150,0.2855,200,1.2180
0.3037,0.0005,0.0003,0.0000,0.0151,0.2881,200,1.5191
0.3487,0.0005,0.0003,0.0000,0.0152,0.3329,200,1.8228
0.2831,0.0006,0.0003,0.0000,0.0146,0.2678,200,2.1716
0.2836,0.0005,0.0003,0.0000,0.0141,0.2689,200,2.4546
0.2826,0.0005,0.0003,0.0001,0.0144,0.2676,200,2.7383
0.2824,0.0005,0.0003,0.0000,0.0142,0.2676,200,3.0209
0.2807,0.0005,0.0002,0.0001,0.0140,0.2661,200,3.3033
0.2806,0.0005,0.0003,0.0001,0.0142,0.2659,200,3.5840
0.2791,0.0005,0.0003,0.0000,0.0140,0.2645,200,3.8646
0.2806,0.0006,0.0003,0.0001,0.0141,0.2658,200,4.1437
0.2794,0.0006,0.0003,0.0000,0.0139,0.2648,200,4.4242
0.2773,0.0005,0.0003,0.0000,0.0137,0.2630,200,4.7036
0.2783,0.0005,0.0003,0.0000,0.0140,0.2637,200,4.9810
0.2813,0.0006,0.0003,0.0001,0.0142,0.2665,200,5.2593
0.2742,0.0005,0.0003,0.0000,0.0138,0.2598,200,5.5406
0.2772,0.0006,0.0003,0.0000,0.0138,0.2626,200,5.8148
0.2796,0.0006,0.0003,0.0000,0.0140,0.2649,200,6.0920
0.2793,0.0006,0.0003,0.0000,0.0139,0.2647,200,6.3716
0.2789,0.0005,0.0003,0.0001,0.0140,0.2643,200,6.6509
0.2787,0.0005,0.0003,0.0001,0.0139,0.2642,200,6.9298
0.2806,0.0005,0.0003,0.0000,0.0141,0.2660,200,7.2085
0.2807,0.0005,0.0003,0.0000,0.0139,0.2661,200,7.4891
0.2801,0.0005,0.0003,0.0000,0.0140,0.2656,200,7.7698
0.2809,0.0005,0.0003,0.0000,0.0140,0.2662,200,8.0499
0.2815,0.0005,0.0003,0.0000,0.0139,0.2671,200,8.3307
0.2816,0.0005,0.0003,0.0001,0.0141,0.2668,200,8.6123
0.2820,0.0005,0.0003,0.0000,0.0141,0.2674,200,8.8938
0.2791,0.0005,0.0003,0.0001,0.0139,0.2647,200,9.1759
0.2810,0.0006,0.0003,0.0006,0.0139,0.2659,200,9.4550
0.2821,0.0005,0.0003,0.0000,0.0141,0.2674,200,9.7360
0.2778,0.0005,0.0003,0.0000,0.0139,0.2633,200,10.0181
0.2795,0.0005,0.0003,0.0001,0.0138,0.2650,200,10.2959
0.2789,0.0005,0.0003,0.0000,0.0140,0.2643,200,10.5754
0.2788,0.0005,0.0003,0.0000,0.0139,0.2643,200,10.8543
0.2803,0.0005,0.0003,0.0000,0.0141,0.2656,200,11.1331
0.2765,0.0005,0.0003,0.0000,0.0138,0.2621,200,11.4134
0.2784,0.0005,0.0003,0.0000,0.0139,0.2639,200,11.6899
0.2793,0.0005,0.0003,0.0000,0.0139,0.2648,200,11.9682
0.2772,0.0006,0.0003,0.0000,0.0138,0.2626,200,12.2475
0.2822,0.0005,0.0003,0.0000,0.0143,0.2673,200,12.5247
0.2851,0.0005,0.0003,0.0000,0.0142,0.2704,200,12.8069
0.2803,0.0005,0.0003,0.0001,0.0143,0.2654,200,13.0920
0.2803,0.0006,0.0003,0.0000,0.0140,0.2657,200,13.3723
0.2800,0.0005,0.0003,0.0000,0.0141,0.2654,200,13.6527
0.2805,0.0005,0.0003,0.0000,0.0140,0.2659,200,13.9326
0.3319,0.0005,0.0003,0.0000,0.0153,0.3160,200,14.2132
0.3072,0.0005,0.0003,0.0001,0.0151,0.2915,200,14.5451
0.3063,0.0005,0.0003,0.0000,0.0151,0.2906,200,14.8523
0.3008,0.0005,0.0003,0.0000,0.0153,0.2849,200,15.1586
0.3033,0.0005,0.0003,0.0000,0.0150,0.2878,200,15.4593
0.3058,0.0005,0.0003,0.0000,0.0154,0.2898,200,15.7627
0.3236,0.0005,0.0003,0.0000,0.0152,0.3079,200,16.0684
0.3455,0.0005,0.0003,0.0001,0.0173,0.3275,200,16.3921
0.2854,0.0005,0.0003,0.0000,0.0147,0.2702,200,16.7376
0.2870,0.0006,0.0003,0.0000,0.0144,0.2719,200,17.0230
0.2805,0.0005,0.0003,0.0000,0.0149,0.2650,200,17.3100
0.2790,0.0005,0.0003,0.0000,0.0142,0.2641,200,17.5905
0.2791,0.0005,0.0003,0.0000,0.0139,0.2646,200,17.8695
0.2889,0.0005,0.0003,0.0000,0.0140,0.2744,200,18.1486
0.2821,0.0005,0.0003,0.0000,0.0139,0.2676,200,18.4375
0.2787,0.0005,0.0003,0.0000,0.0140,0.2641,200,18.7196
0.2804,0.0005,0.0003,0.0000,0.0140,0.2658,200,18.9983
0.2800,0.0005,0.0003,0.0000,0.0150,0.2644,200,19.2787
0.2779,0.0005,0.0003,0.0000,0.0141,0.2632,200,19.5588
0.2787,0.0005,0.0003,0.0000,0.0135,0.2646,200,19.8366
0.2802,0.0006,0.0004,0.0000,0.0140,0.2655,200,20.1153
0.2788,0.0005,0.0003,0.0000,0.0141,0.2642,200,20.3955
0.2772,0.0005,0.0003,0.0000,0.0141,0.2626,200,20.6743
0.2780,0.0005,0.0003,0.0000,0.0139,0.2635,200,20.9516
0.2825,0.0005,0.0003,0.0000,0.0140,0.2680,200,21.2295
0.2845,0.0006,0.0003,0.0000,0.0141,0.2698,200,21.5121
0.2820,0.0005,0.0003,0.0000,0.0142,0.2672,200,21.7966
0.2864,0.0006,0.0003,0.0001,0.0143,0.2715,200,22.0785
0.2804,0.0005,0.0003,0.0000,0.0143,0.2655,200,22.3650
0.2865,0.0005,0.0003,0.0000,0.0141,0.2718,200,22.6454
0.2885,0.0005,0.0003,0.0000,0.0144,0.2736,200,22.9318
0.2828,0.0006,0.0004,0.0000,0.0145,0.2676,200,23.2203
0.2810,0.0006,0.0003,0.0000,0.0140,0.2663,200,23.5031
0.2821,0.0005,0.0003,0.0000,0.0141,0.2675,200,23.7841
0.2804,0.0005,0.0003,0.0000,0.0140,0.2659,200,24.0662
0.2812,0.0005,0.0003,0.0000,0.0141,0.2665,200,24.3467
0.2809,0.0005,0.0003,0.0000,0.0141,0.2662,200,24.6278
0.2873,0.0004,0.0002,0.0000,0.0141,0.2726,200,24.9087
0.2815,0.0006,0.0003,0.0000,0.0140,0.2668,200,25.1960
0.3099,0.0005,0.0003,0.0000,0.0153,0.2940,200,25.4775
0.3102,0.0005,0.0003,0.0000,0.0154,0.2941,200,25.7874
0.3060,0.0006,0.0003,0.0000,0.0153,0.2900,200,26.0976
0.3068,0.0005,0.0003,0.0000,0.0154,0.2908,200,26.4035
0.3056,0.0005,0.0003,0.0000,0.0153,0.2898,200,26.7103
0.3024,0.0005,0.0003,0.0000,0.0152,0.2865,200,27.0159
0.3036,0.0005,0.0003,0.0000,0.0152,0.2877,200,27.3183
0.3047,0.0006,0.0003,0.0000,0.0150,0.2890,200,27.6219
0.3044,0.0005,0.0003,0.0000,0.0150,0.2888,200,27.9266
0.3060,0.0005,0.0003,0.0000,0.0153,0.2901,200,28.2311
0.3055,0.0005,0.0003,0.0000,0.0152,0.2897,200,28.5371
0.3046,0.0005,0.0003,0.0000,0.0151,0.2889,200,28.8426
0.3041,0.0006,0.0003,0.0000,0.0155,0.2880,200,29.1472
0.3042,0.0006,0.0003,0.0000,0.0153,0.2883,200,29.4514
0.3042,0.0005,0.0003,0.0000,0.0151,0.2885,200,29.7556
0.2996,0.0005,0.0003,0.0000,0.0151,0.2839,200,30.0597
0.2992,0.0005,0.0003,0.0000,0.0155,0.2832,200,30.3593
0.3065,0.0005,0.0003,0.0001,0.0150,0.2909,200,30.6585
0.3075,0.0005,0.0003,0.0001,0.0156,0.2912,200,30.9650
0.3040,0.0005,0.0003,0.0001,0.0152,0.2882,200,31.2725
0.3048,0.0005,0.0003,0.0000,0.0152,0.2891,200,31.5765
0.3071,0.0005,0.0003,0.0001,0.0151,0.2914,200,31.8813
0.3068,0.0005,0.0003,0.0001,0.0153,0.2909,200,32.1884
0.3049,0.0012,0.0010,0.0000,0.0153,0.2883,200,32.4952
0.3031,0.0006,0.0003,0.0000,0.0152,0.2873,200,32.8001
0.3070,0.0005,0.0003,0.0000,0.0153,0.2911,200,33.1032
0.3032,0.0006,0.0003,0.0000,0.0150,0.2876,200,33.4102
0.3051,0.0005,0.0003,0.0001,0.0152,0.2893,200,33.7134
0.3065,0.0006,0.0003,0.0000,0.0154,0.2905,200,34.0184
0.3042,0.0006,0.0003,0.0000,0.0151,0.2884,200,34.3249
0.3061,0.0005,0.0003,0.0000,0.0156,0.2899,200,34.6292
0.3042,0.0005,0.0003,0.0000,0.0151,0.2885,200,34.9353
0.3036,0.0006,0.0004,0.0001,0.0153,0.2876,200,35.2394
0.3011,0.0005,0.0003,0.0000,0.0151,0.2855,200,35.5430
0.2995,0.0005,0.0003,0.0001,0.0150,0.2838,200,35.8441
0.2995,0.0005,0.0003,0.0000,0.0149,0.2840,200,36.1436
0.3013,0.0006,0.0003,0.0001,0.0151,0.2855,200,36.4431
0.3024,0.0005,0.0003,0.0000,0.0151,0.2866,200,36.7444
0.2976,0.0005,0.0003,0.0001,0.0149,0.2820,200,37.0468
0.2979,0.0005,0.0003,0.0000,0.0148,0.2825,200,37.3443
0.3047,0.0006,0.0003,0.0000,0.0173,0.2868,200,37.6423
0.2849,0.0006,0.0003,0.0001,0.0140,0.2702,200,37.9469
0.2863,0.0006,0.0003,0.0001,0.0142,0.2714,200,38.2318
0.2814,0.0005,0.0003,0.0001,0.0143,0.2664,200,38.5182
0.3029,0.0005,0.0003,0.0000,0.0140,0.2882,200,38.7996
0.3245,0.0005,0.0003,0.0000,0.0152,0.3086,200,39.1024
0.3178,0.0006,0.0003,0.0001,0.0160,0.3012,200,39.4269
0.3091,0.0005,0.0003,0.0001,0.0156,0.2929,200,39.7447
0.3055,0.0005,0.0003,0.0000,0.0154,0.2895,200,40.0539
0.3080,0.0005,0.0003,0.0000,0.0154,0.2921,200,40.3594
0.3052,0.0005,0.0003,0.0001,0.0151,0.2895,200,40.6675
0.3078,0.0005,0.0003,0.0000,0.0154,0.2919,200,40.9727
0.3071,0.0005,0.0003,0.0001,0.0152,0.2913,200,41.2805
0.3075,0.0006,0.0004,0.0001,0.0162,0.2907,200,41.5876
