response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1342,0.0013,0.0010,0.0001,2.1326,0.0001,200,0.0038
2.1381,0.0006,0.0003,0.0001,2.1373,0.0001,200,2.1380
2.1443,0.0005,0.0003,0.0000,2.1437,0.0001,200,4.2761
2.1419,0.0005,0.0003,0.0000,2.1413,0.0001,200,6.4204
2.1455,0.0005,0.0003,0.0000,2.1449,0.0001,200,8.5623
2.1369,0.0006,0.0004,0.0000,2.1362,0.0001,200,10.7079
2.1340,0.0006,0.0003,0.0000,2.1332,0.0001,200,12.8448
2.1296,0.0005,0.0003,0.0000,2.1289,0.0001,200,14.9788
2.1345,0.0005,0.0003,0.0000,2.1338,0.0001,200,17.1084
2.1309,0.0006,0.0003,0.0000,2.1301,0.0001,200,19.2429
2.1303,0.0006,0.0003,0.0000,2.1296,0.0001,200,21.3737
2.1304,0.0005,0.0003,0.0000,2.1297,0.0001,200,23.5040
2.1328,0.0005,0.0004,0.0001,2.1321,0.0001,200,25.6344
2.1303,0.0006,0.0003,0.0001,2.1295,0.0001,200,27.7672
2.1327,0.0005,0.0003,0.0000,2.1320,0.0001,200,29.8974
2.1349,0.0006,0.0003,0.0000,2.1341,0.0001,200,32.0302
2.1301,0.0005,0.0003,0.0000,2.1294,0.0001,200,34.1651
2.1328,0.0005,0.0003,0.0000,2.1321,0.0001,200,36.2952
2.1438,0.0006,0.0003,0.0000,2.1431,0.0001,200,38.4280
2.1439,0.0005,0.0003,0.0000,2.1432,0.0001,200,40.5718
2.1456,0.0006,0.0003,0.0000,2.1449,0.0001,200,42.7157
2.1513,0.0005,0.0003,0.0000,2.1506,0.0001,200,44.8613
2.1445,0.0005,0.0003,0.0000,2.1438,0.0001,200,47.0126
2.1463,0.0006,0.0003,0.0000,2.1456,0.0001,200,49.1571
2.1468,0.0007,0.0004,0.0000,2.1460,0.0001,200,51.3034
2.1405,0.0005,0.0003,0.0000,2.1398,0.0001,200,53.4503
2.1302,0.0006,0.0003,0.0000,2.1294,0.0001,200,55.5908
2.1317,0.0005,0.0003,0.0000,2.1310,0.0001,200,57.7209
2.1314,0.0005,0.0003,0.0000,2.1307,0.0001,200,59.8527
2.1348,0.0005,0.0003,0.0000,2.1342,0.0001,200,61.9841
2.1319,0.0005,0.0003,0.0000,2.1312,0.0001,200,64.1189
2.1342,0.0005,0.0003,0.0000,2.1336,0.0001,200,66.2508
2.1325,0.0006,0.0003,0.0000,2.1317,0.0001,200,68.3850
2.1340,0.0006,0.0003,0.0000,2.1333,0.0001,200,70.5175
