response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2264,0.0009,0.0005,0.0001,2.2251,0.0001,200,0.0036
2.2178,0.0006,0.0004,0.0001,2.2169,0.0001,200,2.2300
2.2047,0.0012,0.0004,0.0001,2.2034,0.0001,200,4.4478
2.2003,0.0006,0.0003,0.0000,2.1995,0.0001,200,6.6525
2.2064,0.0005,0.0003,0.0000,2.2056,0.0001,200,8.8528
2.2015,0.0005,0.0003,0.0000,2.2007,0.0001,200,11.0592
2.1989,0.0006,0.0003,0.0000,2.1981,0.0001,200,13.2607
2.2011,0.0006,0.0004,0.0000,2.2003,0.0001,200,15.4596
2.1975,0.0006,0.0003,0.0000,2.1967,0.0001,200,17.6607
2.2002,0.0006,0.0003,0.0000,2.1995,0.0001,200,19.8581
2.2040,0.0005,0.0003,0.0000,2.2033,0.0001,200,22.0583
2.2020,0.0006,0.0003,0.0000,2.2013,0.0001,200,24.2623
2.2278,0.0005,0.0003,0.0000,2.2271,0.0001,200,26.4644
2.2048,0.0005,0.0003,0.0000,2.2041,0.0001,200,28.6921
2.2032,0.0005,0.0003,0.0000,2.2025,0.0001,200,30.8969
2.2026,0.0006,0.0004,0.0000,2.2018,0.0002,200,33.1001
2.2099,0.0005,0.0003,0.0000,2.2093,0.0001,200,35.3028
2.2014,0.0005,0.0003,0.0000,2.2007,0.0001,200,37.5127
2.2033,0.0005,0.0003,0.0000,2.2026,0.0001,200,39.7141
2.2047,0.0007,0.0005,0.0000,2.2038,0.0001,200,41.9174
2.2051,0.0005,0.0003,0.0000,2.2044,0.0002,200,44.1222
2.2013,0.0006,0.0003,0.0000,2.2006,0.0001,200,46.3272
2.1995,0.0005,0.0003,0.0000,2.1988,0.0001,200,48.5286
2.2006,0.0005,0.0003,0.0000,2.1998,0.0001,200,50.7281
2.1991,0.0005,0.0003,0.0000,2.1984,0.0001,200,52.9287
2.1979,0.0006,0.0004,0.0000,2.1971,0.0001,200,55.1278
2.1992,0.0006,0.0004,0.0000,2.1984,0.0002,200,57.3257
2.1999,0.0006,0.0004,0.0001,2.1991,0.0001,200,59.5248
2.1989,0.0006,0.0003,0.0000,2.1982,0.0001,200,61.7248
2.1983,0.0006,0.0003,0.0000,2.1975,0.0001,200,63.9237
2.1985,0.0005,0.0003,0.0000,2.1978,0.0001,200,66.1220
2.1982,0.0005,0.0003,0.0000,2.1975,0.0001,200,68.3205
2.1983,0.0006,0.0004,0.0001,2.1975,0.0001,200,70.5187
2.1983,0.0005,0.0003,0.0000,2.1976,0.0001,200,72.7170
2.1989,0.0005,0.0003,0.0000,2.1982,0.0001,200,74.9152
2.2015,0.0006,0.0004,0.0000,2.2008,0.0001,200,77.1142
2.1985,0.0006,0.0004,0.0000,2.1977,0.0001,200,79.3157
2.1991,0.0005,0.0003,0.0000,2.1984,0.0001,200,81.5142
2.1991,0.0005,0.0003,0.0000,2.1984,0.0001,200,83.7133
2.1981,0.0005,0.0003,0.0000,2.1975,0.0001,200,85.9125
2.2159,0.0005,0.0003,0.0000,2.2152,0.0001,200,88.1106
2.2184,0.0005,0.0003,0.0000,2.2177,0.0001,200,90.3265
2.2186,0.0006,0.0004,0.0000,2.2179,0.0001,200,92.5449
2.2193,0.0005,0.0003,0.0000,2.2187,0.0001,200,94.7635
2.2111,0.0005,0.0003,0.0000,2.2105,0.0001,200,96.9828
2.1991,0.0006,0.0003,0.0000,2.1983,0.0001,200,99.1940
2.1987,0.0006,0.0003,0.0000,2.1979,0.0001,200,101.3931
2.1996,0.0005,0.0003,0.0000,2.1990,0.0001,200,103.5917
2.1990,0.0008,0.0006,0.0000,2.1979,0.0001,200,105.7913
2.2003,0.0006,0.0003,0.0000,2.1995,0.0001,200,107.9903
2.1985,0.0006,0.0004,0.0001,2.1977,0.0001,200,110.1906
2.2039,0.0006,0.0004,0.0000,2.2031,0.0001,200,112.3891
2.2114,0.0006,0.0003,0.0000,2.2106,0.0001,200,114.5930
2.2153,0.0006,0.0003,0.0000,2.2146,0.0001,200,116.8044
2.2209,0.0006,0.0004,0.0000,2.2198,0.0003,200,119.0197
2.2291,0.0007,0.0005,0.0001,2.2280,0.0001,200,121.2406
2.2159,0.0006,0.0003,0.0001,2.2152,0.0001,200,123.4697
2.2211,0.0006,0.0004,0.0000,2.2203,0.0001,200,125.6856
2.2044,0.0006,0.0004,0.0000,2.2036,0.0002,200,127.9066
2.2095,0.0006,0.0004,0.0000,2.2087,0.0001,200,130.1111
2.2143,0.0006,0.0004,0.0000,2.2135,0.0001,200,132.3206
2.2003,0.0005,0.0003,0.0001,2.1996,0.0001,200,134.5349
2.1987,0.0005,0.0003,0.0000,2.1980,0.0001,200,136.7352
2.2162,0.0007,0.0004,0.0000,2.2153,0.0001,200,138.9339
2.2216,0.0005,0.0003,0.0000,2.2209,0.0001,200,141.1501
2.2115,0.0005,0.0003,0.0000,2.2108,0.0001,200,143.3716
2.2217,0.0005,0.0003,0.0000,2.2209,0.0002,200,145.5831
2.2256,0.0005,0.0003,0.0000,2.2249,0.0001,200,147.8048
2.2087,0.0005,0.0003,0.0001,2.2080,0.0001,200,150.0304
2.2014,0.0006,0.0003,0.0001,2.2007,0.0001,200,152.2391
2.2117,0.0006,0.0004,0.0000,2.2110,0.0001,200,154.4405
2.1996,0.0005,0.0004,0.0000,2.1989,0.0001,200,156.6522
2.2058,0.0006,0.0003,0.0000,2.2051,0.0001,200,158.8519
2.2042,0.0006,0.0003,0.0000,2.2035,0.0001,200,161.0577
2.2113,0.0006,0.0003,0.0000,2.2106,0.0001,200,163.2619
2.2029,0.0006,0.0003,0.0000,2.2022,0.0001,200,165.4732
2.2016,0.0005,0.0003,0.0000,2.2009,0.0001,200,167.6762
2.1999,0.0006,0.0004,0.0001,2.1992,0.0001,200,169.8778
2.1987,0.0007,0.0004,0.0000,2.1979,0.0001,200,172.0778
2.2018,0.0005,0.0004,0.0000,2.2011,0.0001,200,174.2765
2.1994,0.0005,0.0003,0.0000,2.1987,0.0001,200,176.4783
2.2296,0.0006,0.0003,0.0000,2.2288,0.0001,200,178.6777
2.2261,0.0005,0.0003,0.0000,2.2255,0.0001,200,180.9072
2.2237,0.0006,0.0004,0.0001,2.2229,0.0001,200,183.1334
2.2221,0.0005,0.0003,0.0000,2.2214,0.0002,200,185.3571
2.2263,0.0005,0.0003,0.0001,2.2256,0.0001,200,187.5792
2.2123,0.0006,0.0003,0.0000,2.2116,0.0001,200,189.8056
2.2027,0.0006,0.0004,0.0000,2.2020,0.0001,200,192.0179
2.2054,0.0005,0.0003,0.0000,2.2047,0.0001,200,194.2206
2.2075,0.0005,0.0003,0.0000,2.2068,0.0001,200,196.4261
2.2076,0.0005,0.0003,0.0000,2.2069,0.0001,200,198.6335
2.2069,0.0005,0.0003,0.0000,2.2062,0.0001,200,200.8411
2.2056,0.0005,0.0003,0.0000,2.2049,0.0001,200,203.0480
2.2060,0.0005,0.0003,0.0000,2.2052,0.0001,200,205.2536
2.2118,0.0005,0.0003,0.0000,2.2111,0.0001,200,207.4596
2.2073,0.0005,0.0003,0.0000,2.2067,0.0001,200,209.6714
2.2022,0.0006,0.0004,0.0000,2.2014,0.0001,200,211.8787
2.2038,0.0006,0.0003,0.0001,2.2029,0.0001,200,214.0810
2.2032,0.0005,0.0003,0.0000,2.2025,0.0001,200,216.2847
2.2064,0.0006,0.0003,0.0000,2.2057,0.0001,200,218.4880
2.2014,0.0005,0.0003,0.0000,2.2008,0.0001,200,220.6944
2.2030,0.0005,0.0003,0.0000,2.2023,0.0002,200,222.8958
2.2032,0.0005,0.0003,0.0001,2.2025,0.0001,200,225.0988
2.2019,0.0006,0.0003,0.0000,2.2012,0.0001,200,227.3021
2.2009,0.0005,0.0003,0.0000,2.2002,0.0001,200,229.5040
2.2026,0.0005,0.0003,0.0000,2.2019,0.0001,200,231.7049
2.2227,0.0006,0.0003,0.0001,2.2219,0.0001,200,233.9075
2.2039,0.0005,0.0003,0.0000,2.2032,0.0001,200,236.1302
2.1984,0.0005,0.0003,0.0000,2.1977,0.0001,200,238.3341
2.2053,0.0005,0.0003,0.0000,2.2042,0.0005,200,240.5325
2.2068,0.0005,0.0003,0.0000,2.2059,0.0001,200,242.7378
2.2210,0.0006,0.0003,0.0000,2.2202,0.0001,200,244.9446
2.2150,0.0005,0.0003,0.0000,2.2143,0.0001,200,247.1656
2.2052,0.0005,0.0003,0.0000,2.2045,0.0001,200,249.3806
2.2091,0.0005,0.0003,0.0000,2.2083,0.0002,200,251.5858
2.2104,0.0005,0.0003,0.0000,2.2097,0.0001,200,253.7949
2.2107,0.0006,0.0003,0.0000,2.2099,0.0001,200,256.0053
2.1990,0.0006,0.0003,0.0000,2.1982,0.0001,200,258.2160
2.1988,0.0005,0.0003,0.0000,2.1981,0.0001,200,260.4149
2.2196,0.0006,0.0003,0.0000,2.2188,0.0001,200,262.6138
2.2138,0.0005,0.0003,0.0000,2.2131,0.0001,200,264.8333
2.2013,0.0005,0.0003,0.0000,2.2006,0.0001,200,267.0471
2.1975,0.0005,0.0003,0.0000,2.1968,0.0001,200,269.2484
2.1989,0.0006,0.0003,0.0000,2.1981,0.0001,200,271.4459
2.2002,0.0005,0.0003,0.0000,2.1995,0.0001,200,273.6448
2.1993,0.0005,0.0003,0.0000,2.1986,0.0001,200,275.8450
2.1987,0.0005,0.0003,0.0000,2.1980,0.0001,200,278.0442
2.1984,0.0005,0.0003,0.0000,2.1977,0.0001,200,280.2429
2.2053,0.0006,0.0004,0.0000,2.2045,0.0001,200,282.4413
2.2004,0.0005,0.0003,0.0000,2.1997,0.0001,200,284.6466
2.2004,0.0006,0.0004,0.0000,2.1996,0.0002,200,286.8470
2.1974,0.0005,0.0003,0.0001,2.1967,0.0001,200,289.0474
2.1992,0.0005,0.0003,0.0000,2.1985,0.0001,200,291.2448
2.1988,0.0006,0.0003,0.0000,2.1981,0.0001,200,293.4439
2.1979,0.0005,0.0003,0.0000,2.1972,0.0001,200,295.6427
2.1987,0.0006,0.0003,0.0000,2.1980,0.0001,200,297.8406
