response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0296,0.0008,0.0004,0.0001,0.0285,0.0001,200,0.0028
0.0698,0.0009,0.0007,0.0001,0.0688,0.0001,200,0.0324
0.0720,0.0004,0.0002,0.0000,0.0714,0.0001,200,0.1022
0.0719,0.0005,0.0002,0.0000,0.0713,0.0001,200,0.1742
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,0.2461
0.0720,0.0004,0.0002,0.0000,0.0714,0.0001,200,0.3181
0.0720,0.0004,0.0002,0.0000,0.0715,0.0001,200,0.3901
0.0721,0.0005,0.0003,0.0000,0.0715,0.0001,200,0.4621
0.0719,0.0005,0.0002,0.0000,0.0713,0.0001,200,0.5342
0.0722,0.0004,0.0002,0.0000,0.0717,0.0001,200,0.6061
0.0718,0.0005,0.0003,0.0001,0.0712,0.0001,200,0.6783
0.0720,0.0005,0.0002,0.0000,0.0715,0.0001,200,0.7501
0.0720,0.0005,0.0002,0.0000,0.0714,0.0001,200,0.8222
0.0720,0.0005,0.0003,0.0001,0.0714,0.0001,200,0.8941
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,0.9661
0.0721,0.0004,0.0003,0.0000,0.0715,0.0001,200,1.0381
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,1.1102
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,1.1821
0.0720,0.0005,0.0003,0.0001,0.0714,0.0001,200,1.2542
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,1.3261
0.0719,0.0004,0.0002,0.0000,0.0714,0.0001,200,1.3981
0.0681,0.0004,0.0003,0.0000,0.0675,0.0001,200,1.4700
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,1.5381
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,1.6101
0.0721,0.0005,0.0003,0.0000,0.0714,0.0001,200,1.6821
0.0720,0.0005,0.0002,0.0000,0.0714,0.0001,200,1.7541
0.0721,0.0005,0.0003,0.0000,0.0715,0.0001,200,1.8261
0.0719,0.0005,0.0003,0.0000,0.0713,0.0001,200,1.8982
0.0720,0.0005,0.0002,0.0000,0.0714,0.0001,200,1.9701
0.0720,0.0004,0.0002,0.0000,0.0715,0.0001,200,2.0421
0.0721,0.0005,0.0003,0.0000,0.0715,0.0001,200,2.1141
0.0719,0.0005,0.0003,0.0000,0.0713,0.0001,200,2.1862
