response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0297,0.0009,0.0005,0.0001,0.0284,0.0001,200,0.0045
0.0294,0.0008,0.0005,0.0001,0.0285,0.0001,200,0.0342
0.0285,0.0005,0.0003,0.0000,0.0279,0.0001,200,0.0636
0.0281,0.0004,0.0002,0.0000,0.0275,0.0001,200,0.0921
0.0287,0.0005,0.0003,0.0000,0.0281,0.0001,200,0.1202
0.0299,0.0004,0.0002,0.0000,0.0294,0.0001,200,0.1489
0.0298,0.0004,0.0002,0.0000,0.0292,0.0001,200,0.1788
0.0283,0.0004,0.0002,0.0000,0.0277,0.0001,200,0.2086
0.0282,0.0004,0.0002,0.0000,0.0276,0.0001,200,0.2369
0.0292,0.0004,0.0002,0.0000,0.0286,0.0001,200,0.2650
0.0282,0.0004,0.0002,0.0000,0.0277,0.0001,200,0.2942
0.0285,0.0004,0.0002,0.0000,0.0279,0.0001,200,0.3224
0.0284,0.0004,0.0003,0.0000,0.0279,0.0001,200,0.3509
0.0280,0.0004,0.0002,0.0000,0.0275,0.0001,200,0.3794
0.0283,0.0004,0.0002,0.0000,0.0278,0.0000,200,0.4074
0.0347,0.0004,0.0003,0.0000,0.0342,0.0000,200,0.4357
0.0284,0.0004,0.0002,0.0000,0.0278,0.0000,200,0.4704
0.0283,0.0005,0.0003,0.0001,0.0277,0.0001,200,0.4988
0.0285,0.0004,0.0003,0.0000,0.0279,0.0001,200,0.5271
0.0281,0.0004,0.0002,0.0000,0.0276,0.0001,200,0.5556
0.0280,0.0004,0.0003,0.0000,0.0275,0.0001,200,0.5837
0.0283,0.0004,0.0002,0.0000,0.0277,0.0001,200,0.6118
0.0285,0.0005,0.0003,0.0000,0.0278,0.0001,200,0.6401
0.0283,0.0005,0.0003,0.0000,0.0277,0.0001,200,0.6685
0.0280,0.0004,0.0002,0.0000,0.0275,0.0000,200,0.6968
0.0286,0.0005,0.0003,0.0000,0.0279,0.0002,200,0.7248
0.0314,0.0004,0.0003,0.0000,0.0308,0.0001,200,0.7535
0.0287,0.0005,0.0003,0.0000,0.0281,0.0001,200,0.7849
0.0286,0.0005,0.0003,0.0000,0.0280,0.0001,200,0.8136
0.0291,0.0004,0.0003,0.0000,0.0285,0.0001,200,0.8422
0.0294,0.0004,0.0003,0.0000,0.0289,0.0001,200,0.8713
0.0282,0.0005,0.0003,0.0000,0.0277,0.0001,200,0.9008
0.0284,0.0004,0.0002,0.0000,0.0279,0.0001,200,0.9290
0.0294,0.0005,0.0003,0.0000,0.0288,0.0001,200,0.9574
0.0303,0.0004,0.0002,0.0000,0.0297,0.0000,200,0.9869
