response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0197,0.0009,0.0005,0.0001,0.0186,0.0001,200,0.0028
0.0627,0.0026,0.0024,0.0000,0.0599,0.0001,200,0.0225
0.0600,0.0005,0.0003,0.0001,0.0593,0.0001,200,0.0852
0.0639,0.0005,0.0003,0.0000,0.0633,0.0001,200,0.1452
0.0601,0.0005,0.0003,0.0000,0.0594,0.0001,200,0.2092
0.0599,0.0005,0.0003,0.0004,0.0589,0.0001,200,0.2692
0.0601,0.0005,0.0003,0.0000,0.0594,0.0001,200,0.3292
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,0.3892
0.0601,0.0005,0.0003,0.0000,0.0594,0.0001,200,0.4532
0.0599,0.0005,0.0003,0.0001,0.0592,0.0001,200,0.5133
0.0600,0.0006,0.0003,0.0000,0.0593,0.0001,200,0.5732
0.0602,0.0005,0.0003,0.0000,0.0595,0.0001,200,0.6332
0.0600,0.0008,0.0004,0.0000,0.0591,0.0001,200,0.6934
0.0599,0.0006,0.0003,0.0000,0.0591,0.0001,200,0.7535
0.0599,0.0005,0.0003,0.0000,0.0592,0.0001,200,0.8134
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,0.8733
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,0.9332
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,0.9932
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,1.0533
0.0600,0.0006,0.0004,0.0000,0.0592,0.0001,200,1.1253
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,1.1852
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,1.2453
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,1.3052
0.0600,0.0005,0.0002,0.0000,0.0594,0.0001,200,1.3652
0.0600,0.0006,0.0003,0.0000,0.0593,0.0001,200,1.4253
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,1.4852
0.0600,0.0006,0.0004,0.0000,0.0593,0.0001,200,1.5452
0.0602,0.0005,0.0003,0.0000,0.0595,0.0001,200,1.6052
0.0598,0.0006,0.0004,0.0000,0.0591,0.0001,200,1.6654
0.0600,0.0006,0.0004,0.0000,0.0593,0.0001,200,1.7252
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,1.7852
0.0601,0.0005,0.0003,0.0000,0.0594,0.0001,200,1.8452
0.0600,0.0006,0.0003,0.0001,0.0592,0.0001,200,1.9053
0.0601,0.0005,0.0003,0.0000,0.0595,0.0001,200,1.9653
0.0598,0.0005,0.0003,0.0000,0.0592,0.0001,200,2.0254
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,2.0852
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,2.1452
0.0600,0.0004,0.0003,0.0000,0.0594,0.0001,200,2.2052
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,2.2653
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,2.3252
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,2.3853
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,2.4453
0.0600,0.0005,0.0003,0.0001,0.0593,0.0001,200,2.5052
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,2.5652
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,2.6252
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,2.6852
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,2.7452
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,2.8052
0.0601,0.0005,0.0003,0.0000,0.0594,0.0001,200,2.8652
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,2.9253
0.0600,0.0006,0.0004,0.0000,0.0592,0.0001,200,2.9853
0.0599,0.0005,0.0003,0.0000,0.0592,0.0001,200,3.0454
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,3.1053
0.0600,0.0005,0.0003,0.0000,0.0589,0.0001,200,3.1652
0.0600,0.0005,0.0003,0.0001,0.0593,0.0001,200,3.2253
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,3.2852
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,3.3453
0.0600,0.0005,0.0003,0.0001,0.0593,0.0001,200,3.4053
0.0601,0.0006,0.0003,0.0001,0.0594,0.0001,200,3.4652
0.0599,0.0005,0.0003,0.0000,0.0592,0.0001,200,3.5254
0.0600,0.0006,0.0004,0.0001,0.0593,0.0001,200,3.5853
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,3.6453
0.0601,0.0005,0.0003,0.0000,0.0594,0.0001,200,3.7052
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,3.7653
0.0600,0.0006,0.0003,0.0000,0.0593,0.0001,200,3.8252
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,3.8852
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,3.9452
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,4.0052
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.0652
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.1252
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.1852
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.2452
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.3052
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.3652
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,4.4252
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.4852
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.5452
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,4.6053
0.0599,0.0005,0.0003,0.0000,0.0593,0.0001,200,4.6653
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.7252
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,4.7852
0.0600,0.0004,0.0003,0.0000,0.0594,0.0001,200,4.8452
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.9052
0.0601,0.0005,0.0003,0.0000,0.0594,0.0001,200,4.9652
0.0599,0.0006,0.0003,0.0000,0.0592,0.0001,200,5.0253
0.0601,0.0005,0.0003,0.0000,0.0595,0.0001,200,5.0852
0.0599,0.0005,0.0003,0.0001,0.0593,0.0001,200,5.1452
0.0602,0.0005,0.0003,0.0000,0.0596,0.0001,200,5.2052
0.0599,0.0005,0.0003,0.0001,0.0592,0.0001,200,5.2653
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,5.3253
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,5.3852
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,5.4452
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,5.5052
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,5.5653
0.0600,0.0006,0.0004,0.0000,0.0592,0.0001,200,5.6252
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,5.6852
0.0599,0.0005,0.0003,0.0000,0.0593,0.0001,200,5.7453
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,5.8052
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,5.8652
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,5.9252
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,5.9852
0.0599,0.0005,0.0003,0.0000,0.0593,0.0001,200,6.0452
0.0601,0.0005,0.0003,0.0000,0.0595,0.0001,200,6.1051
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,6.1652
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,6.2252
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,6.2852
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,6.3452
0.0601,0.0005,0.0003,0.0000,0.0594,0.0001,200,6.4051
0.0600,0.0006,0.0004,0.0000,0.0593,0.0001,200,6.4652
0.0600,0.0005,0.0003,0.0000,0.0593,0.0001,200,6.5252
0.0600,0.0005,0.0003,0.0000,0.0594,0.0001,200,6.5852
