response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0050,0.0008,0.0004,0.0001,0.0039,0.0001,200,0.0029
0.0043,0.0005,0.0003,0.0000,0.0037,0.0001,200,0.0079
0.0048,0.0004,0.0002,0.0004,0.0039,0.0001,200,0.0122
0.0044,0.0004,0.0002,0.0000,0.0038,0.0001,200,0.0170
0.0041,0.0004,0.0002,0.0000,0.0036,0.0000,200,0.0213
0.0043,0.0004,0.0002,0.0000,0.0038,0.0001,200,0.0254
0.0038,0.0003,0.0002,0.0000,0.0034,0.0000,200,0.0297
0.0042,0.0004,0.0002,0.0000,0.0037,0.0001,200,0.0335
0.0038,0.0003,0.0002,0.0000,0.0034,0.0001,200,0.0377
0.0040,0.0003,0.0002,0.0000,0.0036,0.0001,200,0.0416
0.0046,0.0003,0.0002,0.0000,0.0042,0.0001,200,0.0456
0.0049,0.0003,0.0002,0.0000,0.0044,0.0001,200,0.0503
0.0043,0.0003,0.0002,0.0000,0.0039,0.0001,200,0.0552
0.0052,0.0004,0.0003,0.0000,0.0045,0.0003,200,0.0594
0.0041,0.0003,0.0002,0.0000,0.0037,0.0001,200,0.0647
0.0040,0.0003,0.0002,0.0000,0.0036,0.0001,200,0.0688
0.0039,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.0728
0.0043,0.0003,0.0002,0.0000,0.0038,0.0001,200,0.0768
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.0810
0.0040,0.0003,0.0002,0.0000,0.0036,0.0001,200,0.0849
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.0889
0.0050,0.0003,0.0002,0.0000,0.0046,0.0001,200,0.0928
0.0040,0.0004,0.0003,0.0000,0.0034,0.0002,200,0.0978
0.0040,0.0003,0.0002,0.0000,0.0036,0.0001,200,0.1019
0.0042,0.0004,0.0003,0.0000,0.0037,0.0000,200,0.1059
0.0048,0.0004,0.0002,0.0000,0.0043,0.0001,200,0.1101
0.0039,0.0004,0.0002,0.0000,0.0035,0.0000,200,0.1150
0.0041,0.0003,0.0002,0.0000,0.0036,0.0001,200,0.1189
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.1229
0.0040,0.0004,0.0003,0.0000,0.0035,0.0001,200,0.1269
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.1310
0.0039,0.0004,0.0003,0.0000,0.0034,0.0001,200,0.1349
0.0042,0.0004,0.0002,0.0000,0.0038,0.0000,200,0.1389
0.0043,0.0004,0.0002,0.0000,0.0037,0.0001,200,0.1431
0.0040,0.0004,0.0003,0.0000,0.0034,0.0001,200,0.1473
0.0066,0.0003,0.0002,0.0000,0.0062,0.0001,200,0.1513
0.0039,0.0003,0.0002,0.0000,0.0035,0.0001,200,0.1579
0.0040,0.0003,0.0002,0.0000,0.0036,0.0000,200,0.1618
0.0042,0.0004,0.0002,0.0000,0.0037,0.0001,200,0.1659
0.0045,0.0004,0.0002,0.0000,0.0040,0.0001,200,0.1700
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.1745
0.0042,0.0004,0.0003,0.0000,0.0037,0.0001,200,0.1785
0.0039,0.0003,0.0002,0.0000,0.0035,0.0000,200,0.1828
0.0042,0.0004,0.0002,0.0000,0.0037,0.0000,200,0.1867
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.1909
0.0038,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.1950
0.0039,0.0003,0.0002,0.0000,0.0035,0.0001,200,0.1988
0.0038,0.0004,0.0002,0.0000,0.0033,0.0000,200,0.2027
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.2065
0.0039,0.0003,0.0001,0.0000,0.0035,0.0001,200,0.2105
0.0041,0.0003,0.0001,0.0000,0.0037,0.0001,200,0.2144
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.2185
0.0038,0.0003,0.0002,0.0000,0.0034,0.0001,200,0.2225
0.0043,0.0004,0.0003,0.0000,0.0038,0.0001,200,0.2263
0.0043,0.0003,0.0002,0.0003,0.0036,0.0001,200,0.2307
0.0044,0.0005,0.0003,0.0000,0.0037,0.0001,200,0.2350
0.0042,0.0004,0.0002,0.0000,0.0037,0.0001,200,0.2394
0.0042,0.0004,0.0003,0.0000,0.0037,0.0001,200,0.2435
0.0040,0.0003,0.0002,0.0000,0.0035,0.0001,200,0.2477
0.0042,0.0004,0.0003,0.0000,0.0037,0.0001,200,0.2517
0.0040,0.0004,0.0003,0.0000,0.0035,0.0001,200,0.2559
0.0042,0.0003,0.0002,0.0000,0.0038,0.0000,200,0.2599
0.0041,0.0004,0.0003,0.0000,0.0037,0.0000,200,0.2642
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.2683
0.0042,0.0003,0.0002,0.0000,0.0038,0.0001,200,0.2723
0.0041,0.0003,0.0002,0.0000,0.0038,0.0000,200,0.2765
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.2806
0.0039,0.0003,0.0002,0.0000,0.0035,0.0001,200,0.2845
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.2884
0.0041,0.0003,0.0002,0.0000,0.0037,0.0000,200,0.2924
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.2965
0.0041,0.0004,0.0003,0.0000,0.0035,0.0001,200,0.3006
0.0041,0.0003,0.0002,0.0000,0.0036,0.0001,200,0.3046
