response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0313,0.0011,0.0008,0.0000,0.0300,0.0001,200,0.0029
0.0227,0.0005,0.0003,0.0000,0.0220,0.0001,200,0.0342
0.0220,0.0005,0.0003,0.0000,0.0213,0.0001,200,0.0569
0.0241,0.0005,0.0003,0.0000,0.0235,0.0001,200,0.0789
0.0242,0.0004,0.0002,0.0000,0.0237,0.0001,200,0.1030
0.0217,0.0004,0.0002,0.0000,0.0212,0.0001,200,0.1273
0.0220,0.0004,0.0002,0.0000,0.0215,0.0001,200,0.1490
0.0219,0.0004,0.0002,0.0000,0.0214,0.0001,200,0.1710
0.0213,0.0004,0.0002,0.0000,0.0208,0.0000,200,0.1929
0.0222,0.0004,0.0002,0.0000,0.0216,0.0001,200,0.2142
0.0222,0.0004,0.0002,0.0000,0.0217,0.0001,200,0.2364
0.0222,0.0004,0.0002,0.0000,0.0216,0.0001,200,0.2586
0.0224,0.0004,0.0002,0.0000,0.0219,0.0001,200,0.2808
0.0216,0.0004,0.0002,0.0000,0.0211,0.0001,200,0.3032
0.0213,0.0004,0.0003,0.0000,0.0207,0.0001,200,0.3248
0.0219,0.0004,0.0002,0.0000,0.0214,0.0001,200,0.3461
0.0226,0.0005,0.0003,0.0000,0.0219,0.0002,200,0.3680
0.0216,0.0004,0.0002,0.0000,0.0212,0.0000,200,0.3906
0.0219,0.0004,0.0002,0.0000,0.0214,0.0001,200,0.4123
0.0218,0.0004,0.0003,0.0000,0.0212,0.0001,200,0.4342
0.0224,0.0005,0.0003,0.0000,0.0218,0.0001,200,0.4560
0.0216,0.0004,0.0003,0.0000,0.0211,0.0001,200,0.4783
0.0216,0.0004,0.0002,0.0000,0.0211,0.0000,200,0.5000
0.0218,0.0004,0.0002,0.0000,0.0213,0.0000,200,0.5216
0.0217,0.0004,0.0002,0.0000,0.0211,0.0001,200,0.5434
0.0221,0.0004,0.0002,0.0000,0.0216,0.0001,200,0.5651
0.0217,0.0004,0.0002,0.0000,0.0211,0.0001,200,0.5872
0.0217,0.0004,0.0002,0.0000,0.0212,0.0001,200,0.6089
0.0215,0.0004,0.0002,0.0000,0.0208,0.0001,200,0.6306
0.0220,0.0004,0.0002,0.0000,0.0215,0.0001,200,0.6521
0.0218,0.0004,0.0002,0.0000,0.0213,0.0001,200,0.6741
0.0221,0.0004,0.0002,0.0000,0.0216,0.0001,200,0.6959
0.0225,0.0004,0.0002,0.0000,0.0220,0.0000,200,0.7181
0.0212,0.0004,0.0003,0.0000,0.0207,0.0001,200,0.7405
0.0224,0.0004,0.0002,0.0000,0.0218,0.0001,200,0.7618
0.0223,0.0005,0.0003,0.0000,0.0216,0.0001,200,0.7842
0.0219,0.0004,0.0002,0.0000,0.0214,0.0001,200,0.8065
0.0223,0.0004,0.0002,0.0000,0.0218,0.0001,200,0.8283
0.0219,0.0004,0.0002,0.0000,0.0214,0.0000,200,0.8506
0.0216,0.0005,0.0003,0.0000,0.0210,0.0001,200,0.8725
0.0221,0.0004,0.0002,0.0000,0.0216,0.0001,200,0.8941
0.0225,0.0004,0.0002,0.0000,0.0220,0.0001,200,0.9163
0.0218,0.0004,0.0002,0.0000,0.0213,0.0001,200,0.9388
0.0221,0.0004,0.0002,0.0000,0.0216,0.0000,200,0.9606
0.0220,0.0004,0.0002,0.0000,0.0215,0.0001,200,0.9827
0.0214,0.0004,0.0002,0.0000,0.0210,0.0001,200,1.0048
0.0224,0.0004,0.0002,0.0000,0.0219,0.0001,200,1.0262
0.0221,0.0004,0.0003,0.0000,0.0215,0.0001,200,1.0486
0.0232,0.0004,0.0002,0.0000,0.0226,0.0001,200,1.0707
0.0234,0.0005,0.0003,0.0000,0.0227,0.0001,200,1.0938
0.0222,0.0005,0.0003,0.0000,0.0216,0.0001,200,1.1172
0.0230,0.0005,0.0003,0.0004,0.0219,0.0001,200,1.1394
0.0224,0.0004,0.0003,0.0000,0.0218,0.0001,200,1.1624
0.0220,0.0005,0.0003,0.0000,0.0215,0.0000,200,1.1848
0.0223,0.0005,0.0003,0.0000,0.0217,0.0001,200,1.2068
0.0229,0.0004,0.0002,0.0000,0.0224,0.0001,200,1.2292
0.0221,0.0004,0.0002,0.0000,0.0216,0.0001,200,1.2520
0.0222,0.0004,0.0002,0.0001,0.0216,0.0000,200,1.2742
0.0220,0.0004,0.0002,0.0000,0.0214,0.0001,200,1.2964
0.0220,0.0005,0.0003,0.0000,0.0215,0.0001,200,1.3183
0.0221,0.0004,0.0002,0.0000,0.0216,0.0001,200,1.3404
0.0218,0.0004,0.0002,0.0000,0.0213,0.0000,200,1.3625
0.0218,0.0005,0.0003,0.0000,0.0211,0.0001,200,1.3843
0.0228,0.0004,0.0003,0.0000,0.0222,0.0001,200,1.4061
0.0220,0.0004,0.0003,0.0000,0.0215,0.0001,200,1.4289
0.0227,0.0004,0.0002,0.0000,0.0222,0.0001,200,1.4509
0.0239,0.0004,0.0003,0.0000,0.0233,0.0001,200,1.4736
0.0220,0.0005,0.0003,0.0000,0.0214,0.0001,200,1.4975
0.0220,0.0004,0.0002,0.0000,0.0215,0.0001,200,1.5195
0.0218,0.0004,0.0002,0.0000,0.0213,0.0001,200,1.5415
0.0220,0.0004,0.0002,0.0000,0.0216,0.0000,200,1.5633
0.0215,0.0004,0.0002,0.0000,0.0210,0.0001,200,1.5853
0.0217,0.0003,0.0002,0.0000,0.0212,0.0001,200,1.6068
0.0220,0.0005,0.0003,0.0000,0.0214,0.0001,200,1.6285
0.0228,0.0004,0.0003,0.0000,0.0222,0.0001,200,1.6505
0.0223,0.0004,0.0002,0.0000,0.0218,0.0001,200,1.6733
0.0224,0.0004,0.0002,0.0000,0.0220,0.0001,200,1.6956
0.0223,0.0004,0.0003,0.0000,0.0217,0.0001,200,1.7180
0.0228,0.0004,0.0002,0.0000,0.0223,0.0001,200,1.7403
0.0225,0.0004,0.0002,0.0000,0.0220,0.0001,200,1.7631
0.0243,0.0004,0.0002,0.0000,0.0238,0.0001,200,1.7856
0.0223,0.0004,0.0002,0.0000,0.0218,0.0001,200,1.8098
0.0239,0.0004,0.0002,0.0000,0.0234,0.0001,200,1.8322
0.0220,0.0004,0.0002,0.0000,0.0215,0.0001,200,1.8560
0.0221,0.0003,0.0002,0.0000,0.0216,0.0001,200,1.8780
0.0219,0.0004,0.0002,0.0000,0.0214,0.0001,200,1.9001
0.0219,0.0004,0.0002,0.0000,0.0214,0.0001,200,1.9220
0.0224,0.0004,0.0002,0.0000,0.0219,0.0001,200,1.9440
0.0217,0.0005,0.0003,0.0000,0.0211,0.0001,200,1.9664
0.0222,0.0004,0.0003,0.0000,0.0216,0.0001,200,1.9881
0.0221,0.0004,0.0002,0.0000,0.0216,0.0001,200,2.0103
0.0231,0.0006,0.0003,0.0000,0.0223,0.0001,200,2.0324
0.0227,0.0006,0.0004,0.0000,0.0220,0.0001,200,2.0555
0.0254,0.0006,0.0004,0.0000,0.0246,0.0001,200,2.0782
0.0218,0.0005,0.0003,0.0000,0.0212,0.0001,200,2.1036
0.0227,0.0005,0.0003,0.0000,0.0221,0.0001,200,2.1254
