response-time,status-code,test_name,runtime,batch
2.1606,200,rust-wasmedge-aes,wasmedge,nomad
2.1535,200,rust-wasmedge-aes,wasmedge,nomad
2.1452,200,rust-wasmedge-aes,wasmedge,nomad
2.1451,200,rust-wasmedge-aes,wasmedge,nomad
2.1355,200,rust-wasmedge-aes,wasmedge,nomad
2.1558,200,rust-wasmedge-aes,wasmedge,nomad
2.1322,200,rust-wasmedge-aes,wasmedge,nomad
2.1309,200,rust-wasmedge-aes,wasmedge,nomad
2.1296,200,rust-wasmedge-aes,wasmedge,nomad
2.1318,200,rust-wasmedge-aes,wasmedge,nomad
2.1365,200,rust-wasmedge-aes,wasmedge,nomad
2.1293,200,rust-wasmedge-aes,wasmedge,nomad
2.1493,200,rust-wasmedge-aes,wasmedge,nomad
2.1337,200,rust-wasmedge-aes,wasmedge,nomad
2.1554,200,rust-wasmedge-aes,wasmedge,nomad
2.1369,200,rust-wasmedge-aes,wasmedge,nomad
2.1505,200,rust-wasmedge-aes,wasmedge,nomad
2.1667,200,rust-wasmedge-aes,wasmedge,nomad
2.1484,200,rust-wasmedge-aes,wasmedge,nomad
2.1566,200,rust-wasmedge-aes,wasmedge,nomad
2.1377,200,rust-wasmedge-aes,wasmedge,nomad
2.1477,200,rust-wasmedge-aes,wasmedge,nomad
2.1563,200,rust-wasmedge-aes,wasmedge,nomad
2.1345,200,rust-wasmedge-aes,wasmedge,nomad
2.1375,200,rust-wasmedge-aes,wasmedge,nomad
2.1336,200,rust-wasmedge-aes,wasmedge,nomad
2.1403,200,rust-wasmedge-aes,wasmedge,nomad
2.1322,200,rust-wasmedge-aes,wasmedge,nomad
2.1346,200,rust-wasmedge-aes,wasmedge,nomad
2.1348,200,rust-wasmedge-aes,wasmedge,nomad
2.1276,200,rust-wasmedge-aes,wasmedge,nomad
2.1447,200,rust-wasmedge-aes,wasmedge,nomad
2.1286,200,rust-wasmedge-aes,wasmedge,nomad
2.1477,200,rust-wasmedge-aes,wasmedge,nomad
2.1591,200,rust-wasmedge-aes,wasmedge,nomad
2.1453,200,rust-wasmedge-aes,wasmedge,nomad
2.1405,200,rust-wasmedge-aes,wasmedge,nomad
2.14,200,rust-wasmedge-aes,wasmedge,nomad
2.1399,200,rust-wasmedge-aes,wasmedge,nomad
2.1332,200,rust-wasmedge-aes,wasmedge,nomad
2.1281,200,rust-wasmedge-aes,wasmedge,nomad
2.1453,200,rust-wasmedge-aes,wasmedge,nomad
2.1147,200,rust-wasmedge-aes,wasmedge,nomad
2.1113,200,rust-wasmedge-aes,wasmedge,nomad
2.0997,200,rust-wasmedge-aes,wasmedge,nomad
2.0953,200,rust-wasmedge-aes,wasmedge,nomad
2.0969,200,rust-wasmedge-aes,wasmedge,nomad
2.0978,200,rust-wasmedge-aes,wasmedge,nomad
2.1012,200,rust-wasmedge-aes,wasmedge,nomad
2.0958,200,rust-wasmedge-aes,wasmedge,nomad
2.1016,200,rust-wasmedge-aes,wasmedge,nomad
2.1034,200,rust-wasmedge-aes,wasmedge,nomad
2.1047,200,rust-wasmedge-aes,wasmedge,nomad
2.0958,200,rust-wasmedge-aes,wasmedge,nomad
2.0938,200,rust-wasmedge-aes,wasmedge,nomad
2.1002,200,rust-wasmedge-aes,wasmedge,nomad
2.097,200,rust-wasmedge-aes,wasmedge,nomad
2.0996,200,rust-wasmedge-aes,wasmedge,nomad
2.1063,200,rust-wasmedge-aes,wasmedge,nomad
2.1097,200,rust-wasmedge-aes,wasmedge,nomad
2.1132,200,rust-wasmedge-aes,wasmedge,nomad
2.1071,200,rust-wasmedge-aes,wasmedge,nomad
2.1025,200,rust-wasmedge-aes,wasmedge,nomad
2.1144,200,rust-wasmedge-aes,wasmedge,nomad
2.1042,200,rust-wasmedge-aes,wasmedge,nomad
2.111,200,rust-wasmedge-aes,wasmedge,nomad
2.1029,200,rust-wasmedge-aes,wasmedge,nomad
2.103,200,rust-wasmedge-aes,wasmedge,nomad
2.1022,200,rust-wasmedge-aes,wasmedge,nomad
2.1053,200,rust-wasmedge-aes,wasmedge,nomad
2.0985,200,rust-wasmedge-aes,wasmedge,nomad
2.1002,200,rust-wasmedge-aes,wasmedge,nomad
2.1099,200,rust-wasmedge-aes,wasmedge,nomad
2.1062,200,rust-wasmedge-aes,wasmedge,nomad
2.096,200,rust-wasmedge-aes,wasmedge,nomad
2.0999,200,rust-wasmedge-aes,wasmedge,nomad
2.1028,200,rust-wasmedge-aes,wasmedge,nomad
2.0963,200,rust-wasmedge-aes,wasmedge,nomad
2.1001,200,rust-wasmedge-aes,wasmedge,nomad
2.0983,200,rust-wasmedge-aes,wasmedge,nomad
2.0959,200,rust-wasmedge-aes,wasmedge,nomad
2.099,200,rust-wasmedge-aes,wasmedge,nomad
2.0976,200,rust-wasmedge-aes,wasmedge,nomad
2.0973,200,rust-wasmedge-aes,wasmedge,nomad
2.0977,200,rust-wasmedge-aes,wasmedge,nomad
2.0958,200,rust-wasmedge-aes,wasmedge,nomad
2.0976,200,rust-wasmedge-aes,wasmedge,nomad
2.0973,200,rust-wasmedge-aes,wasmedge,nomad
2.0983,200,rust-wasmedge-aes,wasmedge,nomad
2.097,200,rust-wasmedge-aes,wasmedge,nomad
2.0959,200,rust-wasmedge-aes,wasmedge,nomad
2.0999,200,rust-wasmedge-aes,wasmedge,nomad
2.1015,200,rust-wasmedge-aes,wasmedge,nomad
2.1033,200,rust-wasmedge-aes,wasmedge,nomad
2.0958,200,rust-wasmedge-aes,wasmedge,nomad
2.0954,200,rust-wasmedge-aes,wasmedge,nomad
2.0992,200,rust-wasmedge-aes,wasmedge,nomad
2.1006,200,rust-wasmedge-aes,wasmedge,nomad
2.102,200,rust-wasmedge-aes,wasmedge,nomad
2.1022,200,rust-wasmedge-aes,wasmedge,nomad
2.0966,200,rust-wasmedge-aes,wasmedge,nomad
2.0997,200,rust-wasmedge-aes,wasmedge,nomad
2.0981,200,rust-wasmedge-aes,wasmedge,nomad
2.0985,200,rust-wasmedge-aes,wasmedge,nomad
2.0981,200,rust-wasmedge-aes,wasmedge,nomad
2.0988,200,rust-wasmedge-aes,wasmedge,nomad
2.0941,200,rust-wasmedge-aes,wasmedge,nomad
2.1174,200,rust-wasmedge-aes,wasmedge,nomad
2.1101,200,rust-wasmedge-aes,wasmedge,nomad
2.1059,200,rust-wasmedge-aes,wasmedge,nomad
2.0931,200,rust-wasmedge-aes,wasmedge,nomad
2.0955,200,rust-wasmedge-aes,wasmedge,nomad
2.0985,200,rust-wasmedge-aes,wasmedge,nomad
2.0952,200,rust-wasmedge-aes,wasmedge,nomad
2.0991,200,rust-wasmedge-aes,wasmedge,nomad
2.0954,200,rust-wasmedge-aes,wasmedge,nomad
2.0991,200,rust-wasmedge-aes,wasmedge,nomad
2.1,200,rust-wasmedge-aes,wasmedge,nomad
