response-time,status-code,test_name,runtime,batch
0.3239,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.313,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2993,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2967,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2927,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2885,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2942,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2895,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2917,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2901,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2919,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.291,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2963,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2856,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2994,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2912,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2923,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2905,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2985,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2886,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2976,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2931,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.287,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2897,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2941,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.3115,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2889,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2915,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.286,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2907,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2879,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.295,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2925,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2914,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2933,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.288,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2892,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2882,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2979,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.29,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2879,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2937,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2967,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2883,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2879,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.288,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2848,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2871,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.3004,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2927,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2881,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2876,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.3257,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2926,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2875,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2953,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2906,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
0.2903,200,rust-wasmedge-audio-sine-wave,wasmedge,nomad
