response-time,status-code,test_name,runtime,batch
2.2307,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2242,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2386,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2127,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2091,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2082,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2209,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2242,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2235,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2245,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2217,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.216,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2057,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2065,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2044,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2056,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2046,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2004,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2093,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2026,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.202,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2005,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2046,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2019,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2016,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2033,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2015,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2046,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2018,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2024,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2041,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2074,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2149,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2162,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2038,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2005,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2025,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2022,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2016,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2035,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.206,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2029,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2128,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2047,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.201,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.205,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2088,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2127,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2115,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2074,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2044,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2174,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.225,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2195,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2195,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2045,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2048,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2044,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2118,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2013,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2138,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2002,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2013,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2055,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2045,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2021,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2014,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2117,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2186,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2105,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2059,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2164,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.216,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2038,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2052,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2007,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2015,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2046,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2008,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2162,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2066,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2175,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2058,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2058,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2035,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2065,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2096,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2062,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2067,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2032,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
2.2081,200,rust-wasmedge-fuzzysearch-http-socket,wasmedge,nomad
