response-time,status-code,test_name,runtime,batch
0.0295,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0299,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0302,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0288,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0287,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0296,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0307,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0285,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0289,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.028,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0285,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0292,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.029,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0284,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0291,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.029,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0287,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0294,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0296,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0289,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0284,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0286,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0287,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.029,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0285,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0284,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0291,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0295,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.03,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0288,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0285,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0298,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0279,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0288,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.028,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.028,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0287,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0291,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0284,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0287,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0287,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.028,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0285,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0308,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0284,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0292,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0297,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.028,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0405,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0287,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0284,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0301,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0287,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0285,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0285,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0291,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0291,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0287,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.028,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0299,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0285,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0286,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0289,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0302,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0294,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0312,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0294,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0288,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0284,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0283,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0287,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.028,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0284,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0289,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0282,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0281,200,rust-wasmedge-n-body-socket,wasmedge,nomad
0.0287,200,rust-wasmedge-n-body-socket,wasmedge,nomad
