response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0295,0.0011,0.0005,0.0001,0.0282,0.0001,200,0.0030
0.0299,0.0005,0.0003,0.0000,0.0293,0.0001,200,0.0325
0.0302,0.0005,0.0003,0.0001,0.0296,0.0001,200,0.0624
0.0288,0.0004,0.0002,0.0000,0.0282,0.0001,200,0.0927
0.0282,0.0004,0.0003,0.0000,0.0277,0.0001,200,0.1214
0.0287,0.0005,0.0003,0.0001,0.0280,0.0001,200,0.1497
0.0296,0.0004,0.0003,0.0000,0.0290,0.0001,200,0.1783
0.0307,0.0005,0.0003,0.0000,0.0301,0.0001,200,0.2079
0.0285,0.0004,0.0002,0.0000,0.0279,0.0001,200,0.2387
0.0289,0.0004,0.0002,0.0000,0.0283,0.0001,200,0.2672
0.0280,0.0004,0.0002,0.0000,0.0276,0.0000,200,0.2961
0.0285,0.0004,0.0002,0.0000,0.0279,0.0001,200,0.3241
0.0292,0.0004,0.0002,0.0000,0.0286,0.0001,200,0.3526
0.0283,0.0005,0.0003,0.0000,0.0277,0.0001,200,0.3818
0.0283,0.0004,0.0002,0.0000,0.0277,0.0001,200,0.4101
0.0290,0.0004,0.0003,0.0001,0.0285,0.0001,200,0.4383
0.0284,0.0004,0.0002,0.0000,0.0279,0.0001,200,0.4674
0.0283,0.0004,0.0002,0.0000,0.0277,0.0001,200,0.4958
0.0283,0.0004,0.0003,0.0000,0.0277,0.0001,200,0.5240
0.0283,0.0004,0.0002,0.0000,0.0278,0.0000,200,0.5523
0.0291,0.0004,0.0002,0.0000,0.0286,0.0001,200,0.5806
0.0281,0.0004,0.0003,0.0000,0.0276,0.0000,200,0.6096
0.0290,0.0004,0.0002,0.0000,0.0285,0.0000,200,0.6377
0.0283,0.0004,0.0003,0.0000,0.0277,0.0001,200,0.6667
0.0287,0.0004,0.0003,0.0000,0.0281,0.0001,200,0.6950
0.0294,0.0006,0.0004,0.0000,0.0286,0.0001,200,0.7237
0.0296,0.0005,0.0003,0.0000,0.0288,0.0001,200,0.7531
0.0289,0.0007,0.0004,0.0000,0.0281,0.0001,200,0.7826
0.0284,0.0006,0.0003,0.0000,0.0278,0.0000,200,0.8115
0.0286,0.0005,0.0003,0.0000,0.0280,0.0001,200,0.8399
0.0287,0.0004,0.0003,0.0000,0.0282,0.0000,200,0.8685
0.0290,0.0004,0.0002,0.0000,0.0285,0.0001,200,0.8973
0.0283,0.0004,0.0002,0.0000,0.0277,0.0001,200,0.9263
0.0285,0.0004,0.0002,0.0000,0.0280,0.0001,200,0.9545
0.0282,0.0004,0.0002,0.0000,0.0277,0.0001,200,0.9830
0.0284,0.0007,0.0006,0.0000,0.0275,0.0001,200,1.0112
0.0291,0.0004,0.0003,0.0000,0.0286,0.0001,200,1.0395
0.0295,0.0004,0.0002,0.0000,0.0290,0.0000,200,1.0687
0.0282,0.0005,0.0003,0.0000,0.0277,0.0001,200,1.0981
