response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0051,0.0013,0.0008,0.0000,0.0037,0.0001,200,0.0021
0.0454,0.0004,0.0003,0.0000,0.0448,0.0001,200,0.0073
0.0440,0.0005,0.0003,0.0001,0.0433,0.0001,200,0.0527
0.0440,0.0004,0.0002,0.0000,0.0435,0.0001,200,0.0967
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,0.1407
0.0440,0.0004,0.0002,0.0000,0.0435,0.0001,200,0.1847
0.0440,0.0004,0.0002,0.0000,0.0435,0.0001,200,0.2287
0.0440,0.0006,0.0003,0.0000,0.0433,0.0001,200,0.2727
0.0479,0.0006,0.0004,0.0000,0.0471,0.0001,200,0.3167
0.0441,0.0006,0.0004,0.0000,0.0434,0.0001,200,0.3646
0.0439,0.0004,0.0002,0.0000,0.0434,0.0001,200,0.4087
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,0.4526
0.0441,0.0005,0.0003,0.0000,0.0435,0.0001,200,0.4966
0.0442,0.0005,0.0003,0.0001,0.0435,0.0001,200,0.5407
0.0478,0.0006,0.0004,0.0000,0.0471,0.0001,200,0.5848
0.0440,0.0005,0.0003,0.0000,0.0433,0.0001,200,0.6326
0.0444,0.0004,0.0002,0.0000,0.0438,0.0001,200,0.6766
0.0477,0.0008,0.0004,0.0001,0.0468,0.0001,200,0.7210
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,0.7687
0.0480,0.0006,0.0004,0.0000,0.0473,0.0001,200,0.8127
0.0439,0.0006,0.0004,0.0000,0.0432,0.0001,200,0.8607
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,0.9046
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,0.9486
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,0.9926
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,1.0367
0.0440,0.0006,0.0003,0.0000,0.0433,0.0001,200,1.0806
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,1.1246
0.0440,0.0005,0.0003,0.0000,0.0434,0.0000,200,1.1686
0.0441,0.0005,0.0003,0.0000,0.0435,0.0001,200,1.2126
0.0440,0.0005,0.0003,0.0000,0.0433,0.0001,200,1.2567
0.0440,0.0005,0.0003,0.0000,0.0433,0.0001,200,1.3007
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,1.3447
0.0440,0.0004,0.0002,0.0000,0.0434,0.0001,200,1.3887
0.0442,0.0005,0.0003,0.0000,0.0435,0.0001,200,1.4326
0.0479,0.0006,0.0003,0.0000,0.0472,0.0001,200,1.4768
0.0480,0.0005,0.0002,0.0000,0.0474,0.0001,200,1.5247
0.0439,0.0005,0.0003,0.0000,0.0433,0.0001,200,1.5727
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,1.6167
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,1.6607
0.0440,0.0005,0.0002,0.0000,0.0435,0.0001,200,1.7047
0.0439,0.0005,0.0003,0.0000,0.0433,0.0001,200,1.7487
0.0440,0.0004,0.0002,0.0000,0.0435,0.0001,200,1.7926
0.0444,0.0004,0.0002,0.0000,0.0438,0.0001,200,1.8367
0.0477,0.0009,0.0005,0.0001,0.0466,0.0001,200,1.8810
0.0480,0.0006,0.0004,0.0000,0.0473,0.0001,200,1.9287
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,1.9767
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,2.0207
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,2.0647
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,2.1087
0.0441,0.0005,0.0003,0.0000,0.0434,0.0001,200,2.1527
0.0480,0.0005,0.0003,0.0005,0.0468,0.0001,200,2.1967
0.0440,0.0005,0.0003,0.0000,0.0433,0.0001,200,2.2447
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,2.2887
0.0441,0.0005,0.0002,0.0000,0.0435,0.0001,200,2.3327
0.0479,0.0006,0.0003,0.0000,0.0472,0.0001,200,2.3767
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,2.4247
0.0440,0.0005,0.0002,0.0001,0.0434,0.0001,200,2.4687
0.0440,0.0004,0.0002,0.0001,0.0434,0.0001,200,2.5127
0.0440,0.0006,0.0003,0.0001,0.0433,0.0001,200,2.5567
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,2.6007
0.0440,0.0005,0.0002,0.0001,0.0434,0.0001,200,2.6447
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,2.6887
0.0439,0.0005,0.0002,0.0000,0.0434,0.0001,200,2.7327
0.0440,0.0004,0.0002,0.0001,0.0434,0.0001,200,2.7767
0.0440,0.0005,0.0002,0.0001,0.0434,0.0001,200,2.8207
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,2.8647
0.0440,0.0004,0.0002,0.0000,0.0435,0.0001,200,2.9087
0.0440,0.0004,0.0002,0.0000,0.0434,0.0001,200,2.9527
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,2.9967
0.0439,0.0005,0.0003,0.0000,0.0433,0.0001,200,3.0407
0.0440,0.0004,0.0002,0.0000,0.0435,0.0001,200,3.0847
0.0440,0.0004,0.0002,0.0000,0.0435,0.0001,200,3.1287
0.0439,0.0005,0.0003,0.0000,0.0433,0.0001,200,3.1727
0.0441,0.0005,0.0002,0.0000,0.0435,0.0001,200,3.2167
