response-time,status-code,test_name,runtime,batch
0.0197,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0627,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0639,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0601,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0599,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0601,200,rust-wasmedge-user-manager,wasmedge,nomad
0.064,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0601,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0599,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0602,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0599,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0599,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.072,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0602,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0598,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0601,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0601,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0598,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0601,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.0599,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
0.06,200,rust-wasmedge-user-manager,wasmedge,nomad
