response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0217,0.0012,0.0008,0.0000,0.0204,0.0001,200,0.0030
0.0674,0.0005,0.0003,0.0000,0.0667,0.0001,200,0.0248
0.0639,0.0005,0.0003,0.0000,0.0633,0.0001,200,0.0921
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,0.1560
0.0640,0.0005,0.0003,0.0000,0.0633,0.0001,200,0.2201
0.0640,0.0004,0.0002,0.0000,0.0634,0.0001,200,0.2840
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,0.3480
0.0640,0.0004,0.0002,0.0000,0.0634,0.0001,200,0.4120
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,0.4760
0.0641,0.0004,0.0002,0.0000,0.0636,0.0001,200,0.5400
0.0639,0.0005,0.0003,0.0000,0.0633,0.0001,200,0.6041
0.0641,0.0005,0.0003,0.0000,0.0634,0.0001,200,0.6681
0.0681,0.0005,0.0003,0.0000,0.0674,0.0001,200,0.7322
0.0639,0.0005,0.0003,0.0000,0.0633,0.0001,200,0.8002
0.0639,0.0005,0.0003,0.0000,0.0632,0.0001,200,0.8642
0.0640,0.0006,0.0004,0.0000,0.0632,0.0001,200,0.9280
0.0639,0.0004,0.0002,0.0000,0.0634,0.0001,200,0.9920
0.0642,0.0005,0.0003,0.0000,0.0635,0.0001,200,1.0559
0.0639,0.0004,0.0002,0.0000,0.0633,0.0001,200,1.1201
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,1.1840
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,1.2480
0.0639,0.0006,0.0003,0.0001,0.0632,0.0001,200,1.3121
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,1.3760
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,1.4400
0.0639,0.0004,0.0002,0.0000,0.0634,0.0001,200,1.5040
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,1.5679
0.0641,0.0004,0.0002,0.0000,0.0635,0.0001,200,1.6319
0.0639,0.0004,0.0002,0.0000,0.0634,0.0001,200,1.6960
0.0642,0.0004,0.0002,0.0000,0.0637,0.0001,200,1.7599
0.0680,0.0005,0.0003,0.0000,0.0673,0.0001,200,1.8241
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,1.8921
0.0640,0.0005,0.0003,0.0001,0.0633,0.0001,200,1.9561
0.0639,0.0006,0.0003,0.0000,0.0632,0.0001,200,2.0201
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,2.0840
0.0640,0.0005,0.0003,0.0005,0.0629,0.0001,200,2.1480
0.0640,0.0005,0.0003,0.0000,0.0633,0.0001,200,2.2120
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,2.2760
0.0639,0.0005,0.0003,0.0000,0.0633,0.0001,200,2.3400
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,2.4040
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,2.4680
0.0641,0.0005,0.0002,0.0000,0.0635,0.0001,200,2.5320
0.0639,0.0006,0.0003,0.0000,0.0633,0.0001,200,2.5960
0.0640,0.0004,0.0003,0.0000,0.0634,0.0001,200,2.6600
0.0641,0.0005,0.0003,0.0000,0.0635,0.0001,200,2.7240
0.0639,0.0005,0.0003,0.0000,0.0632,0.0001,200,2.7881
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,2.8519
0.0640,0.0004,0.0002,0.0000,0.0634,0.0001,200,2.9160
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,2.9799
0.0639,0.0005,0.0003,0.0000,0.0634,0.0001,200,3.0440
0.0640,0.0005,0.0003,0.0000,0.0635,0.0001,200,3.1079
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,3.1720
0.0641,0.0005,0.0003,0.0000,0.0634,0.0001,200,3.2360
0.0639,0.0004,0.0003,0.0000,0.0634,0.0001,200,3.3000
0.0640,0.0004,0.0003,0.0000,0.0634,0.0001,200,3.3640
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,3.4280
0.0640,0.0004,0.0002,0.0000,0.0635,0.0001,200,3.4920
0.0641,0.0004,0.0002,0.0000,0.0635,0.0001,200,3.5560
0.0639,0.0004,0.0002,0.0000,0.0634,0.0001,200,3.6201
0.0640,0.0004,0.0003,0.0000,0.0634,0.0001,200,3.6840
0.0640,0.0005,0.0002,0.0000,0.0634,0.0001,200,3.7480
0.0640,0.0004,0.0002,0.0000,0.0634,0.0001,200,3.8119
0.0641,0.0005,0.0003,0.0000,0.0635,0.0001,200,3.8759
0.0640,0.0004,0.0002,0.0000,0.0635,0.0001,200,3.9400
0.0639,0.0005,0.0003,0.0000,0.0633,0.0001,200,4.0041
0.0641,0.0005,0.0002,0.0000,0.0635,0.0001,200,4.0679
0.0641,0.0004,0.0002,0.0000,0.0635,0.0001,200,4.1320
0.0640,0.0005,0.0002,0.0000,0.0634,0.0001,200,4.1960
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,4.2601
0.0640,0.0005,0.0003,0.0000,0.0633,0.0001,200,4.3241
0.0639,0.0005,0.0003,0.0000,0.0633,0.0001,200,4.3880
0.0640,0.0005,0.0002,0.0001,0.0634,0.0001,200,4.4519
0.0640,0.0005,0.0002,0.0000,0.0634,0.0001,200,4.5160
0.0639,0.0005,0.0002,0.0000,0.0633,0.0001,200,4.5800
0.0640,0.0005,0.0002,0.0000,0.0634,0.0001,200,4.6440
0.0639,0.0005,0.0003,0.0000,0.0633,0.0001,200,4.7080
0.0640,0.0005,0.0002,0.0000,0.0634,0.0001,200,4.7720
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,4.8360
0.0639,0.0005,0.0003,0.0000,0.0633,0.0001,200,4.9001
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,4.9640
